LandWaterProtect,LandWaterManage,Livelihood,SpeciesManage,EducateAware,LawPolicy,WorkshopName,Justification,PARCA,TNC,EPA,ACJV,NBCI,Alabama,Florida,NorthCarolina,Virginia,Georgia,HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area
Yes,Yes,Yes, , ,Yes,Apalachicola Bay,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031101010504,Barnett Creek-Black Point Swamp Frontal,Suwannee,Aucilla-Waccasassa,Waccasassa,89241.97308297631,369090417.23046875
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.", ,Priority, ,Priority,Priority, ,Priority, , , ,031101010503,Wilder Creek-King Creek Frontal,Suwannee,Aucilla-Waccasassa,Waccasassa,86433.47755203463,218292771.4296875
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102050804,Sand Fly Creek,Suwannee,Suwannee,Lower Suwannee,64277.5297996212,93162445.33203125
 ,Yes,Yes, , ,Yes,Apalachicola Bay,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102050805,Suwannee River,Suwannee,Suwannee,Lower Suwannee,85663.4497705893,177661426.28515625
Yes,Yes,Yes, , ,Yes,Apalachicola Bay,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Priority,Priority, ,Priority, , ,Priority, , , ,031101020903,Johnson Creek-Bumblebee Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,83914.01824281168,197387135.296875
Yes,Yes,Yes,Yes, , ,Suwannee River Corridor,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102050803,Cedar Branch,Suwannee,Suwannee,Lower Suwannee,70040.8189550232,116571284.6328125
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102050802,Long Pond,Suwannee,Suwannee,Lower Suwannee,84983.3487043448,119059252.10546875
Yes,Yes,Yes,Yes, , ,Suwannee River Corridor,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102050704,Manatee Springs,Suwannee,Suwannee,Lower Suwannee,70507.7934146739,135234791.91015625
Yes,Yes,Yes, , ,Yes,Apalachicola Bay,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.", ,Priority, ,Priority, , ,Priority, , , ,031101020906,Butler Creek-Shired Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,70058.28351516234,191931355.14453125
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area and Apalachicola Bay,Important coastal habitat. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries., ,Priority, ,Priority, , ,Priority, , , ,031300110704,Depot Creek,Apalachicola,Apalachicola,Apalachicola,106854.49670052434,514457000.078125
