PROT_NUMBE,BLOCK_NUMB,PROT_NUM_BLOCK_NUM,Unique,Shape_Length,Shape_Area,bounds
NH17-02, 6024,NH17-02 6024,1,9191.971831412164,2802608.954349527,"-80.819,31.931,-80.797,31.960"
NH17-02, 6025,NH17-02 6025,2,18721.16793577492,22556295.68571457,"-80.797,31.931,-80.746,31.974"
NH17-02, 6026,NH17-02 6026,3,19207.730335219443,23057967.428666223,"-80.746,31.931,-80.695,31.974"
NH17-02, 6027,NH17-02 6027,4,19207.66475653017,23057888.90900691,"-80.695,31.931,-80.644,31.974"
NH17-02, 6028,NH17-02 6028,5,19207.588280464544,23057705.339691665,"-80.645,31.930,-80.594,31.974"
NH17-02, 6029,NH17-02 6029,6,19207.500969538294,23057495.765012987,"-80.594,31.930,-80.543,31.974"
NH17-02, 6030,NH17-02 6030,7,19207.40259474164,23057259.63733709,"-80.543,31.930,-80.492,31.974"
NH17-02, 6031,NH17-02 6031,8,19207.29327059147,23056997.228478692,"-80.492,31.930,-80.441,31.973"
NH17-02, 6032,NH17-02 6032,9,19207.17308004084,23056708.734935813,"-80.441,31.930,-80.390,31.973"
NH17-02, 6033,NH17-02 6033,10,19207.04225219768,23056394.71346671,"-80.391,31.929,-80.340,31.973"
NH17-02, 6034,NH17-02 6034,11,19206.900080031795,23056053.46405118,"-80.340,31.929,-80.289,31.973"
NH17-02, 6035,NH17-02 6035,12,19206.74735351652,23055686.8891055,"-80.289,31.929,-80.238,31.972"
NH17-02, 6036,NH17-02 6036,13,19206.583365662467,23055293.28266979,"-80.238,31.929,-80.187,31.972"
NH17-02, 6037,NH17-02 6037,14,19206.408428489653,23054873.401146732,"-80.188,31.928,-80.136,31.972"
NH17-02, 6038,NH17-02 6038,15,19206.22285406841,23054427.99310852,"-80.137,31.928,-80.086,31.971"
NH17-02, 6039,NH17-02 6039,16,19206.026330385408,23053956.306289997,"-80.086,31.927,-80.035,31.971"
NH17-02, 6040,NH17-02 6040,17,19205.818940304092,23053458.547039576,"-80.035,31.927,-79.984,31.971"
NH17-02, 6073,NH17-02 6073,18,8409.246707914264,2767036.887102553,"-80.867,31.888,-80.848,31.915"
NH17-02, 6074,NH17-02 6074,19,17967.218870381694,20658909.530360296,"-80.848,31.888,-80.797,31.931"
NH17-02, 6076,NH17-02 6076,20,19207.723906187228,23058046.08563439,"-80.746,31.887,-80.695,31.931"
NH17-02, 6077,NH17-02 6077,21,19207.658442216918,23057888.949864894,"-80.695,31.887,-80.645,31.931"
NH17-02, 6078,NH17-02 6078,22,19207.581967189923,23057705.382881593,"-80.645,31.887,-80.594,31.931"
NH17-02, 6079,NH17-02 6079,23,19207.49452420547,23057495.491297714,"-80.594,31.887,-80.543,31.930"
NH17-02, 6080,NH17-02 6080,24,19207.396184654535,23057259.44573246,"-80.543,31.887,-80.492,31.930"
NH17-02, 6081,NH17-02 6081,25,19207.28717756144,23056997.796430483,"-80.492,31.887,-80.441,31.930"
NH17-02, 6082,NH17-02 6082,26,19207.16685905115,23056708.994865235,"-80.442,31.886,-80.391,31.930"
NH17-02, 6083,NH17-02 6083,27,19207.035872983215,23056394.59566484,"-80.391,31.886,-80.340,31.930"
NH17-02, 6084,NH17-02 6084,28,19206.893741449803,23056053.443640612,"-80.340,31.886,-80.289,31.929"
NH17-02, 6085,NH17-02 6085,29,19206.740859427533,23055686.49211564,"-80.289,31.886,-80.238,31.929"
NH17-02, 6086,NH17-02 6086,30,19206.577080719264,23055293.387573905,"-80.239,31.885,-80.188,31.929"
NH17-02, 6087,NH17-02 6087,31,19206.402417336503,23054874.1604175,"-80.188,31.885,-80.137,31.929"
NH17-02, 6088,NH17-02 6088,32,19206.216691432553,23054428.387915656,"-80.137,31.885,-80.086,31.928"
NH17-02, 6089,NH17-02 6089,33,19206.01998593706,23053956.268562734,"-80.086,31.884,-80.035,31.928"
NH17-02, 6090,NH17-02 6090,34,19205.81236417701,23053457.95087991,"-80.036,31.884,-79.984,31.927"
NH17-02, 6122,NH17-02 6122,35,6807.61998117752,1986078.0031210175,"-80.926,31.844,-80.899,31.856"
NH17-02, 6123,NH17-02 6123,36,17458.38598519568,16187824.226813938,"-80.899,31.844,-80.848,31.888"
NH17-02, 6124,NH17-02 6124,37,19207.816044710074,23058367.988518827,"-80.848,31.844,-80.797,31.888"
NH17-02, 6126,NH17-02 6126,38,19207.717789843184,23058046.467090666,"-80.746,31.844,-80.695,31.888"
NH17-02, 6127,NH17-02 6127,39,19207.652242665208,23057889.1301427,"-80.696,31.844,-80.645,31.887"
NH17-02, 6128,NH17-02 6128,40,19207.57571729801,23057705.443763725,"-80.645,31.844,-80.594,31.887"
NH17-02, 6129,NH17-02 6129,41,19207.48827677892,23057495.557840046,"-80.594,31.844,-80.543,31.887"
NH17-02, 6130,NH17-02 6130,42,19207.390087118583,23057259.87054546,"-80.543,31.843,-80.492,31.887"
NH17-02, 6131,NH17-02 6131,43,19207.28083627636,23056997.636917055,"-80.493,31.843,-80.442,31.887"
NH17-02, 6132,NH17-02 6132,44,19207.160524244086,23056708.85304953,"-80.442,31.843,-80.391,31.887"
NH17-02, 6133,NH17-02 6133,45,19207.029380112104,23056394.069483317,"-80.391,31.843,-80.340,31.886"
NH17-02, 6134,NH17-02 6134,46,19206.88760138084,23056053.767368473,"-80.340,31.843,-80.289,31.886"
NH17-02, 6135,NH17-02 6135,47,19206.734449457173,23055686.16375314,"-80.290,31.842,-80.239,31.886"
NH17-02, 6136,NH17-02 6136,48,19206.57063131946,23055292.964733105,"-80.239,31.842,-80.188,31.886"
NH17-02, 6137,NH17-02 6137,49,19206.396012766265,23054873.8491833,"-80.188,31.842,-80.137,31.885"
NH17-02, 6138,NH17-02 6138,50,19206.210135584657,23054427.708339795,"-80.138,31.841,-80.086,31.885"
NH17-02, 6139,NH17-02 6139,51,19206.013872583262,23053956.64824465,"-80.087,31.841,-80.036,31.885"
NH17-02, 6140,NH17-02 6140,52,19205.806299726086,23053458.447415195,"-80.036,31.840,-79.985,31.884"
NH17-02, 6171,NH17-02 6171,53,7293.115985673413,2844481.229898593,"-80.969,31.801,-80.949,31.822"
NH17-02, 6172,NH17-02 6172,54,17848.987529549388,20378143.110272303,"-80.949,31.801,-80.899,31.844"
NH17-02, 6173,NH17-02 6173,55,19207.842600957323,23058394.573103186,"-80.899,31.801,-80.848,31.844"
NH17-02, 6174,NH17-02 6174,56,19207.809869890887,23058197.631291296,"-80.848,31.801,-80.797,31.844"
NH17-02, 6176,NH17-02 6176,57,19207.7114761638,23058046.237985164,"-80.746,31.801,-80.696,31.844"
NH17-02, 6177,NH17-02 6177,58,19207.645928844893,23057888.900554124,"-80.696,31.801,-80.645,31.844"
NH17-02, 6178,NH17-02 6178,59,19207.5693847394,23057705.168457367,"-80.645,31.801,-80.594,31.844"
NH17-02, 6179,NH17-02 6179,60,19207.482029769453,23057495.48815448,"-80.594,31.800,-80.543,31.844"
NH17-02, 6180,NH17-02 6180,61,19207.38379259118,23057259.68807758,"-80.544,31.800,-80.493,31.844"
NH17-02, 6181,NH17-02 6181,62,19207.27446403355,23056997.264432006,"-80.493,31.800,-80.442,31.843"
NH17-02, 6182,NH17-02 6182,63,19207.154387681003,23056709.04593285,"-80.442,31.800,-80.391,31.843"
NH17-02, 6183,NH17-02 6183,64,19207.02320016542,23056394.15855074,"-80.392,31.799,-80.340,31.843"
NH17-02, 6184,NH17-02 6184,65,19206.88134778795,23056053.676011354,"-80.341,31.799,-80.290,31.843"
NH17-02, 6185,NH17-02 6185,66,19206.728404002395,23055686.571846083,"-80.290,31.799,-80.239,31.843"
NH17-02, 6186,NH17-02 6186,67,19206.564578219826,23055293.354981944,"-80.239,31.799,-80.188,31.842"
NH17-02, 6187,NH17-02 6187,68,19206.38989011357,23054874.07035116,"-80.189,31.798,-80.138,31.842"
NH17-02, 6188,NH17-02 6188,69,19206.20402765031,23054427.964009777,"-80.138,31.798,-80.087,31.842"
NH17-02, 6189,NH17-02 6189,70,19206.00753200537,23053956.34571208,"-80.087,31.798,-80.036,31.841"
NH17-02, 6190,NH17-02 6190,71,19205.800008239217,23053458.26217281,"-80.037,31.797,-79.985,31.841"
NH17-02, 6221,NH17-02 6221,72,16295.420725193933,12911543.322655927,"-80.993,31.758,-80.949,31.801"
NH17-02, 6224,NH17-02 6224,73,19207.80366309417,23058282.304175973,"-80.848,31.758,-80.797,31.801"
NH17-02, 6225,NH17-02 6225,74,19207.76006658284,23058177.655636385,"-80.797,31.758,-80.746,31.801"
NH17-02, 6226,NH17-02 6226,75,19207.7054116447,23058046.46311488,"-80.747,31.758,-80.696,31.801"
NH17-02, 6227,NH17-02 6227,76,19207.639729766874,23057888.80456313,"-80.696,31.757,-80.645,31.801"
NH17-02, 6230,NH17-02 6230,77,19207.377581526598,23057259.55945675,"-80.544,31.757,-80.493,31.800"
NH17-02, 6231,NH17-02 6231,78,19207.268372873103,23056997.42411749,"-80.493,31.757,-80.442,31.800"
NH17-02, 6232,NH17-02 6232,79,19207.148168908374,23056708.89912742,"-80.442,31.756,-80.392,31.800"
