PROT_NUMBE,BLOCK_NUMB,PROT_NUM_BLOCK_NUM,Unique,OBJECTID_1,UNIQUE_1,NOT_A_PRIORITY_FOR_SHARED_ACTION,CORRIDORS,MEDIUM_PRIORITY,HIGH_PRIORITY,HIGHEST_PRIORITY,Shape_Length,Shape_Area
NH17-02, 6024,NH17-02 6024,1,1.0,1.0,0.0,0.0,0.0,0.0,2880000.0,9191.971831412164,2802608.954349527
NH17-02, 6025,NH17-02 6025,2,2.0,2.0,0.0,0.0,0.0,8000000.0,14560000.0,18721.16793577492,22556295.68571457
NH17-02, 6026,NH17-02 6026,3,3.0,3.0,0.0,0.0,0.0,21320000.0,1720000.0,19207.730335219443,23057967.428666223
NH17-02, 6027,NH17-02 6027,4,4.0,4.0,0.0,0.0,0.0,23040000.0,0.0,19207.66475653017,23057888.90900691
NH17-02, 6028,NH17-02 6028,5,5.0,5.0,0.0,0.0,0.0,23080000.0,0.0,19207.588280464544,23057705.339691665
NH17-02, 6029,NH17-02 6029,6,6.0,6.0,0.0,0.0,7440000.0,15640000.0,0.0,19207.500969538294,23057495.765012987
NH17-02, 6030,NH17-02 6030,7,7.0,7.0,0.0,0.0,23040000.0,0.0,0.0,19207.40259474164,23057259.63733709
NH17-02, 6031,NH17-02 6031,8,8.0,8.0,0.0,0.0,23040000.0,0.0,0.0,19207.29327059147,23056997.228478692
NH17-02, 6032,NH17-02 6032,9,9.0,9.0,0.0,0.0,23040000.0,0.0,0.0,19207.17308004084,23056708.734935813
NH17-02, 6033,NH17-02 6033,10,10.0,10.0,0.0,0.0,23000000.0,0.0,0.0,19207.04225219768,23056394.71346671
NH17-02, 6034,NH17-02 6034,11,11.0,11.0,0.0,0.0,20840000.0,2200000.0,0.0,19206.900080031795,23056053.46405118
NH17-02, 6035,NH17-02 6035,12,12.0,12.0,0.0,0.0,22920000.0,80000.0,0.0,19206.74735351652,23055686.8891055
NH17-02, 6036,NH17-02 6036,13,13.0,13.0,0.0,0.0,23080000.0,0.0,0.0,19206.583365662467,23055293.28266979
NH17-02, 6037,NH17-02 6037,14,14.0,14.0,0.0,0.0,23040000.0,0.0,0.0,19206.408428489653,23054873.401146732
NH17-02, 6038,NH17-02 6038,15,15.0,15.0,0.0,0.0,23040000.0,0.0,0.0,19206.22285406841,23054427.99310852
NH17-02, 6039,NH17-02 6039,16,16.0,16.0,0.0,0.0,23080000.0,0.0,0.0,19206.026330385408,23053956.306289997
NH17-02, 6040,NH17-02 6040,17,17.0,17.0,0.0,0.0,23040000.0,0.0,0.0,19205.818940304092,23053458.547039576
NH17-02, 6073,NH17-02 6073,18,18.0,18.0,0.0,0.0,0.0,0.0,2680000.0,8409.246707914264,2767036.887102553
NH17-02, 6074,NH17-02 6074,19,19.0,19.0,0.0,0.0,0.0,0.0,20680000.0,17967.218870381694,20658909.530360296
NH17-02, 6076,NH17-02 6076,20,20.0,20.0,0.0,0.0,0.0,6960000.0,16120000.0,19207.723906187228,23058046.08563439
NH17-02, 6077,NH17-02 6077,21,21.0,21.0,0.0,0.0,0.0,23040000.0,0.0,19207.658442216918,23057888.949864894
NH17-02, 6078,NH17-02 6078,22,22.0,22.0,0.0,0.0,0.0,23080000.0,0.0,19207.581967189923,23057705.382881593
NH17-02, 6079,NH17-02 6079,23,23.0,23.0,0.0,0.0,9680000.0,13400000.0,0.0,19207.49452420547,23057495.491297714
NH17-02, 6080,NH17-02 6080,24,24.0,24.0,0.0,0.0,23040000.0,0.0,0.0,19207.396184654535,23057259.44573246
NH17-02, 6081,NH17-02 6081,25,25.0,25.0,0.0,0.0,23080000.0,0.0,0.0,19207.28717756144,23056997.796430483
NH17-02, 6082,NH17-02 6082,26,26.0,26.0,0.0,0.0,23040000.0,0.0,0.0,19207.16685905115,23056708.994865235
NH17-02, 6083,NH17-02 6083,27,27.0,27.0,0.0,0.0,23160000.0,0.0,0.0,19207.035872983215,23056394.59566484
NH17-02, 6084,NH17-02 6084,28,28.0,28.0,0.0,0.0,23040000.0,0.0,0.0,19206.893741449803,23056053.443640612
NH17-02, 6085,NH17-02 6085,29,29.0,29.0,0.0,0.0,23040000.0,0.0,0.0,19206.740859427533,23055686.49211564
NH17-02, 6086,NH17-02 6086,30,30.0,30.0,0.0,0.0,23080000.0,0.0,0.0,19206.577080719264,23055293.387573905
NH17-02, 6087,NH17-02 6087,31,31.0,31.0,0.0,0.0,23040000.0,0.0,0.0,19206.402417336503,23054874.1604175
NH17-02, 6088,NH17-02 6088,32,32.0,32.0,0.0,0.0,23120000.0,0.0,0.0,19206.216691432553,23054428.387915656
NH17-02, 6089,NH17-02 6089,33,33.0,33.0,0.0,0.0,23040000.0,0.0,0.0,19206.01998593706,23053956.268562734
NH17-02, 6090,NH17-02 6090,34,34.0,34.0,0.0,0.0,23040000.0,0.0,0.0,19205.81236417701,23053457.95087991
NH17-02, 6122,NH17-02 6122,35,35.0,35.0,0.0,0.0,0.0,0.0,1960000.0,6807.61998117752,1986078.0031210175
NH17-02, 6123,NH17-02 6123,36,36.0,36.0,0.0,0.0,0.0,0.0,16240000.0,17458.38598519568,16187824.226813938
NH17-02, 6124,NH17-02 6124,37,37.0,37.0,0.0,0.0,0.0,0.0,23000000.0,19207.816044710074,23058367.988518827
NH17-02, 6126,NH17-02 6126,38,38.0,38.0,0.0,0.0,0.0,5360000.0,17680000.0,19207.717789843184,23058046.467090666
NH17-02, 6127,NH17-02 6127,39,39.0,39.0,0.0,0.0,0.0,18880000.0,4160000.0,19207.652242665208,23057889.1301427
NH17-02, 6128,NH17-02 6128,40,40.0,40.0,0.0,0.0,0.0,23040000.0,0.0,19207.57571729801,23057705.443763725
NH17-02, 6129,NH17-02 6129,41,41.0,41.0,0.0,0.0,14120000.0,8920000.0,0.0,19207.48827677892,23057495.557840046
NH17-02, 6130,NH17-02 6130,42,42.0,42.0,0.0,0.0,23120000.0,0.0,0.0,19207.390087118583,23057259.87054546
NH17-02, 6131,NH17-02 6131,43,43.0,43.0,0.0,0.0,23040000.0,0.0,0.0,19207.28083627636,23056997.636917055
NH17-02, 6132,NH17-02 6132,44,44.0,44.0,0.0,0.0,23040000.0,0.0,0.0,19207.160524244086,23056708.85304953
NH17-02, 6133,NH17-02 6133,45,45.0,45.0,0.0,0.0,23080000.0,0.0,0.0,19207.029380112104,23056394.069483317
NH17-02, 6134,NH17-02 6134,46,46.0,46.0,0.0,0.0,23080000.0,0.0,0.0,19206.88760138084,23056053.767368473
NH17-02, 6135,NH17-02 6135,47,47.0,47.0,0.0,0.0,22960000.0,120000.0,0.0,19206.734449457173,23055686.16375314
NH17-02, 6136,NH17-02 6136,48,48.0,48.0,0.0,0.0,23040000.0,0.0,0.0,19206.57063131946,23055292.964733105
NH17-02, 6137,NH17-02 6137,49,49.0,49.0,0.0,0.0,23040000.0,0.0,0.0,19206.396012766265,23054873.8491833
NH17-02, 6138,NH17-02 6138,50,50.0,50.0,0.0,0.0,22880000.0,160000.0,0.0,19206.210135584657,23054427.708339795
NH17-02, 6139,NH17-02 6139,51,51.0,51.0,0.0,0.0,23000000.0,0.0,0.0,19206.013872583262,23053956.64824465
NH17-02, 6140,NH17-02 6140,52,52.0,52.0,0.0,0.0,20480000.0,2600000.0,0.0,19205.806299726086,23053458.447415195
NH17-02, 6171,NH17-02 6171,53,53.0,53.0,0.0,0.0,0.0,0.0,2840000.0,7293.115985673413,2844481.229898593
NH17-02, 6172,NH17-02 6172,54,54.0,54.0,0.0,0.0,0.0,0.0,20400000.0,17848.987529549388,20378143.110272303
NH17-02, 6173,NH17-02 6173,55,55.0,55.0,0.0,0.0,0.0,0.0,23000000.0,19207.842600957323,23058394.573103186
NH17-02, 6174,NH17-02 6174,56,56.0,56.0,0.0,0.0,0.0,0.0,23080000.0,19207.809869890887,23058197.631291296
NH17-02, 6176,NH17-02 6176,57,57.0,57.0,0.0,0.0,0.0,12520000.0,10520000.0,19207.7114761638,23058046.237985164
NH17-02, 6177,NH17-02 6177,58,58.0,58.0,0.0,0.0,0.0,14440000.0,8640000.0,19207.645928844893,23057888.900554124
NH17-02, 6178,NH17-02 6178,59,59.0,59.0,0.0,0.0,0.0,23040000.0,0.0,19207.5693847394,23057705.168457367
NH17-02, 6179,NH17-02 6179,60,60.0,60.0,0.0,0.0,17160000.0,5920000.0,0.0,19207.482029769453,23057495.48815448
NH17-02, 6180,NH17-02 6180,61,61.0,61.0,0.0,0.0,21480000.0,1600000.0,0.0,19207.38379259118,23057259.68807758
NH17-02, 6181,NH17-02 6181,62,62.0,62.0,0.0,0.0,22280000.0,760000.0,0.0,19207.27446403355,23056997.264432006
NH17-02, 6182,NH17-02 6182,63,63.0,63.0,0.0,0.0,23040000.0,0.0,0.0,19207.154387681003,23056709.04593285
NH17-02, 6183,NH17-02 6183,64,64.0,64.0,0.0,0.0,23000000.0,0.0,0.0,19207.02320016542,23056394.15855074
NH17-02, 6184,NH17-02 6184,65,65.0,65.0,0.0,0.0,23040000.0,0.0,0.0,19206.88134778795,23056053.676011354
NH17-02, 6185,NH17-02 6185,66,66.0,66.0,0.0,0.0,22720000.0,320000.0,0.0,19206.728404002395,23055686.571846083
NH17-02, 6186,NH17-02 6186,67,67.0,67.0,0.0,0.0,23000000.0,0.0,0.0,19206.564578219826,23055293.354981944
