PROT_NUMBE,BLOCK_NUMB,PROT_NUM_BLOCK_NUM,Unique,OBJECTID_1,Unique_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,Shape_Length,Shape_Area
NH17-02, 6024,NH17-02 6024,1,1.0,1.0,72.0,2879999.9999999986,94.0,95.0,1.0,94.30555555555556,0.46064233199341553,6790.0,2.0,94.0,95.0,94.0,9191.971831412164,2802608.954349527
NH17-02, 6025,NH17-02 6025,2,2.0,2.0,564.0,22559999.99999999,79.0,95.0,16.0,90.37411347517731,5.7903781244407355,50971.0,4.0,95.0,79.0,94.0,18721.16793577492,22556295.68571457
NH17-02, 6026,NH17-02 6026,3,3.0,3.0,576.0,23039999.99999999,79.0,84.0,5.0,83.77430555555556,1.0380434672829344,48254.0,2.0,84.0,79.0,84.0,19207.730335219443,23057967.428666223
NH17-02, 6027,NH17-02 6027,4,4.0,4.0,576.0,23039999.99999999,70.0,84.0,14.0,80.47569444444444,6.076145828472065,46354.0,2.0,84.0,70.0,84.0,19207.66475653017,23057888.90900691
NH17-02, 6028,NH17-02 6028,5,5.0,5.0,577.0,23079999.99999999,70.0,70.0,0.0,70.0,0.0,40390.0,1.0,70.0,70.0,70.0,19207.588280464544,23057705.339691665
NH17-02, 6029,NH17-02 6029,6,6.0,6.0,577.0,23079999.99999999,53.0,70.0,17.0,67.7313691507799,5.781006703568873,39081.0,2.0,70.0,53.0,70.0,19207.500969538294,23057495.765012987
NH17-02, 6030,NH17-02 6030,7,7.0,7.0,576.0,23039999.99999999,53.0,53.0,0.0,53.0,0.0,30528.0,1.0,53.0,53.0,53.0,19207.40259474164,23057259.63733709
NH17-02, 6031,NH17-02 6031,8,8.0,8.0,576.0,23039999.99999999,35.0,53.0,18.0,52.5,2.958039891549808,30240.0,2.0,53.0,35.0,53.0,19207.29327059147,23056997.228478692
NH17-02, 6032,NH17-02 6032,9,9.0,9.0,576.0,23039999.99999999,35.0,53.0,18.0,35.25,2.1065374432940898,20304.0,2.0,35.0,53.0,35.0,19207.17308004084,23056708.734935813
NH17-02, 6033,NH17-02 6033,10,10.0,10.0,575.0,22999999.99999999,35.0,51.0,16.0,35.111304347826085,1.3298424370475181,20189.0,2.0,35.0,51.0,35.0,19207.04225219768,23056394.71346671
NH17-02, 6034,NH17-02 6034,11,11.0,11.0,576.0,23039999.99999999,25.0,51.0,26.0,27.71527777777778,5.346225556466664,15964.0,4.0,25.0,51.0,25.0,19206.900080031795,23056053.46405118
NH17-02, 6035,NH17-02 6035,12,12.0,12.0,575.0,22999999.99999999,25.0,38.0,13.0,28.68521739130435,5.858924719245374,16494.0,2.0,25.0,38.0,25.0,19206.74735351652,23055686.8891055
NH17-02, 6036,NH17-02 6036,13,13.0,13.0,577.0,23079999.99999999,3.0,38.0,35.0,13.386481802426344,11.321274474775548,7724.0,4.0,3.0,38.0,15.0,19206.583365662467,23055293.28266979
NH17-02, 6037,NH17-02 6037,14,14.0,14.0,576.0,23039999.99999999,3.0,15.0,12.0,10.208333333333334,5.877068193883372,5880.0,2.0,15.0,3.0,15.0,19206.408428489653,23054873.401146732
NH17-02, 6038,NH17-02 6038,15,15.0,15.0,576.0,23039999.99999999,1.0,15.0,14.0,6.802083333333333,5.042430641152472,3918.0,4.0,5.0,3.0,5.0,19206.22285406841,23054427.99310852
NH17-02, 6039,NH17-02 6039,16,16.0,16.0,577.0,23079999.99999999,1.0,5.0,4.0,4.674176776429809,1.0941353304153432,2697.0,2.0,5.0,1.0,5.0,19206.026330385408,23053956.306289997
NH17-02, 6040,NH17-02 6040,17,17.0,17.0,576.0,23039999.99999999,1.0,5.0,4.0,2.8472222222222223,1.9941562001551645,1640.0,2.0,1.0,5.0,1.0,19205.818940304092,23053458.547039576
NH17-02, 6073,NH17-02 6073,18,18.0,18.0,67.0,2679999.9999999986,94.0,94.0,0.0,94.0,0.0,6298.0,1.0,94.0,94.0,94.0,8409.246707914264,2767036.887102553
NH17-02, 6074,NH17-02 6074,19,19.0,19.0,517.0,20679999.99999999,94.0,94.0,0.0,94.0,0.0,48598.0,1.0,94.0,94.0,94.0,17967.218870381694,20658909.530360296
NH17-02, 6076,NH17-02 6076,20,20.0,20.0,577.0,23079999.99999999,79.0,84.0,5.0,79.01733102253033,0.29386178436400123,45593.0,2.0,79.0,84.0,79.0,19207.723906187228,23058046.08563439
NH17-02, 6077,NH17-02 6077,21,21.0,21.0,576.0,23039999.99999999,63.0,84.0,21.0,73.11284722222223,7.881904483195315,42113.0,4.0,79.0,70.0,79.0,19207.658442216918,23057888.949864894
NH17-02, 6078,NH17-02 6078,22,22.0,22.0,577.0,23079999.99999999,63.0,70.0,7.0,64.92894280762565,3.1275836197117544,37464.0,2.0,63.0,70.0,63.0,19207.581967189923,23057705.382881593
NH17-02, 6079,NH17-02 6079,23,23.0,23.0,577.0,23079999.99999999,41.0,70.0,29.0,60.15424610051993,10.117616129672403,34709.0,4.0,63.0,53.0,63.0,19207.49452420547,23057495.491297714
NH17-02, 6080,NH17-02 6080,24,24.0,24.0,576.0,23039999.99999999,41.0,53.0,12.0,48.125,5.893587617063142,27720.0,2.0,53.0,41.0,53.0,19207.396184654535,23057259.44573246
NH17-02, 6081,NH17-02 6081,25,25.0,25.0,577.0,23079999.99999999,24.0,53.0,29.0,46.878682842287695,8.49931262374714,27049.0,4.0,53.0,24.0,53.0,19207.28717756144,23056997.796430483
NH17-02, 6082,NH17-02 6082,26,26.0,26.0,576.0,23039999.99999999,24.0,35.0,11.0,33.98784722222222,3.1795011102360693,19577.0,2.0,35.0,24.0,35.0,19207.16685905115,23056708.994865235
NH17-02, 6083,NH17-02 6083,27,27.0,27.0,579.0,23159999.99999999,25.0,35.0,10.0,34.41278065630397,2.3510352782018167,19925.0,2.0,35.0,25.0,35.0,19207.035872983215,23056394.59566484
NH17-02, 6084,NH17-02 6084,28,28.0,28.0,576.0,23039999.99999999,25.0,25.0,0.0,25.0,0.0,14400.0,1.0,25.0,25.0,25.0,19206.893741449803,23056053.443640612
NH17-02, 6085,NH17-02 6085,29,29.0,29.0,576.0,23039999.99999999,25.0,25.0,0.0,25.0,0.0,14400.0,1.0,25.0,25.0,25.0,19206.740859427533,23055686.49211564
NH17-02, 6086,NH17-02 6086,30,30.0,30.0,577.0,23079999.99999999,3.0,25.0,22.0,4.37261698440208,5.32104278041219,2523.0,2.0,3.0,25.0,3.0,19206.577080719264,23055293.387573905
NH17-02, 6087,NH17-02 6087,31,31.0,31.0,576.0,23039999.99999999,3.0,3.0,0.0,3.0,0.0,1728.0,1.0,3.0,3.0,3.0,19206.402417336503,23054874.1604175
NH17-02, 6088,NH17-02 6088,32,32.0,32.0,578.0,23119999.99999999,1.0,3.0,2.0,1.3633217993079585,0.7711296056847671,788.0,2.0,1.0,3.0,1.0,19206.216691432553,23054428.387915656
NH17-02, 6089,NH17-02 6089,33,33.0,33.0,576.0,23039999.99999999,1.0,1.0,0.0,1.0,0.0,576.0,1.0,1.0,1.0,1.0,19206.01998593706,23053956.268562734
NH17-02, 6090,NH17-02 6090,34,34.0,34.0,576.0,23039999.99999999,1.0,5.0,4.0,1.6736111111111112,0.5872471218309763,964.0,3.0,2.0,5.0,2.0,19205.81236417701,23053457.95087991
NH17-02, 6122,NH17-02 6122,35,35.0,35.0,49.0,1959999.9999999988,99.0,99.0,0.0,99.0,0.0,4851.0,1.0,99.0,99.0,99.0,6807.61998117752,1986078.0031210175
NH17-02, 6123,NH17-02 6123,36,36.0,36.0,406.0,16239999.99999999,94.0,99.0,5.0,94.77832512315271,1.1639592500059655,38480.0,3.0,95.0,99.0,95.0,17458.38598519568,16187824.226813938
NH17-02, 6124,NH17-02 6124,37,37.0,37.0,575.0,22999999.99999999,94.0,95.0,1.0,94.2591304347826,0.43815733766746534,54199.0,2.0,94.0,95.0,94.0,19207.816044710074,23058367.988518827
NH17-02, 6126,NH17-02 6126,38,38.0,38.0,576.0,23039999.99999999,79.0,79.0,0.0,79.0,0.0,45504.0,1.0,79.0,79.0,79.0,19207.717789843184,23058046.467090666
NH17-02, 6127,NH17-02 6127,39,39.0,39.0,576.0,23039999.99999999,63.0,79.0,16.0,69.83333333333333,7.914473380389177,40224.0,2.0,63.0,79.0,63.0,19207.652242665208,23057889.1301427
NH17-02, 6128,NH17-02 6128,40,40.0,40.0,576.0,23039999.99999999,63.0,63.0,0.0,63.0,0.0,36288.0,1.0,63.0,63.0,63.0,19207.57571729801,23057705.443763725
NH17-02, 6129,NH17-02 6129,41,41.0,41.0,576.0,23039999.99999999,41.0,63.0,22.0,53.03125,10.95155347142587,30546.0,2.0,63.0,41.0,63.0,19207.48827677892,23057495.557840046
NH17-02, 6130,NH17-02 6130,42,42.0,42.0,578.0,23119999.99999999,41.0,41.0,0.0,41.0,0.0,23698.0,1.0,41.0,41.0,41.0,19207.390087118583,23057259.87054546
NH17-02, 6131,NH17-02 6131,43,43.0,43.0,576.0,23039999.99999999,24.0,41.0,17.0,35.27430555555556,8.034502391835703,20318.0,2.0,41.0,24.0,41.0,19207.28083627636,23056997.636917055
NH17-02, 6132,NH17-02 6132,44,44.0,44.0,576.0,23039999.99999999,24.0,24.0,0.0,24.0,0.0,13824.0,1.0,24.0,24.0,24.0,19207.160524244086,23056708.85304953
NH17-02, 6133,NH17-02 6133,45,45.0,45.0,577.0,23079999.99999999,15.0,35.0,20.0,22.755632582322356,4.487329397288582,13130.0,4.0,24.0,25.0,24.0,19207.029380112104,23056394.069483317
NH17-02, 6134,NH17-02 6134,46,46.0,46.0,577.0,23079999.99999999,15.0,25.0,10.0,17.253032928942808,4.177819037551465,9955.0,2.0,15.0,25.0,15.0,19206.88760138084,23056053.767368473
NH17-02, 6135,NH17-02 6135,47,47.0,47.0,577.0,23079999.99999999,1.0,25.0,24.0,17.256499133448873,6.985257827170328,9957.0,4.0,15.0,3.0,15.0,19206.734449457173,23055686.16375314
NH17-02, 6136,NH17-02 6136,48,48.0,48.0,576.0,23039999.99999999,1.0,3.0,2.0,2.0833333333333335,0.9965217285917832,1200.0,2.0,3.0,1.0,3.0,19206.57063131946,23055292.964733105
NH17-02, 6137,NH17-02 6137,49,49.0,49.0,576.0,23039999.99999999,1.0,3.0,2.0,2.3993055555555554,0.9168179062946304,1382.0,2.0,3.0,1.0,3.0,19206.396012766265,23054873.8491833
NH17-02, 6138,NH17-02 6138,50,50.0,50.0,576.0,23039999.99999999,1.0,3.0,2.0,1.0625,0.34798527267687634,612.0,2.0,1.0,3.0,1.0,19206.210135584657,23054427.708339795
NH17-02, 6139,NH17-02 6139,51,51.0,51.0,575.0,22999999.99999999,1.0,1.0,0.0,1.0,0.0,575.0,1.0,1.0,1.0,1.0,19206.013872583262,23053956.64824465
NH17-02, 6140,NH17-02 6140,52,52.0,52.0,577.0,23079999.99999999,1.0,2.0,1.0,1.8596187175043328,0.34738217861677745,1073.0,2.0,2.0,1.0,2.0,19205.806299726086,23053458.447415195
NH17-02, 6171,NH17-02 6171,53,53.0,53.0,71.0,2839999.9999999986,99.0,99.0,0.0,99.0,0.0,7029.0,1.0,99.0,99.0,99.0,7293.115985673413,2844481.229898593
NH17-02, 6172,NH17-02 6172,54,54.0,54.0,510.0,20399999.99999999,95.0,99.0,4.0,98.96078431372548,0.39411276945617546,50470.0,2.0,99.0,95.0,99.0,17848.987529549388,20378143.110272303
NH17-02, 6173,NH17-02 6173,55,55.0,55.0,575.0,22999999.99999999,95.0,99.0,4.0,95.14608695652174,0.7503375421912781,54709.0,2.0,95.0,99.0,95.0,19207.842600957323,23058394.573103186
NH17-02, 6174,NH17-02 6174,56,56.0,56.0,577.0,23079999.99999999,95.0,95.0,0.0,95.0,0.0,54815.0,1.0,95.0,95.0,95.0,19207.809869890887,23058197.631291296
NH17-02, 6176,NH17-02 6176,57,57.0,57.0,576.0,23039999.99999999,79.0,85.0,6.0,84.65625,1.394394469832694,48762.0,2.0,85.0,79.0,85.0,19207.7114761638,23058046.237985164
NH17-02, 6177,NH17-02 6177,58,58.0,58.0,577.0,23079999.99999999,63.0,85.0,22.0,72.48873483535529,7.302355544134074,41826.0,4.0,70.0,79.0,70.0,19207.645928844893,23057888.900554124
NH17-02, 6178,NH17-02 6178,59,59.0,59.0,576.0,23039999.99999999,63.0,70.0,7.0,67.375,3.3888604279314896,38808.0,2.0,70.0,63.0,70.0,19207.5693847394,23057705.168457367
NH17-02, 6179,NH17-02 6179,60,60.0,60.0,577.0,23079999.99999999,41.0,70.0,29.0,54.43847487001733,10.836428858020945,31411.0,4.0,41.0,70.0,54.0,19207.482029769453,23057495.48815448
NH17-02, 6180,NH17-02 6180,61,61.0,61.0,577.0,23079999.99999999,41.0,54.0,13.0,45.03292894280762,6.013614586815813,25984.0,2.0,41.0,54.0,41.0,19207.38379259118,23057259.68807758
NH17-02, 6181,NH17-02 6181,62,62.0,62.0,576.0,23039999.99999999,24.0,54.0,30.0,34.177083333333336,9.858366573274477,19686.0,4.0,24.0,33.0,33.0,19207.27446403355,23056997.264432006
NH17-02, 6182,NH17-02 6182,63,63.0,63.0,576.0,23039999.99999999,24.0,33.0,9.0,24.140625,1.1161763343553741,13905.0,2.0,24.0,33.0,24.0,19207.154387681003,23056709.04593285
NH17-02, 6183,NH17-02 6183,64,64.0,64.0,575.0,22999999.99999999,15.0,24.0,9.0,20.57217391304348,4.370405370236154,11829.0,2.0,24.0,15.0,24.0,19207.02320016542,23056394.15855074
NH17-02, 6184,NH17-02 6184,65,65.0,65.0,576.0,23039999.99999999,15.0,15.0,0.0,15.0,0.0,8640.0,1.0,15.0,15.0,15.0,19206.88134778795,23056053.676011354
NH17-02, 6185,NH17-02 6185,66,66.0,66.0,576.0,23039999.99999999,1.0,15.0,14.0,11.32986111111111,6.157274151823182,6526.0,2.0,15.0,1.0,15.0,19206.728404002395,23055686.571846083
NH17-02, 6186,NH17-02 6186,67,67.0,67.0,575.0,22999999.99999999,1.0,1.0,0.0,1.0,0.0,575.0,1.0,1.0,1.0,1.0,19206.564578219826,23055293.354981944
NH17-02, 6187,NH17-02 6187,68,68.0,68.0,577.0,23079999.99999999,1.0,1.0,0.0,1.0,0.0,577.0,1.0,1.0,1.0,1.0,19206.38989011357,23054874.07035116
NH17-02, 6188,NH17-02 6188,69,69.0,69.0,576.0,23039999.99999999,1.0,1.0,0.0,1.0,0.0,576.0,1.0,1.0,1.0,1.0,19206.20402765031,23054427.964009777
NH17-02, 6189,NH17-02 6189,70,70.0,70.0,579.0,23159999.99999999,1.0,1.0,0.0,1.0,0.0,579.0,1.0,1.0,1.0,1.0,19206.00753200537,23053956.34571208
NH17-02, 6190,NH17-02 6190,71,71.0,71.0,576.0,23039999.99999999,1.0,2.0,1.0,1.1736111111111112,0.37877472620262875,676.0,2.0,1.0,2.0,1.0,19205.800008239217,23053458.26217281
NH17-02, 6221,NH17-02 6221,72,72.0,72.0,322.0,12879999.999999993,98.0,99.0,1.0,98.29813664596273,0.45743981713122606,31652.0,2.0,98.0,99.0,98.0,16295.420725193933,12911543.322655927
NH17-02, 6224,NH17-02 6224,73,73.0,73.0,576.0,23039999.99999999,77.0,95.0,18.0,94.36458333333333,2.1292594157880864,54354.0,4.0,95.0,77.0,95.0,19207.80366309417,23058282.304175973
NH17-02, 6225,NH17-02 6225,74,74.0,74.0,577.0,23079999.99999999,77.0,95.0,18.0,84.97227036395147,1.6482522258564638,49029.0,3.0,85.0,95.0,85.0,19207.76006658284,23058177.655636385
NH17-02, 6226,NH17-02 6226,75,75.0,75.0,577.0,23079999.99999999,85.0,85.0,0.0,85.0,0.0,49045.0,1.0,85.0,85.0,85.0,19207.7054116447,23058046.46311488
NH17-02, 6227,NH17-02 6227,76,76.0,76.0,576.0,23039999.99999999,70.0,85.0,15.0,71.5625,4.582149468317244,41220.0,2.0,70.0,85.0,70.0,19207.639729766874,23057888.80456313
NH17-02, 6230,NH17-02 6230,77,77.0,77.0,576.0,23039999.99999999,54.0,54.0,0.0,54.0,0.0,31104.0,1.0,54.0,54.0,54.0,19207.377581526598,23057259.55945675
