HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,InundationTotal_0,InundationTotal_1,InundationTotal_2,InundationTotal_3,InundationTotal_4,InundationTotal_5,InundationTotal_6
031101010504,277214975.0,36422750.0,15554300.0,10224050.0,7822125.0,7230100.0,4254075.0,277214975.0,313637725.0,329192025.0,339416075.0,347238200.0,354468300.0,358722375.0
031101010503,42449025.0,11824725.0,6835575.0,6186925.0,5707625.0,6307025.0,5381975.0,42449025.0,54273750.0,61109325.0,67296250.0,73003875.0,79310900.0,84692875.0
031102050804,2430425.0,3832000.0,2517275.0,2557500.0,2970275.0,5112650.0,7996725.0,2430425.0,6262425.0,8779700.0,11337200.0,14307475.0,19420125.0,27416850.0
031102050805,92663675.0,30910025.0,9008375.0,3667325.0,2869750.0,3155225.0,4376150.0,92663675.0,123573700.0,132582075.0,136249400.0,139119150.0,142274375.0,146650525.0
031101020903,71178275.0,30100175.0,17400350.0,9612800.0,6035425.0,6403125.0,7745825.0,71178275.0,101278450.0,118678800.0,128291600.0,134327025.0,140730150.0,148475975.0
031102050803,2410450.0,6898925.0,2137175.0,1802600.0,1539850.0,1620675.0,2078900.0,2410450.0,9309375.0,11446550.0,13249150.0,14789000.0,16409675.0,18488575.0
031102050802,0.0,6475.0,8625.0,16825.0,10600.0,7825.0,6550.0,0.0,6475.0,15100.0,31925.0,42525.0,50350.0,56900.0
031102050704,1837275.0,2842650.0,1754650.0,932100.0,895750.0,860600.0,1028725.0,1837275.0,4679925.0,6434575.0,7366675.0,8262425.0,9123025.0,10151750.0
031101020906,28141150.0,17844850.0,20807225.0,11610275.0,9740875.0,8330825.0,6586500.0,28141150.0,45986000.0,66793225.0,78403500.0,88144375.0,96475200.0,103061700.0
031300110704,311534275.0,13599525.0,9877325.0,8279450.0,11180725.0,15688200.0,20858125.0,311534275.0,325133800.0,335011125.0,343290575.0,354471300.0,370159500.0,391017625.0
031101020905,194161100.0,13158450.0,13388775.0,15006075.0,14061950.0,11768325.0,7707000.0,194161100.0,207319550.0,220708325.0,235714400.0,249776350.0,261544675.0,269251675.0
031102050703,16675.0,650.0,78525.0,19375.0,16450.0,14500.0,16600.0,16675.0,17325.0,95850.0,115225.0,131675.0,146175.0,162775.0
031300110706,128718075.0,42505400.0,24085250.0,8910250.0,6456250.0,4927625.0,3948075.0,128718075.0,171223475.0,195308725.0,204218975.0,210675225.0,215602850.0,219550925.0
031101020904,21823975.0,1893925.0,1217375.0,1511775.0,1794450.0,2062350.0,1703350.0,21823975.0,23717900.0,24935275.0,26447050.0,28241500.0,30303850.0,32007200.0
031101020804,62275.0,78725.0,111850.0,543100.0,506450.0,500675.0,376750.0,62275.0,141000.0,252850.0,795950.0,1302400.0,1803075.0,2179825.0
031300110703,7722975.0,9213025.0,3596675.0,4688825.0,4003575.0,4553525.0,3350750.0,7722975.0,16936000.0,20532675.0,25221500.0,29225075.0,33778600.0,37129350.0
