HUC12,VALUE_0,VALUE_1,VALUE_25,VALUE_50,VALUE_100,VALUE_200,VALUE_300,VALUE_400,VALUE_500,VALUE_600,VALUE_700,VALUE_800,VALUE_900,VALUE_950,VALUE_975,VALUE_1000,UrbArea,PixelArea60m,PercentUrb
031101010504,360108000.0,3520800.0,284400.0,511200.0,536400.0,601200.0,460800.0,370800.0,226800.0,86400.0,115200.0,144000.0,216000.0,216000.0,118800.0,1591200.0,6481620.0,369108000.0,0.017560226275236516
031101010503,187275600.0,9345600.0,871200.0,1454400.0,1321200.0,1692000.0,1238400.0,1072800.0,572400.0,482400.0,522000.0,597600.0,838800.0,720000.0,550800.0,9734400.0,23840730.0,218289600.0,0.10921605976647536
031102050804,86576400.0,1004400.0,288000.0,356400.0,360000.0,507600.0,313200.0,205200.0,248400.0,208800.0,205200.0,237600.0,306000.0,241200.0,172800.0,1908000.0,4507200.0,93139200.0,0.04839208410636982
031102050805,172317600.0,3916800.0,133200.0,100800.0,122400.0,180000.0,180000.0,126000.0,43200.0,14400.0,10800.0,28800.0,43200.0,39600.0,21600.0,316800.0,4553010.0,177595200.0,0.025637010459742156
031101020903,194947200.0,1587600.0,64800.0,111600.0,82800.0,140400.0,140400.0,115200.0,39600.0,25200.0,7200.0,14400.0,10800.0,36000.0,7200.0,176400.0,1998180.0,197506800.0,0.010117018755809927
031102050803,100303200.0,4276800.0,777600.0,1130400.0,882000.0,954000.0,723600.0,532800.0,320400.0,399600.0,345600.0,367200.0,540000.0,482400.0,327600.0,4215600.0,11476890.0,116578800.0,0.09844748787944292
031102050802,89024400.0,5562000.0,1018800.0,1188000.0,1202400.0,1454400.0,986400.0,882000.0,817200.0,720000.0,864000.0,997200.0,1332000.0,1069200.0,774000.0,11145600.0,23064660.0,119037600.0,0.19375945079537893
031102050704,80528400.0,13438800.0,1044000.0,1717200.0,1936800.0,2332800.0,1807200.0,1432800.0,1321200.0,1350000.0,1346400.0,1627200.0,2188800.0,1821600.0,1202400.0,20113200.0,44027100.0,135208800.0,0.3256230363704138
031101020906,181692000.0,1918800.0,396000.0,705600.0,680400.0,817200.0,594000.0,356400.0,280800.0,255600.0,255600.0,241200.0,378000.0,320400.0,201600.0,2768400.0,6791400.0,191862000.0,0.03539731682146543
031300110704,491893200.0,15472800.0,579600.0,1011600.0,763200.0,1105200.0,1000800.0,651600.0,216000.0,93600.0,111600.0,82800.0,147600.0,140400.0,90000.0,1260000.0,18318600.0,514620000.0,0.0355963623644631
031101020905,366033600.0,2822400.0,342000.0,504000.0,417600.0,673200.0,540000.0,273600.0,194400.0,122400.0,93600.0,129600.0,154800.0,140400.0,90000.0,1227600.0,5231880.0,373759200.0,0.013997996571054305
031102050703,44460000.0,4176000.0,406800.0,738000.0,655200.0,828000.0,550800.0,536400.0,471600.0,561600.0,500400.0,554400.0,838800.0,709200.0,565200.0,8452800.0,16633080.0,65005200.0,0.2558730686160492
031300110706,256417200.0,284400.0,3600.0,14400.0,14400.0,21600.0,10800.0,10800.0,3600.0,0.0,7200.0,3600.0,3600.0,7200.0,3600.0,90000.0,411840.0,256896000.0,0.0016031390134529147
031101020904,104731200.0,1760400.0,190800.0,284400.0,237600.0,370800.0,262800.0,176400.0,64800.0,39600.0,39600.0,46800.0,97200.0,54000.0,57600.0,1098000.0,3440970.0,109512000.0,0.03142094017094017
031102050702,45097200.0,8211600.0,651600.0,1044000.0,990000.0,1216800.0,918000.0,774000.0,720000.0,752400.0,802800.0,925200.0,1404000.0,1072800.0,950400.0,12837600.0,27368010.0,78368400.0,0.3492225182599109
031101020804,45694800.0,626400.0,219600.0,363600.0,302400.0,410400.0,273600.0,183600.0,90000.0,79200.0,75600.0,82800.0,100800.0,97200.0,36000.0,990000.0,2337750.0,49626000.0,0.047107363075807034
031101010201,136440000.0,3675600.0,925200.0,1209600.0,810000.0,979200.0,651600.0,540000.0,457200.0,468000.0,442800.0,525600.0,763200.0,658800.0,414000.0,5634000.0,13037760.0,154594800.0,0.08433504878559951
031300110703,70228800.0,6930000.0,471600.0,849600.0,637200.0,968400.0,781200.0,590400.0,266400.0,194400.0,169200.0,216000.0,306000.0,241200.0,187200.0,1922400.0,10862730.0,84960000.0,0.12785699152542374
031300110705,114051600.0,1400400.0,39600.0,43200.0,39600.0,61200.0,46800.0,25200.0,3600.0,0.0,0.0,7200.0,7200.0,10800.0,7200.0,68400.0,1543590.0,115812000.0,0.013328411563568543
031300110804,462884400.0,16491600.0,216000.0,514800.0,504000.0,756000.0,680400.0,518400.0,230400.0,122400.0,111600.0,115200.0,180000.0,126000.0,115200.0,2127600.0,20016360.0,485694000.0,0.041211874142978916
031300130504,153889200.0,5292000.0,82800.0,190800.0,154800.0,165600.0,147600.0,147600.0,36000.0,14400.0,10800.0,18000.0,10800.0,7200.0,3600.0,241200.0,5765400.0,160412400.0,0.03594111178437577
031101020902,133563600.0,10044000.0,496800.0,889200.0,846000.0,1105200.0,738000.0,640800.0,475200.0,514800.0,518400.0,514800.0,806400.0,720000.0,532800.0,10623600.0,24758280.0,163029600.0,0.1518637106390496
031102050701,76284000.0,27050400.0,1598400.0,2764800.0,2577600.0,3214800.0,2343600.0,2145600.0,1904400.0,1800000.0,1922400.0,2318400.0,3351600.0,2894400.0,2160000.0,38995200.0,81790560.0,173325600.0,0.47188966892369044
031101020805,67266000.0,10569600.0,424800.0,680400.0,666000.0,1044000.0,752400.0,604800.0,417600.0,190800.0,244800.0,262800.0,370800.0,374400.0,255600.0,3963600.0,16964370.0,88088400.0,0.19258347296579345
031300110702,61293600.0,302400.0,86400.0,172800.0,122400.0,172800.0,97200.0,93600.0,36000.0,57600.0,39600.0,54000.0,61200.0,64800.0,50400.0,428400.0,1144260.0,63133200.0,0.018124536693847296
031101020901,118443600.0,8290800.0,388800.0,576000.0,493200.0,655200.0,507600.0,453600.0,241200.0,198000.0,187200.0,162000.0,262800.0,270000.0,176400.0,2829600.0,12838050.0,134136000.0,0.09570920558239399
031101020506,130964400.0,367200.0,50400.0,108000.0,79200.0,115200.0,82800.0,54000.0,32400.0,25200.0,18000.0,25200.0,18000.0,28800.0,21600.0,277200.0,857160.0,132267600.0,0.006480498625513731
031300130305,221050800.0,4212000.0,104400.0,176400.0,154800.0,280800.0,270000.0,216000.0,100800.0,21600.0,43200.0,28800.0,39600.0,61200.0,18000.0,619200.0,5309640.0,227397600.0,0.023349586803026946
031102050604,119826000.0,4212000.0,576000.0,964800.0,874800.0,1278000.0,918000.0,813600.0,777600.0,730800.0,871200.0,939600.0,1407600.0,1188000.0,831600.0,12682800.0,23296410.0,148892400.0,0.15646473560772747
031401010704,357080400.0,13874400.0,478800.0,763200.0,687600.0,1047600.0,932400.0,648000.0,273600.0,108000.0,144000.0,93600.0,183600.0,115200.0,90000.0,1184400.0,16665840.0,377704800.0,0.04412398253874454
031300130402,47966400.0,1778400.0,190800.0,259200.0,266400.0,298800.0,273600.0,208800.0,57600.0,50400.0,25200.0,93600.0,93600.0,75600.0,82800.0,950400.0,3386880.0,52671600.0,0.06430182489235185
031300130503,293216400.0,2102400.0,21600.0,86400.0,61200.0,154800.0,115200.0,108000.0,32400.0,18000.0,10800.0,25200.0,43200.0,28800.0,14400.0,342000.0,2699100.0,296380800.0,0.009106865222038674
031300130502,74203200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74203200.0,0.0
031101020802,73476000.0,2228400.0,205200.0,388800.0,392400.0,532800.0,388800.0,280800.0,180000.0,68400.0,93600.0,64800.0,118800.0,100800.0,64800.0,1116000.0,4257990.0,79700400.0,0.053424951443154615
031101020803,118886400.0,644400.0,108000.0,154800.0,144000.0,176400.0,169200.0,108000.0,39600.0,36000.0,21600.0,28800.0,54000.0,28800.0,25200.0,277200.0,1255770.0,120902400.0,0.010386642448785136
031102050603,117651600.0,13478400.0,1342800.0,1666800.0,1342800.0,1800000.0,1285200.0,1238400.0,1080000.0,1159200.0,1076400.0,1342800.0,1872000.0,1627200.0,1195200.0,24181200.0,46610910.0,173340000.0,0.268898753894081
031300110701,100814400.0,1987200.0,424800.0,594000.0,518400.0,723600.0,460800.0,334800.0,205200.0,205200.0,176400.0,219600.0,334800.0,266400.0,180000.0,3020400.0,6771420.0,110466000.0,0.06129868013687469
031300130403,345870000.0,10267200.0,478800.0,799200.0,662400.0,964800.0,810000.0,529200.0,291600.0,187200.0,230400.0,270000.0,298800.0,309600.0,194400.0,3081600.0,15502590.0,365245200.0,0.04244433602412845
031300130304,107344800.0,61200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61200.0,107406000.0,0.0005698005698005698
031101020605,99180000.0,5155200.0,424800.0,774000.0,712800.0,1022400.0,756000.0,558000.0,428400.0,378000.0,298800.0,396000.0,525600.0,442800.0,306000.0,5389200.0,13478490.0,116748000.0,0.11544942954054888
031300110803,179272800.0,2966400.0,115200.0,223200.0,108000.0,388800.0,316800.0,176400.0,25200.0,28800.0,36000.0,39600.0,64800.0,61200.0,10800.0,482400.0,3930750.0,184316400.0,0.021326100119142953
031102050602,63064800.0,3553200.0,298800.0,597600.0,547200.0,745200.0,572400.0,464400.0,424800.0,327600.0,345600.0,399600.0,507600.0,514800.0,306000.0,5994000.0,12360600.0,78663600.0,0.1571323966866505
031101020505,202579200.0,230400.0,172800.0,284400.0,259200.0,327600.0,237600.0,165600.0,194400.0,136800.0,169200.0,208800.0,241200.0,212400.0,129600.0,1321200.0,2809080.0,206870400.0,0.013578936377558123
031401010702,82922400.0,1191600.0,270000.0,435600.0,334800.0,428400.0,288000.0,252000.0,172800.0,234000.0,180000.0,244800.0,284400.0,266400.0,140400.0,2160000.0,4881060.0,89805600.0,0.05435139902188728
031200031203,80881200.0,716400.0,93600.0,104400.0,133200.0,140400.0,93600.0,43200.0,21600.0,21600.0,25200.0,36000.0,21600.0,32400.0,36000.0,190800.0,1157040.0,82591200.0,0.014009240693923808
031300130501,67640400.0,46800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46800.0,67687200.0,0.0006914158068290607
031300130401,77832000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77832000.0,0.0
031300110802,98848800.0,428400.0,7200.0,28800.0,39600.0,21600.0,7200.0,10800.0,14400.0,0.0,0.0,10800.0,10800.0,14400.0,25200.0,198000.0,706590.0,99666000.0,0.007089579194509662
031200031204,119714400.0,3178800.0,637200.0,993600.0,918000.0,1065600.0,763200.0,684000.0,385200.0,414000.0,345600.0,388800.0,543600.0,514800.0,302400.0,3582000.0,9900990.0,134431200.0,0.07365098280756253
031101020503,127537200.0,9223200.0,795600.0,1040400.0,896400.0,1112400.0,763200.0,676800.0,410400.0,428400.0,489600.0,493200.0,770400.0,615600.0,532800.0,9295200.0,22399290.0,155080800.0,0.14443625516504943
031102060701,45061200.0,5616000.0,835200.0,961200.0,882000.0,1054800.0,763200.0,676800.0,640800.0,622800.0,666000.0,892800.0,1062000.0,1076400.0,604800.0,11851200.0,22777560.0,73267200.0,0.31088345125786165
031300130303,83862000.0,198000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198000.0,84060000.0,0.002355460385438972
031102050601,107398800.0,4550400.0,1296000.0,1659600.0,1353600.0,1753200.0,1206000.0,1051200.0,900000.0,896400.0,1018800.0,1234800.0,1623600.0,1447200.0,928800.0,13492800.0,25857360.0,141811200.0,0.18233651502843218
031300130302,52203600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52203600.0,0.0
031401010703,158810400.0,5230800.0,921600.0,1281600.0,1368000.0,1825200.0,1188000.0,856800.0,738000.0,705600.0,644400.0,741600.0,903600.0,824400.0,554400.0,6328800.0,16821360.0,182923200.0,0.09195859245847438
031102060703,43804800.0,216000.0,122400.0,205200.0,126000.0,212400.0,93600.0,90000.0,54000.0,68400.0,54000.0,57600.0,97200.0,61200.0,43200.0,439200.0,1127340.0,45745200.0,0.02464389706461006
031300130203,71308800.0,28800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28800.0,71337600.0,0.0004037141703673799
031300120606,85356000.0,9630000.0,723600.0,1166400.0,1134000.0,1540800.0,1213200.0,946800.0,522000.0,396000.0,378000.0,457200.0,666000.0,464400.0,338400.0,5018400.0,18388530.0,109951200.0,0.16724264946630868
030801021101,45990000.0,6519600.0,345600.0,738000.0,756000.0,954000.0,712800.0,536400.0,410400.0,370800.0,388800.0,442800.0,594000.0,608400.0,370800.0,6534000.0,16322130.0,66272400.0,0.24628850019012438
031200031202,110689200.0,219600.0,25200.0,50400.0,61200.0,72000.0,50400.0,39600.0,14400.0,14400.0,28800.0,14400.0,14400.0,18000.0,7200.0,100800.0,459630.0,111420000.0,0.0041252019386106625
031102050504,107211600.0,5612400.0,2059200.0,2577600.0,1908000.0,2268000.0,1594800.0,1350000.0,1101600.0,1263600.0,1227600.0,1368000.0,1954800.0,1738800.0,1119600.0,14346000.0,29567070.0,148701600.0,0.19883491502445166
031102050503,53294400.0,460800.0,493200.0,511200.0,295200.0,288000.0,255600.0,187200.0,180000.0,136800.0,190800.0,219600.0,248400.0,234000.0,140400.0,1976400.0,3777840.0,59112000.0,0.06390986601705237
031101020703,89204400.0,669600.0,82800.0,169200.0,165600.0,226800.0,208800.0,108000.0,64800.0,39600.0,14400.0,28800.0,72000.0,57600.0,28800.0,604800.0,1689570.0,91746000.0,0.018415734745928978
031101020504,105645600.0,2138400.0,302400.0,547200.0,543600.0,637200.0,410400.0,374400.0,273600.0,190800.0,237600.0,277200.0,385200.0,291600.0,201600.0,2635200.0,6722820.0,115092000.0,0.05841257428839537
031300110605,74869200.0,504000.0,14400.0,10800.0,21600.0,25200.0,28800.0,32400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64800.0,598500.0,75571200.0,0.00791968368902439
031101020801,165218400.0,306000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306000.0,165524400.0,0.0018486700450205528
031102050501,69282000.0,633600.0,68400.0,147600.0,129600.0,169200.0,100800.0,97200.0,61200.0,32400.0,14400.0,21600.0,39600.0,50400.0,18000.0,219600.0,1156680.0,71085600.0,0.01627164995442115
031102060302,79059600.0,4150800.0,1162800.0,1954800.0,1616400.0,1958400.0,1328400.0,957600.0,777600.0,817200.0,734400.0,882000.0,1314000.0,990000.0,648000.0,8992800.0,19458990.0,107344800.0,0.18127557180226708
031300110801,117651600.0,1746000.0,111600.0,169200.0,190800.0,244800.0,190800.0,97200.0,61200.0,46800.0,25200.0,64800.0,82800.0,82800.0,72000.0,1015200.0,3288150.0,121852800.0,0.02698460765776412
