HUC12,VALUE_0,VALUE_1,VALUE_2
031300110704,1360000.0,0.0,7760000.0
031300110706,0.0,0.0,3120000.0
031300110804,480000.0,840000.0,1800000.0
031300130504,200000.0,0.0,0.0
031300130305,0.0,0.0,800000.0
031401010704,1680000.0,0.0,6800000.0
031300130503,1080000.0,0.0,1720000.0
031300130403,400000.0,40000.0,1520000.0
031200031204,200000.0,0.0,400000.0
030802010601,4360000.0,0.0,2080000.0
030801031605,7320000.0,0.0,0.0
030801031606,1680000.0,120000.0,0.0
030702050304,3800000.0,3240000.0,2880000.0
030702040906,4120000.0,880000.0,0.0
030702030503,0.0,2920000.0,14080000.0
030702030502,240000.0,840000.0,2240000.0
030701060502,4080000.0,2880000.0,3440000.0
030602040602,0.0,0.0,2640000.0
030602040601,1720000.0,640000.0,400000.0
030601100306,0.0,120000.0,0.0
030601100202,0.0,240000.0,0.0
030601100302,920000.0,0.0,0.0
030601100305,5360000.0,0.0,0.0
030601100304,40000.0,0.0,0.0
030502100104,1760000.0,880000.0,1280000.0
030502100102,520000.0,40000.0,2280000.0
030502080503,0.0,0.0,40000.0
030502100103,360000.0,1120000.0,0.0
030502100101,40000.0,40000.0,0.0
030502071106,0.0,0.0,240000.0
030502060309,1240000.0,840000.0,280000.0
030502060406,160000.0,0.0,560000.0
030502071003,0.0,0.0,80000.0
030502060308,640000.0,1080000.0,520000.0
030502020207,2640000.0,960000.0,3000000.0
030502020203,240000.0,0.0,40000.0
030502060405,120000.0,0.0,680000.0
030502020206,1920000.0,400000.0,0.0
030502020204,400000.0,360000.0,0.0
030502020205,40000.0,160000.0,320000.0
030502010708,640000.0,1240000.0,0.0
030502090207,4160000.0,0.0,0.0
030502090204,800000.0,0.0,0.0
030502010707,240000.0,1120000.0,0.0
030502090206,0.0,0.0,2720000.0
030502090203,880000.0,0.0,520000.0
030502090205,0.0,0.0,1160000.0
030502090102,0.0,0.0,4640000.0
030502090101,0.0,0.0,4200000.0
030502090202,0.0,0.0,1240000.0
030501120304,0.0,0.0,800000.0
030501120404,0.0,0.0,120000.0
030501120303,0.0,0.0,240000.0
030402070210,0.0,760000.0,640000.0
030501120403,0.0,0.0,40000.0
030402070209,0.0,1560000.0,960000.0
030402070208,0.0,1320000.0,400000.0
030402080404,1120000.0,80000.0,2600000.0
030402080402,440000.0,0.0,880000.0
030402080403,2520000.0,720000.0,0.0
030402080401,800000.0,40000.0,0.0
030402080310,720000.0,240000.0,0.0
030402080311,960000.0,0.0,0.0
030402080308,1280000.0,0.0,0.0
030402080314,2840000.0,0.0,0.0
030402080307,1520000.0,0.0,0.0
030402080313,2880000.0,520000.0,640000.0
030402080306,2280000.0,920000.0,80000.0
030402080312,600000.0,720000.0,0.0
030402080305,40000.0,920000.0,0.0
030402080309,1480000.0,0.0,0.0
030402080304,600000.0,0.0,0.0
030402080205,3120000.0,0.0,0.0
030300050804,2280000.0,0.0,40000.0
030402080108,3480000.0,0.0,0.0
030402080107,1200000.0,0.0,0.0
030402080204,1720000.0,0.0,0.0
030300050802,880000.0,0.0,0.0
030300050803,960000.0,0.0,2000000.0
030402080317,2200000.0,1680000.0,40000.0
030402080316,1960000.0,0.0,0.0
030402080318,2760000.0,0.0,0.0
030300050704,2200000.0,120000.0,120000.0
030203020501,1200000.0,0.0,2360000.0
030203020502,2920000.0,1640000.0,1400000.0
030203020401,1520000.0,0.0,1400000.0
030203020403,4320000.0,0.0,1680000.0
030203020301,3400000.0,0.0,2360000.0
030203020302,680000.0,0.0,2360000.0
030203010302,160000.0,0.0,1920000.0
030203010304,2760000.0,0.0,2200000.0
030203010303,4040000.0,0.0,0.0
030203010703,0.0,7320000.0,2840000.0
030203010701,3080000.0,0.0,120000.0
030203010702,2400000.0,0.0,0.0
030203010704,1040000.0,2320000.0,1440000.0
030203010604,0.0,0.0,4320000.0
030203010602,0.0,0.0,2200000.0
030202040903,0.0,0.0,1320000.0
030201050206,0.0,0.0,4280000.0
030201050207,0.0,0.0,6520000.0
030201050205,80000.0,0.0,6000000.0
030203010605,0.0,0.0,5000000.0
030203010606,0.0,0.0,6200000.0
030201050306,40000.0,0.0,4440000.0
030201050305,680000.0,2400000.0,4040000.0
030201040505,80000.0,0.0,0.0
030201050304,160000.0,840000.0,10360000.0
030201040403,2080000.0,0.0,0.0
030201040504,800000.0,0.0,0.0
030201040402,2120000.0,0.0,0.0
030102051505,680000.0,0.0,15720000.0
030102051507,0.0,40000.0,3640000.0
030102050206,40000.0,0.0,0.0
030102051502,3520000.0,0.0,2560000.0
030102051404,4240000.0,0.0,0.0
030102051401,160000.0,0.0,0.0
030102051403,5520000.0,0.0,0.0
030102051003,40000.0,0.0,0.0
030102051306,9080000.0,0.0,1320000.0
030102051305,3680000.0,0.0,4040000.0
030102051304,40000.0,0.0,4760000.0
030102051303,0.0,0.0,8720000.0
030102051302,1920000.0,0.0,600000.0
030102051301,2360000.0,0.0,0.0
020801080201,40000.0,0.0,0.0
030602040606,0.0,0.0,1160000.0
030602040604,0.0,0.0,7120000.0
030602040603,0.0,0.0,4800000.0
030602040605,0.0,0.0,4840000.0
030601090503,0.0,160000.0,0.0
030601090501,0.0,120000.0,0.0
