HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4
031101010504,17320000.0,0.0,0.0,48400000.0,0.0
031101010503,2880000.0,0.0,0.0,13400000.0,0.0
031102050805,2760000.0,10120000.0,0.0,9320000.0,0.0
031101020903,1360000.0,0.0,0.0,29480000.0,0.0
031101020906,560000.0,0.0,0.0,24840000.0,0.0
031300110704,19360000.0,0.0,0.0,0.0,0.0
031101020905,2640000.0,0.0,0.0,37560000.0,0.0
031300110706,3800000.0,14120000.0,0.0,0.0,0.0
031101020904,0.0,0.0,0.0,6840000.0,0.0
031300110703,360000.0,0.0,0.0,0.0,0.0
031300110705,160000.0,0.0,0.0,0.0,0.0
031300110804,11080000.0,0.0,27800000.0,0.0,0.0
031300130504,12040000.0,0.0,6640000.0,0.0,0.0
031101020805,200000.0,0.0,640000.0,5680000.0,0.0
031101020506,160000.0,0.0,14160000.0,0.0,0.0
031300130305,6720000.0,0.0,0.0,0.0,0.0
031401010704,4760000.0,0.0,0.0,0.0,0.0
031300130402,3760000.0,0.0,0.0,0.0,0.0
031300130503,5320000.0,0.0,0.0,0.0,0.0
031300130403,6480000.0,0.0,0.0,0.0,0.0
031300130304,320000.0,0.0,0.0,0.0,0.0
031101020505,720000.0,2840000.0,11800000.0,0.0,0.0
031200031204,7200000.0,8920000.0,0.0,0.0,0.0
031101020503,600000.0,0.0,0.0,0.0,14200000.0
031401010703,7400000.0,0.0,0.0,0.0,0.0
031101020504,1840000.0,2520000.0,0.0,0.0,40000.0
031101020501,800000.0,0.0,0.0,0.0,19200000.0
031200010903,5760000.0,26760000.0,0.0,0.0,0.0
031101020403,160000.0,0.0,0.0,0.0,2840000.0
031200031101,400000.0,7040000.0,0.0,0.0,0.0
031200031102,1080000.0,360000.0,0.0,0.0,0.0
031200010902,4560000.0,13640000.0,0.0,0.0,11080000.0
031101020502,0.0,0.0,0.0,0.0,1880000.0
031200010901,40000.0,1160000.0,0.0,0.0,0.0
031200011102,1440000.0,0.0,0.0,0.0,30640000.0
031101020405,240000.0,0.0,0.0,0.0,17040000.0
031101020404,800000.0,0.0,0.0,0.0,19240000.0
031200011003,320000.0,0.0,0.0,0.0,11800000.0
031200011001,240000.0,0.0,0.0,0.0,720000.0
031200011002,480000.0,0.0,0.0,0.0,16600000.0
031101030505,200000.0,0.0,0.0,0.0,2880000.0
031101020104,400000.0,0.0,0.0,0.0,21880000.0
031200011103,120000.0,0.0,0.0,0.0,8720000.0
030801031204,1800000.0,0.0,0.0,0.0,0.0
030801031103,40000.0,0.0,0.0,0.0,0.0
030801031303,680000.0,0.0,0.0,0.0,0.0
030801031304,1480000.0,0.0,0.0,0.0,0.0
030801031302,320000.0,0.0,0.0,0.0,0.0
030802010601,23240000.0,0.0,0.0,0.0,0.0
030801031404,560000.0,0.0,0.0,0.0,0.0
030801031403,760000.0,0.0,0.0,0.0,0.0
030801031604,1800000.0,0.0,0.0,0.0,0.0
030801031405,400000.0,0.0,0.0,0.0,0.0
030801031503,5120000.0,0.0,0.0,0.0,0.0
030801031605,15640000.0,16240000.0,0.0,0.0,0.0
030801031502,3480000.0,0.0,0.0,0.0,0.0
030801031501,2480000.0,0.0,0.0,0.0,0.0
030801031606,9200000.0,7400000.0,12680000.0,0.0,0.0
030801031603,6080000.0,0.0,18280000.0,0.0,0.0
030801031601,9560000.0,0.0,0.0,0.0,0.0
030702050302,80000.0,3120000.0,0.0,26880000.0,0.0
030702050304,18840000.0,27720000.0,6920000.0,0.0,0.0
030702050105,160000.0,120000.0,0.0,0.0,0.0
030702050303,2480000.0,5400000.0,27240000.0,20760000.0,0.0
030702050104,80000.0,200000.0,0.0,360000.0,0.0
030702040906,10160000.0,12920000.0,16800000.0,0.0,0.0
030702040905,4200000.0,0.0,14640000.0,0.0,0.0
030702040907,1480000.0,4560000.0,37200000.0,0.0,0.0
030702030401,920000.0,0.0,16200000.0,0.0,0.0
030702030402,11760000.0,23240000.0,14440000.0,0.0,29240000.0
030702011201,3600000.0,0.0,0.0,0.0,7200000.0
030702030503,8680000.0,6240000.0,27840000.0,0.0,0.0
030702011202,1600000.0,0.0,12120000.0,0.0,9560000.0
