HUC12,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
031101010504,0.0,0.0,178160000.0,0.0,0.0
031101010503,0.0,0.0,48760000.0,0.0,0.0
031102050805,0.0,0.0,79120000.0,0.0,0.0
031101020903,0.0,0.0,81000000.0,5400000.0,0.0
031101020906,0.0,0.0,920000.0,24600000.0,22000000.0
031300110704,0.0,0.0,5400000.0,116120000.0,5920000.0
031101020905,0.0,0.0,0.0,3320000.0,187280000.0
031300110706,0.0,0.0,22800000.0,72160000.0,0.0
031101020904,0.0,0.0,0.0,0.0,24640000.0
031300110703,0.0,0.0,0.0,6880000.0,40000.0
031300110705,0.0,0.0,40000.0,1960000.0,0.0
031300110804,0.0,0.0,38360000.0,221600000.0,0.0
031300130504,0.0,0.0,0.0,62760000.0,0.0
031101020805,0.0,0.0,0.0,0.0,15200000.0
031101020506,0.0,0.0,0.0,0.0,55600000.0
031300130305,0.0,0.0,0.0,73160000.0,0.0
031401010704,0.0,0.0,0.0,89120000.0,0.0
031300130402,0.0,0.0,0.0,5280000.0,0.0
031300130503,0.0,0.0,0.0,114160000.0,0.0
031300130403,0.0,0.0,0.0,146960000.0,73120000.0
031300130304,0.0,0.0,0.0,1360000.0,0.0
031101020505,0.0,0.0,0.0,0.0,99960000.0
031200031204,0.0,0.0,0.0,23960000.0,30160000.0
031101020503,0.0,0.0,0.0,0.0,83000000.0
031401010703,0.0,0.0,2280000.0,12840000.0,0.0
031101020504,0.0,0.0,0.0,0.0,18760000.0
031101020501,0.0,0.0,0.0,0.0,57680000.0
031200010903,0.0,0.0,0.0,0.0,88600000.0
031101020403,0.0,0.0,0.0,0.0,3280000.0
031200031101,0.0,0.0,0.0,8760000.0,0.0
031200031102,0.0,0.0,0.0,2000000.0,0.0
031200010902,0.0,0.0,0.0,0.0,97800000.0
031101020502,0.0,0.0,0.0,0.0,2360000.0
031200010901,0.0,0.0,0.0,0.0,1320000.0
031200011102,0.0,0.0,0.0,0.0,121440000.0
031101020405,0.0,0.0,0.0,0.0,46800000.0
031101020404,0.0,0.0,0.0,0.0,44600000.0
031200011003,0.0,0.0,0.0,0.0,14200000.0
031200011001,0.0,0.0,0.0,0.0,2120000.0
031200011002,0.0,0.0,0.0,0.0,30360000.0
031101030505,0.0,0.0,0.0,0.0,3800000.0
031101020104,0.0,0.0,0.0,0.0,72240000.0
031200011103,0.0,0.0,0.0,0.0,17720000.0
030801031204,0.0,47800000.0,0.0,0.0,0.0
030801031103,0.0,280000.0,0.0,0.0,0.0
030801031303,9880000.0,27520000.0,0.0,0.0,0.0
030801031304,30400000.0,9200000.0,0.0,0.0,0.0
030801031301,1200000.0,0.0,0.0,0.0,0.0
030801031302,4920000.0,0.0,0.0,0.0,0.0
030802010601,0.0,43440000.0,12920000.0,0.0,0.0
030801031404,6200000.0,3040000.0,37920000.0,280000.0,0.0
030801031403,0.0,0.0,6440000.0,0.0,0.0
030801031402,0.0,0.0,80000.0,0.0,0.0
030801031604,0.0,0.0,2560000.0,0.0,0.0
030801031405,0.0,14200000.0,3360000.0,0.0,0.0
030801031503,0.0,1320000.0,15440000.0,4760000.0,0.0
030801031605,2840000.0,12920000.0,28680000.0,0.0,0.0
030801031502,0.0,0.0,13480000.0,0.0,0.0
030801031501,0.0,0.0,5080000.0,0.0,0.0
030801031606,39080000.0,8600000.0,240000.0,0.0,0.0
030801031603,20640000.0,6440000.0,20400000.0,0.0,0.0
030801031601,0.0,0.0,31120000.0,0.0,0.0
030702050302,0.0,0.0,0.0,31360000.0,2520000.0
030702050304,5400000.0,9120000.0,29600000.0,3440000.0,42440000.0
030702050105,0.0,0.0,0.0,1320000.0,0.0
030702050303,0.0,160000.0,6480000.0,35200000.0,26560000.0
030702050104,0.0,0.0,0.0,1440000.0,0.0
030702040906,0.0,0.0,0.0,16200000.0,48600000.0
030702040905,0.0,0.0,0.0,21440000.0,2800000.0
030702040907,0.0,0.0,0.0,26400000.0,32560000.0
030702030401,0.0,0.0,0.0,20840000.0,0.0
030702030402,0.0,0.0,62600000.0,46200000.0,7760000.0
030702011201,0.0,0.0,14320000.0,0.0,0.0
030702030503,0.0,0.0,40200000.0,34440000.0,5480000.0
030702011202,0.0,0.0,29800000.0,0.0,0.0
030702030502,0.0,840000.0,21440000.0,0.0,0.0
030702030302,0.0,0.0,42760000.0,6920000.0,0.0
030702030301,0.0,0.0,7480000.0,0.0,0.0
030702030102,0.0,0.0,15880000.0,0.0,0.0
030702030201,0.0,360000.0,140040000.0,65240000.0,0.0
030702030101,0.0,0.0,11520000.0,0.0,0.0
030701060502,0.0,960000.0,161040000.0,2840000.0,0.0
030602040501,0.0,0.0,87000000.0,15960000.0,0.0
030602040502,0.0,0.0,86320000.0,2600000.0,0.0
030602040401,0.0,0.0,69800000.0,40440000.0,0.0
030602040301,0.0,480000.0,49560000.0,47920000.0,2040000.0
030602040201,0.0,33800000.0,69080000.0,75520000.0,6080000.0
030602040602,0.0,0.0,67000000.0,43520000.0,920000.0
030602040601,0.0,0.0,52240000.0,83040000.0,20000000.0
030601100306,0.0,0.0,0.0,23080000.0,0.0
030601100303,0.0,0.0,0.0,31840000.0,0.0
030602040101,1480000.0,46280000.0,113200000.0,5880000.0,0.0
030601100202,0.0,0.0,9160000.0,32640000.0,0.0
030601100302,0.0,0.0,0.0,15440000.0,40000.0
030601100305,0.0,0.0,0.0,640000.0,240000.0
030601100301,0.0,0.0,0.0,37880000.0,0.0
030502080609,0.0,0.0,0.0,5120000.0,40000.0
030601100304,0.0,0.0,0.0,51240000.0,0.0
030502080606,0.0,0.0,0.0,44760000.0,0.0
030502080607,0.0,0.0,0.0,67960000.0,5240000.0
030502100104,0.0,0.0,0.0,1120000.0,0.0
030502080608,0.0,0.0,0.0,67680000.0,30400000.0
030502100102,0.0,0.0,11840000.0,85480000.0,0.0
030502080503,0.0,0.0,5840000.0,53200000.0,6520000.0
030502080501,0.0,0.0,0.0,16240000.0,1480000.0
030502100103,0.0,0.0,0.0,1440000.0,0.0
030502100101,0.0,0.0,3640000.0,29000000.0,0.0
030502080604,0.0,0.0,0.0,24040000.0,0.0
030502080502,0.0,0.0,0.0,15160000.0,19240000.0
030502071106,0.0,0.0,0.0,5320000.0,0.0
030502071103,0.0,0.0,19280000.0,52560000.0,2320000.0
030502080605,0.0,0.0,200000.0,50120000.0,8240000.0
030502080603,0.0,0.0,520000.0,20640000.0,0.0
030502071104,0.0,0.0,17840000.0,49960000.0,1760000.0
030502080406,0.0,0.0,2240000.0,0.0,0.0
030502071102,0.0,0.0,2440000.0,14040000.0,50320000.0
030502060309,0.0,0.0,0.0,4960000.0,0.0
030502080407,0.0,0.0,19040000.0,1880000.0,0.0
030502060406,0.0,0.0,0.0,1680000.0,0.0
030502080602,0.0,0.0,200000.0,10280000.0,0.0
030502060307,0.0,0.0,3160000.0,18840000.0,0.0
030502071101,0.0,0.0,14280000.0,33440000.0,13960000.0
030502071003,0.0,0.0,58160000.0,24280000.0,0.0
030502060308,0.0,0.0,53480000.0,42000000.0,0.0
030502080601,0.0,0.0,12840000.0,1680000.0,0.0
030502070706,0.0,0.0,37880000.0,8080000.0,0.0
030502070704,0.0,0.0,0.0,7680000.0,0.0
030502020207,0.0,0.0,0.0,1200000.0,0.0
030502070705,0.0,0.0,20080000.0,0.0,0.0
030502020203,0.0,0.0,0.0,28600000.0,0.0
030502060405,0.0,1520000.0,64720000.0,24560000.0,0.0
030502060403,0.0,40000.0,11240000.0,0.0,0.0
030502060306,0.0,0.0,4520000.0,0.0,0.0
030502020204,0.0,0.0,0.0,25080000.0,0.0
