HUC12,VALUE_0,VALUE_1
031101010504,30320000.0,200000.0
031101010503,53840000.0,0.0
031102050804,16080000.0,7520000.0
031102050805,8320000.0,41560000.0
031101020903,38240000.0,0.0
031102050803,8480000.0,18160000.0
031102050802,1360000.0,160000.0
031102050704,80000.0,11000000.0
031101020906,42160000.0,0.0
031300110704,45080000.0,0.0
031101020905,44200000.0,0.0
031102050703,0.0,1000000.0
031300110706,12360000.0,38040000.0
031101020904,22880000.0,0.0
031102050702,400000.0,0.0
031101020804,10400000.0,0.0
031101010201,14560000.0,0.0
031300110703,10560000.0,0.0
031300110705,22240000.0,38440000.0
031300110804,3320000.0,60400000.0
031300130504,1360000.0,11560000.0
031101020902,27080000.0,0.0
031102050701,760000.0,9880000.0
031101020805,21360000.0,0.0
031300110702,6640000.0,10080000.0
031101020901,27360000.0,0.0
031101020506,22520000.0,0.0
031300130305,6840000.0,15720000.0
031102050604,10360000.0,3720000.0
031401010704,21720000.0,0.0
031300130402,3960000.0,10680000.0
031300130503,1680000.0,10760000.0
031300130502,0.0,6120000.0
031101020802,7720000.0,0.0
031101020803,31280000.0,0.0
031102050603,5440000.0,14560000.0
031300110701,6600000.0,280000.0
031300130403,4400000.0,0.0
031300130304,0.0,11000000.0
031101020605,18720000.0,0.0
031300110803,0.0,114600000.0
031102050602,14960000.0,120000.0
031101020505,41560000.0,0.0
031401010702,7160000.0,0.0
031200031203,4920000.0,16320000.0
031300130501,0.0,14960000.0
031300130401,0.0,14960000.0
031300110802,0.0,24720000.0
031200031204,4800000.0,10200000.0
031101020503,12200000.0,0.0
031102060701,1160000.0,0.0
031300130303,0.0,6440000.0
031102050601,22560000.0,18200000.0
031300130302,0.0,24160000.0
031401010703,14640000.0,600000.0
031102060703,6280000.0,360000.0
031300130203,0.0,38160000.0
031300120606,2600000.0,61080000.0
030801021101,5720000.0,0.0
031200031202,0.0,57840000.0
031102050504,2040000.0,14840000.0
031102050503,18520000.0,240000.0
031101020703,24880000.0,0.0
031101020504,15400000.0,0.0
031300110605,0.0,54120000.0
031101020801,65880000.0,0.0
031102050501,14800000.0,2880000.0
031102060302,21120000.0,200000.0
031300110801,0.0,44480000.0
031102060505,480000.0,5240000.0
031102060504,400000.0,12400000.0
031200031201,0.0,16320000.0
031101020501,34880000.0,0.0
031200030903,0.0,40520000.0
031300130202,0.0,55920000.0
031300130301,0.0,39600000.0
031200010903,120000.0,15040000.0
031101020403,21640000.0,0.0
031300110604,0.0,65280000.0
031102050502,3880000.0,15280000.0
031200031101,0.0,29400000.0
031300130201,0.0,19840000.0
031200031102,0.0,35520000.0
031300120605,160000.0,8560000.0
031101020701,14560000.0,0.0
031102060506,1160000.0,5840000.0
031102060704,2880000.0,15760000.0
030801030601,10360000.0,0.0
031101020602,21840000.0,0.0
031101020604,55400000.0,0.0
031101020603,39560000.0,0.0
031102060503,4200000.0,10200000.0
031200010902,2160000.0,14680000.0
031300120604,6240000.0,2160000.0
031102060101,20120000.0,34000000.0
031101020502,41120000.0,0.0
031401010701,5400000.0,0.0
031200031003,0.0,32320000.0
030801030502,1480000.0,2760000.0
031401010503,1880000.0,0.0
031300110603,0.0,64640000.0
031102060104,2680000.0,5440000.0
030801030603,21240000.0,0.0
031102050406,0.0,40000.0
031200010901,2960000.0,6400000.0
031300130102,0.0,27640000.0
031101020402,8400000.0,0.0
031300130103,0.0,35600000.0
031200011102,5280000.0,24800000.0
031102050407,1480000.0,6320000.0
031200030902,0.0,46880000.0
031102060405,11280000.0,20440000.0
031101020405,34960000.0,0.0
031101020601,32960000.0,0.0
031101020203,8960000.0,0.0
031200010803,0.0,18360000.0
031102060103,12120000.0,1640000.0
030801030901,8880000.0,8000000.0
031102060102,9240000.0,3960000.0
031200030901,0.0,37640000.0
031102060606,3680000.0,1440000.0
031102060208,11480000.0,10280000.0
031200010703,200000.0,10920000.0
031102050203,7840000.0,3400000.0
030801030902,10400000.0,0.0
031102050405,7240000.0,9040000.0
031101020404,48920000.0,0.0
031200031002,0.0,36840000.0
031102060605,3080000.0,0.0
031200030705,0.0,18720000.0
031300110601,0.0,13360000.0
030801030804,45640000.0,0.0
031300120602,2960000.0,400000.0
031200011003,5160000.0,9160000.0
031300130101,0.0,31480000.0
031102060404,16680000.0,1480000.0
030801030903,2080000.0,14960000.0
031101020303,14320000.0,0.0
031102050305,4600000.0,11080000.0
031300110602,0.0,43600000.0
031200010802,0.0,16480000.0
031401010302,4840000.0,0.0
031101020202,26160000.0,0.0
030801021102,4040000.0,0.0
030801030504,1400000.0,0.0
030801030503,80000.0,200000.0
031102060604,560000.0,0.0
031300120603,40000.0,11680000.0
031102060204,18960000.0,1000000.0
031200011001,13560000.0,3120000.0
031102060403,6720000.0,0.0
031200010702,0.0,10360000.0
031200011002,12560000.0,9280000.0
031102050403,1680000.0,0.0
031102060206,16480000.0,0.0
031200011101,6200000.0,0.0
031300120601,4760000.0,0.0
031101020401,9880000.0,0.0
031101030505,30720000.0,3160000.0
031101020104,58400000.0,0.0
031101020302,11880000.0,0.0
031102060207,18720000.0,0.0
031300110502,0.0,33360000.0
031200030704,0.0,13320000.0
031102060202,8800000.0,280000.0
031102050202,16400000.0,7440000.0
031101030504,54040000.0,0.0
031102060603,11880000.0,0.0
030801031102,10120000.0,0.0
031200031001,0.0,25200000.0
031200010704,4760000.0,2680000.0
031200010801,0.0,18360000.0
031200010605,3240000.0,0.0
031200030702,0.0,14920000.0
031300110503,0.0,56680000.0
030801030904,18200000.0,5000000.0
031200030805,0.0,36640000.0
031200030701,0.0,13520000.0
030801031001,160000.0,8000000.0
031102050402,3160000.0,0.0
031102060602,4560000.0,0.0
031102050404,2400000.0,0.0
031102050201,7320000.0,5480000.0
031401010301,5200000.0,0.0
031200011103,14440000.0,9000000.0
030801031204,31240000.0,0.0
031102050302,800000.0,0.0
031200010504,8560000.0,0.0
031101020201,43520000.0,0.0
031102060601,8840000.0,0.0
031102060402,14200000.0,0.0
031101020301,27720000.0,0.0
031300120504,240000.0,6400000.0
031200030703,0.0,11080000.0
031401010201,5160000.0,0.0
031101020103,47520000.0,0.0
031300110501,320000.0,12000000.0
030801031103,26680000.0,0.0
031102050401,13720000.0,0.0
031102050304,160000.0,1160000.0
031102060205,15320000.0,0.0
031300120505,9040000.0,480000.0
031101030503,28080000.0,0.0
031200030804,0.0,21360000.0
031102050104,6920000.0,240000.0
031300120503,11720000.0,680000.0
031200010701,0.0,17000000.0
031200010503,17360000.0,0.0
031200010604,3280000.0,0.0
031102060401,9200000.0,0.0
031102010801,12240000.0,0.0
031200030803,0.0,19960000.0
031200010602,0.0,6400000.0
031200030605,0.0,9000000.0
031101030502,25720000.0,0.0
031200010603,2240000.0,6640000.0
031200030604,0.0,6000000.0
031200030801,0.0,8840000.0
030801031004,25600000.0,0.0
031101020102,24040000.0,0.0
030702040401,18720000.0,0.0
031300110404,40000.0,18320000.0
031101030501,19560000.0,0.0
