HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3
031101010504,15040000.0,3720000.0,11760000.0,0.0
031101010503,49160000.0,2080000.0,2600000.0,0.0
031102050804,2840000.0,3680000.0,17080000.0,0.0
031102050805,6760000.0,14080000.0,29040000.0,0.0
031101020903,1120000.0,8960000.0,28160000.0,0.0
031102050803,1760000.0,7800000.0,17080000.0,0.0
031102050802,1080000.0,440000.0,0.0,0.0
031102050704,840000.0,2840000.0,7400000.0,0.0
031101020906,5280000.0,14560000.0,22320000.0,0.0
031300110704,12280000.0,20000000.0,9160000.0,3640000.0
031101020905,6800000.0,14680000.0,22720000.0,0.0
031102050703,40000.0,80000.0,880000.0,0.0
031300110706,7600000.0,6120000.0,33320000.0,3360000.0
031101020904,1520000.0,7160000.0,14200000.0,0.0
031102050702,40000.0,360000.0,0.0,0.0
031101020804,440000.0,2760000.0,7200000.0,0.0
031101010201,13320000.0,360000.0,880000.0,0.0
031300110703,600000.0,2280000.0,5840000.0,1840000.0
031300110705,3640000.0,8520000.0,35040000.0,13480000.0
031300110804,2200000.0,10440000.0,40520000.0,10560000.0
031300130504,2320000.0,9600000.0,760000.0,240000.0
031101020902,1240000.0,5240000.0,20600000.0,0.0
031102050701,1000000.0,5520000.0,4120000.0,0.0
031101020805,2800000.0,6320000.0,12240000.0,0.0
031300110702,320000.0,2120000.0,11960000.0,2320000.0
031101020901,1680000.0,5200000.0,20480000.0,0.0
031101020506,5680000.0,8280000.0,8560000.0,0.0
031300130305,6920000.0,11760000.0,2840000.0,1040000.0
031102050604,1360000.0,4440000.0,8280000.0,0.0
031401010704,2000000.0,15840000.0,3880000.0,0.0
031300130402,2680000.0,4840000.0,3960000.0,3160000.0
031300130503,3520000.0,8320000.0,600000.0,0.0
031300130502,440000.0,4200000.0,1480000.0,0.0
031101020802,120000.0,3760000.0,3840000.0,0.0
031101020803,1240000.0,10480000.0,19560000.0,0.0
031102050603,2920000.0,8640000.0,8440000.0,0.0
031300110701,160000.0,1960000.0,4760000.0,0.0
031300130403,1680000.0,2720000.0,0.0,0.0
031300130304,2280000.0,4600000.0,2120000.0,2000000.0
031101020605,2080000.0,2680000.0,13960000.0,0.0
031300110803,1920000.0,9000000.0,53880000.0,49800000.0
031102050602,1280000.0,7120000.0,6680000.0,0.0
031101020505,3480000.0,5240000.0,32840000.0,0.0
031401010702,160000.0,4920000.0,2080000.0,0.0
031200031203,2680000.0,5600000.0,11400000.0,1560000.0
031300130501,880000.0,10400000.0,3680000.0,0.0
031300130401,640000.0,6040000.0,4680000.0,3600000.0
031300110802,520000.0,14160000.0,10040000.0,0.0
031200031204,4560000.0,5840000.0,4520000.0,80000.0
031101020503,1520000.0,7520000.0,3160000.0,0.0
031102060701,120000.0,360000.0,680000.0,0.0
031300130303,240000.0,4560000.0,1640000.0,0.0
031102050601,2800000.0,12360000.0,20000000.0,5600000.0
031300130302,1480000.0,15040000.0,7640000.0,0.0
031401010703,640000.0,10040000.0,4560000.0,0.0
031102060703,1520000.0,5080000.0,40000.0,0.0
031300130203,600000.0,25520000.0,12040000.0,0.0
031300120606,880000.0,8640000.0,33320000.0,20840000.0
030801021101,4720000.0,1000000.0,0.0,0.0
031200031202,6680000.0,15320000.0,25520000.0,10320000.0
031102050504,3880000.0,6760000.0,6240000.0,0.0
031102050503,160000.0,10720000.0,7200000.0,680000.0
031101020703,3800000.0,4360000.0,16720000.0,0.0
031101020504,2880000.0,4560000.0,7960000.0,0.0
031300110605,1280000.0,2160000.0,33000000.0,17680000.0
031101020801,2240000.0,19920000.0,36920000.0,6800000.0
031102050501,800000.0,8680000.0,4160000.0,4040000.0
031102060302,21200000.0,120000.0,0.0,0.0
