HUC12,VALUE_0,VALUE_1
031101010504,5120000.0,25400000.0
031101010503,16080000.0,37760000.0
031102050804,3560000.0,20040000.0
031102050805,11120000.0,38760000.0
031101020903,5000000.0,33240000.0
031102050803,6920000.0,19720000.0
031102050802,1200000.0,320000.0
031102050704,4680000.0,6400000.0
031101020906,4320000.0,37840000.0
031300110704,11000000.0,34080000.0
031101020905,5200000.0,39000000.0
031102050703,600000.0,400000.0
031300110706,9880000.0,40520000.0
031101020904,3440000.0,19440000.0
031102050702,320000.0,80000.0
031101020804,1160000.0,9240000.0
031101010201,6880000.0,7680000.0
031300110703,2680000.0,7880000.0
031300110705,7160000.0,53520000.0
031300110804,9800000.0,53920000.0
031300130504,4400000.0,8520000.0
031101020902,3400000.0,23680000.0
031102050701,6120000.0,4520000.0
031101020805,4240000.0,17120000.0
031300110702,1360000.0,15360000.0
031101020901,4160000.0,23200000.0
031101020506,7280000.0,15240000.0
031300130305,4960000.0,17600000.0
031102050604,5760000.0,8320000.0
031401010704,6480000.0,15240000.0
031300130402,3040000.0,11600000.0
031300130503,3800000.0,8640000.0
031300130502,120000.0,6000000.0
031101020802,1720000.0,6000000.0
031101020803,7880000.0,23400000.0
031102050603,9320000.0,10680000.0
031300110701,360000.0,6520000.0
031300130403,2440000.0,1960000.0
031300130304,760000.0,10240000.0
031101020605,1600000.0,17120000.0
031300110803,13760000.0,100840000.0
031102050602,5280000.0,9800000.0
031101020505,3760000.0,37800000.0
031401010702,520000.0,6640000.0
031200031203,4560000.0,16680000.0
031300130501,2920000.0,12040000.0
031300130401,2600000.0,12360000.0
031300110802,5000000.0,19720000.0
031200031204,6320000.0,8680000.0
031101020503,5120000.0,7080000.0
031102060701,640000.0,520000.0
031300130303,760000.0,5680000.0
031102050601,13400000.0,27360000.0
031300130302,2440000.0,21720000.0
031401010703,2240000.0,13000000.0
031102060703,2680000.0,3960000.0
031300130203,8680000.0,29480000.0
031300120606,8880000.0,54800000.0
030801021101,2760000.0,2960000.0
031200031202,10240000.0,47600000.0
031102050504,6760000.0,10120000.0
031102050503,6840000.0,11920000.0
031101020703,2760000.0,22120000.0
031101020504,4320000.0,11080000.0
031300110605,7640000.0,46480000.0
031101020801,7880000.0,58000000.0
031102050501,6680000.0,11000000.0
031102060302,11240000.0,10080000.0
031300110801,15640000.0,28840000.0
031102060505,2600000.0,3120000.0
031102060504,5160000.0,7640000.0
031200031201,4000000.0,12320000.0
031101020501,4840000.0,30040000.0
031200030903,9680000.0,30840000.0
031300130202,15640000.0,40280000.0
031300130301,5880000.0,33720000.0
031200010903,7720000.0,7440000.0
031101020403,1640000.0,20000000.0
031300110604,15600000.0,49680000.0
031102050502,7520000.0,11640000.0
031200031101,10120000.0,19280000.0
031300130201,6600000.0,13240000.0
031200031102,15640000.0,19880000.0
031300120605,2520000.0,6200000.0
031101020701,3720000.0,10840000.0
031102060506,2480000.0,4520000.0
031102060704,8520000.0,10120000.0
030801030601,4960000.0,5400000.0
031101020602,5440000.0,16400000.0
031101020604,6920000.0,48480000.0
031101020603,4520000.0,35040000.0
031102060503,7520000.0,6880000.0
031200010902,6720000.0,10120000.0
031300120604,4000000.0,4400000.0
031102060101,12840000.0,41280000.0
031101020502,10960000.0,30160000.0
031401010701,720000.0,4680000.0
031200031003,3600000.0,28720000.0
030801030502,3080000.0,1160000.0
031401010503,120000.0,1760000.0
031300110603,8000000.0,56640000.0
031102060104,3080000.0,5040000.0
030801030603,6320000.0,14920000.0
031102050406,40000.0,0.0
031200010901,3960000.0,5400000.0
031300130102,5920000.0,21720000.0
031101020402,920000.0,7480000.0
031300130103,11280000.0,24320000.0
031200011102,4400000.0,25680000.0
031102050407,4000000.0,3800000.0
031200030902,13000000.0,33880000.0
031102060405,15240000.0,16480000.0
031101020405,3440000.0,31520000.0
031101020601,8720000.0,24240000.0
031101020203,3760000.0,5200000.0
031200010803,7440000.0,10920000.0
031102060103,5120000.0,8640000.0
030801030901,8200000.0,8680000.0
031102060102,7040000.0,6160000.0
031200030901,10320000.0,27320000.0
031102060606,2200000.0,2920000.0
031102060208,6760000.0,15000000.0
031200010703,4840000.0,6280000.0
031102050203,4320000.0,6920000.0
030801030902,3640000.0,6760000.0
031102050405,8080000.0,8200000.0
031101020404,2760000.0,46160000.0
031200031002,13360000.0,23480000.0
031102060605,2160000.0,920000.0
031200030705,6560000.0,12160000.0
031300110601,3160000.0,10200000.0
030801030804,16880000.0,28760000.0
031300120602,1120000.0,2240000.0
031200011003,5120000.0,9200000.0
