HUC12,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
031101010504,0.0,40000.0,0.0,1520000.0,100480000.0
031101010503,0.0,400000.0,155960000.0,8560000.0,13600000.0
031102050804,0.0,84880000.0,0.0,0.0,320000.0
031102050805,3040000.0,29880000.0,200000.0,6400000.0,76280000.0
031101020903,160000.0,0.0,760000.0,86760000.0,48640000.0
031102050803,2800000.0,50520000.0,0.0,48040000.0,1000000.0
031102050802,65440000.0,80000.0,320000.0,1800000.0,360000.0
031102050704,84200000.0,0.0,0.0,40000.0,0.0
031101020906,160000.0,0.0,120000.0,129520000.0,41120000.0
031300110704,14880000.0,2800000.0,16200000.0,23240000.0,127520000.0
031101020905,520000.0,0.0,7320000.0,53080000.0,131320000.0
031102050703,14360000.0,0.0,0.0,0.0,0.0
031300110706,200000.0,440000.0,640000.0,10200000.0,106240000.0
031101020904,0.0,0.0,7280000.0,8800000.0,74440000.0
031102050702,16040000.0,40000.0,0.0,0.0,0.0
031101020804,0.0,120000.0,0.0,49080000.0,280000.0
031101010201,0.0,0.0,39440000.0,280000.0,0.0
031300110703,920000.0,0.0,0.0,30040000.0,45280000.0
031300110705,0.0,0.0,0.0,1240000.0,96320000.0
031300110804,11280000.0,6440000.0,600000.0,31200000.0,110880000.0
031300130504,4280000.0,0.0,840000.0,18240000.0,78400000.0
031101020902,22280000.0,20320000.0,14000000.0,89920000.0,6280000.0
031102050701,134800000.0,0.0,40000.0,40000.0,0.0
031101020805,6320000.0,3720000.0,6960000.0,19920000.0,25160000.0
031300110702,0.0,0.0,0.0,0.0,63120000.0
031101020901,8520000.0,240000.0,0.0,110640000.0,13160000.0
031101020506,0.0,0.0,1280000.0,2480000.0,61280000.0
031300130305,16640000.0,1960000.0,2840000.0,22960000.0,66280000.0
031102050604,43640000.0,4960000.0,5320000.0,24800000.0,120000.0
031401010704,4320000.0,0.0,16360000.0,19200000.0,144520000.0
031300130402,0.0,0.0,5080000.0,20400000.0,22960000.0
031300130503,3680000.0,0.0,3480000.0,28240000.0,46320000.0
031300130502,0.0,0.0,0.0,0.0,74280000.0
031101020802,0.0,0.0,200000.0,77800000.0,1360000.0
031101020803,0.0,0.0,0.0,32320000.0,88000000.0
031102050603,126800000.0,0.0,1040000.0,40000.0,40000.0
031300110701,0.0,0.0,0.0,360000.0,106360000.0
031300130403,13880000.0,0.0,40000.0,320000.0,0.0
031300130304,0.0,0.0,1240000.0,26000000.0,79800000.0
031101020605,0.0,3240000.0,17880000.0,38960000.0,55840000.0
031300110803,0.0,40000.0,0.0,15520000.0,168080000.0
031102050602,55920000.0,0.0,0.0,40000.0,80000.0
031101020505,0.0,0.0,640000.0,520000.0,87400000.0
031401010702,0.0,0.0,0.0,40000.0,80200000.0
031200031203,0.0,0.0,40000.0,62360000.0,15800000.0
031300130501,0.0,0.0,0.0,120000.0,67320000.0
031300130401,0.0,0.0,1040000.0,43000000.0,27800000.0
031300110802,0.0,0.0,0.0,19280000.0,77520000.0
031200031204,4720000.0,0.0,12600000.0,32280000.0,20880000.0
031101020503,5640000.0,1200000.0,6120000.0,32920000.0,10600000.0
031102060701,0.0,0.0,80000.0,3960000.0,40000.0
031300130303,0.0,0.0,0.0,20440000.0,56440000.0
031102050601,320000.0,0.0,84760000.0,1080000.0,0.0
031300130302,0.0,0.0,0.0,2000000.0,48120000.0
031401010703,3240000.0,40000.0,2040000.0,19240000.0,118800000.0
031102060703,120000.0,0.0,20120000.0,0.0,21200000.0
031300130203,0.0,0.0,0.0,5720000.0,63240000.0
031300120606,0.0,7840000.0,40000.0,19640000.0,65000000.0
030801021101,0.0,0.0,12840000.0,2000000.0,23080000.0
031200031202,0.0,0.0,40000.0,3320000.0,78440000.0
031102050504,33960000.0,0.0,0.0,18720000.0,0.0
031102050503,920000.0,0.0,160000.0,39000000.0,40000.0
031101020703,0.0,0.0,0.0,2440000.0,83520000.0
031101020504,1280000.0,1240000.0,600000.0,60640000.0,17880000.0
