HUC12,VALUE_1,VALUE_2,VALUE_3
031101010504,1280000.0,1280000.0,1320000.0
031101010503,4840000.0,920000.0,2440000.0
031102050804,280000.0,0.0,40000.0
031102050805,1280000.0,400000.0,760000.0
031101020903,120000.0,120000.0,240000.0
031102050803,1680000.0,320000.0,680000.0
031102050802,760000.0,760000.0,1720000.0
031102050704,840000.0,280000.0,640000.0
031101020906,360000.0,160000.0,0.0
031300110704,520000.0,200000.0,440000.0
031101020905,400000.0,0.0,160000.0
031102050703,0.0,0.0,40000.0
031300110706,480000.0,800000.0,7560000.0
031101020904,360000.0,280000.0,40000.0
031102050702,160000.0,40000.0,0.0
031101020804,120000.0,40000.0,40000.0
031101010201,4360000.0,2640000.0,4720000.0
031300110703,200000.0,80000.0,800000.0
031300110705,80000.0,160000.0,4280000.0
031300110804,640000.0,400000.0,360000.0
031300130504,80000.0,40000.0,280000.0
031101020902,1960000.0,440000.0,440000.0
031102050701,1800000.0,880000.0,760000.0
031101020805,520000.0,120000.0,400000.0
031300110702,0.0,0.0,360000.0
031101020901,960000.0,320000.0,400000.0
031101020506,320000.0,200000.0,0.0
031300130305,400000.0,200000.0,40000.0
031102050604,840000.0,600000.0,160000.0
031401010704,360000.0,160000.0,1280000.0
031300130402,360000.0,480000.0,160000.0
031300130503,160000.0,40000.0,40000.0
031300130502,0.0,0.0,200000.0
031101020802,280000.0,80000.0,0.0
031101020803,480000.0,160000.0,640000.0
031102050603,560000.0,160000.0,360000.0
031300130403,720000.0,320000.0,280000.0
031300130304,0.0,40000.0,40000.0
031101020605,280000.0,0.0,0.0
031300110803,640000.0,240000.0,1600000.0
031102050602,800000.0,600000.0,600000.0
031101020505,360000.0,40000.0,600000.0
031200031203,120000.0,240000.0,120000.0
031300130501,160000.0,200000.0,1080000.0
031300130401,80000.0,40000.0,40000.0
031300110802,80000.0,160000.0,440000.0
031200031204,1720000.0,1960000.0,800000.0
031101020503,880000.0,200000.0,400000.0
031102060701,40000.0,160000.0,0.0
031300130303,40000.0,0.0,0.0
031102050601,1840000.0,800000.0,2200000.0
031401010703,80000.0,0.0,40000.0
031102060703,200000.0,0.0,0.0
031300130203,160000.0,200000.0,240000.0
031300120606,280000.0,0.0,0.0
030801021101,40000.0,0.0,0.0
031200031202,440000.0,240000.0,320000.0
031102050504,840000.0,280000.0,120000.0
031102050503,720000.0,320000.0,3000000.0
031101020703,240000.0,200000.0,160000.0
031101020504,640000.0,360000.0,360000.0
031300110605,80000.0,40000.0,120000.0
031101020801,560000.0,880000.0,2080000.0
031102050501,800000.0,800000.0,3840000.0
031102060302,800000.0,240000.0,0.0
031300110801,1800000.0,1520000.0,600000.0
031102060505,40000.0,0.0,0.0
031102060504,80000.0,0.0,0.0
031101020501,1200000.0,440000.0,0.0
031200030903,320000.0,0.0,0.0
031300130202,40000.0,0.0,0.0
031300130301,40000.0,0.0,0.0
031200010903,1440000.0,640000.0,400000.0
031101020403,40000.0,40000.0,80000.0
031300110604,760000.0,360000.0,800000.0
031102050502,680000.0,80000.0,360000.0
031200031101,640000.0,120000.0,40000.0
031300130201,200000.0,80000.0,0.0
031200031102,1000000.0,760000.0,120000.0
031300120605,80000.0,0.0,0.0
031101020701,80000.0,40000.0,400000.0
