HUC12,VALUE_0,VALUE_1
031101010504,2600000.0,1760000.0
031101010503,6920000.0,3800000.0
031102050804,480000.0,160000.0
031102050805,1840000.0,1320000.0
031101020903,160000.0,360000.0
031102050803,2200000.0,1120000.0
031102050802,2000000.0,1920000.0
031102050704,1480000.0,800000.0
031101020906,160000.0,400000.0
031300110704,840000.0,600000.0
031101020905,600000.0,120000.0
031102050703,40000.0,40000.0
031300110706,1440000.0,7680000.0
031101020904,400000.0,280000.0
031102050702,200000.0,80000.0
031101020804,40000.0,160000.0
031101010201,6600000.0,6840000.0
031300110703,280000.0,800000.0
031300110705,400000.0,4200000.0
031300110804,840000.0,1000000.0
031300130504,200000.0,280000.0
031101020902,2400000.0,1160000.0
031102050701,3240000.0,1600000.0
031101020805,880000.0,560000.0
031300110702,0.0,360000.0
031101020901,1080000.0,960000.0
031101020506,520000.0,320000.0
031300130305,440000.0,400000.0
031102050604,1320000.0,920000.0
031401010704,560000.0,1440000.0
031300130402,640000.0,480000.0
031300130503,280000.0,80000.0
031300130502,0.0,200000.0
031101020802,160000.0,240000.0
031101020803,600000.0,920000.0
031102050603,1200000.0,560000.0
031300130403,1160000.0,440000.0
031300130304,0.0,80000.0
031101020605,280000.0,80000.0
031300110803,1320000.0,1440000.0
031102050602,1200000.0,1240000.0
031101020505,480000.0,640000.0
031200031203,200000.0,320000.0
031300130501,520000.0,960000.0
031300130401,160000.0,40000.0
031300110802,200000.0,480000.0
031200031204,3880000.0,1880000.0
031101020503,800000.0,920000.0
031102060701,80000.0,160000.0
031300130303,40000.0,0.0
031102050601,2560000.0,2960000.0
031401010703,160000.0,40000.0
031102060703,200000.0,120000.0
031300130203,240000.0,440000.0
031300120606,240000.0,160000.0
030801021101,200000.0,0.0
031200031202,520000.0,600000.0
031102050504,760000.0,600000.0
031102050503,720000.0,3400000.0
031101020703,320000.0,360000.0
031101020504,960000.0,760000.0
031300110605,280000.0,120000.0
031101020801,760000.0,2800000.0
031102050501,1200000.0,4240000.0
031102060302,920000.0,440000.0
031300110801,2520000.0,2400000.0
031102060505,40000.0,0.0
031102060504,200000.0,40000.0
031200031201,40000.0,0.0
031101020501,1560000.0,800000.0
031200030903,360000.0,120000.0
031300130202,80000.0,40000.0
031300130301,40000.0,0.0
031200010903,2320000.0,1080000.0
031101020403,40000.0,120000.0
031300110604,1200000.0,1080000.0
031102050502,960000.0,560000.0
031200031101,680000.0,440000.0
031300130201,320000.0,160000.0
031200031102,1920000.0,760000.0
031300120605,80000.0,0.0
031101020701,160000.0,400000.0
031102060506,120000.0,40000.0
031102060704,480000.0,200000.0
030801030601,240000.0,40000.0
031101020602,240000.0,240000.0
031101020604,480000.0,160000.0
031101020603,600000.0,800000.0
031102060503,440000.0,80000.0
031200010902,640000.0,240000.0
031300120604,160000.0,0.0
031102060101,1880000.0,2040000.0
031101020502,1560000.0,1720000.0
031401010701,40000.0,0.0
031200031003,320000.0,160000.0
030801030502,3040000.0,960000.0
031300110603,520000.0,200000.0
031102060104,80000.0,40000.0
030801030603,960000.0,880000.0
031102050406,160000.0,80000.0
031200010901,200000.0,200000.0
031300130102,40000.0,80000.0
031101020402,80000.0,0.0
031300130103,320000.0,80000.0
031200011102,680000.0,2600000.0
031102050407,320000.0,240000.0
031200030902,320000.0,0.0
031102060405,680000.0,200000.0
031101020405,160000.0,40000.0
031101020601,600000.0,720000.0
031101020203,1160000.0,680000.0
031200010803,680000.0,40000.0
031102060103,440000.0,160000.0
030801030901,280000.0,40000.0
031102060102,1600000.0,1040000.0
031200030901,400000.0,40000.0
031102060606,760000.0,160000.0
031102060208,600000.0,160000.0
031200010703,160000.0,40000.0
031102050203,1040000.0,520000.0
030801030902,120000.0,320000.0
031102050405,1280000.0,1520000.0
031101020404,160000.0,80000.0
031200031002,200000.0,80000.0
031102060605,880000.0,40000.0
031200030705,120000.0,0.0
031300110601,160000.0,80000.0
030801030804,1640000.0,800000.0
031300120602,40000.0,0.0
031200011003,640000.0,1080000.0
031300130101,120000.0,40000.0
031102060404,480000.0,80000.0
030801030903,720000.0,160000.0
031101020303,640000.0,640000.0
031102050305,1120000.0,1160000.0
031300110602,560000.0,160000.0
031200010802,40000.0,0.0
031401010302,200000.0,0.0
031101020202,800000.0,1000000.0
030801021102,360000.0,280000.0
030801030504,160000.0,0.0
030801030503,880000.0,240000.0
031102060604,80000.0,200000.0
031300120603,160000.0,0.0
031102060204,1600000.0,560000.0
031200011001,360000.0,80000.0
031102060403,40000.0,80000.0
031200010702,480000.0,40000.0
031200011002,480000.0,120000.0
031102050403,400000.0,120000.0
031102060206,360000.0,200000.0
031200011101,0.0,200000.0
031300120601,80000.0,80000.0
031101020401,240000.0,400000.0
031101030505,640000.0,160000.0
031101020104,160000.0,160000.0
031101020302,280000.0,240000.0
031102060207,200000.0,120000.0
031300110502,440000.0,120000.0
