HUC12,VALUE_0,VALUE_1,VALUE_2
031101010504,251920000.0,80000.0,0.0
031101010503,218320000.0,0.0,0.0
031102050804,93240000.0,0.0,0.0
031102050805,177560000.0,0.0,0.0
031101020903,197320000.0,0.0,0.0
031102050803,116840000.0,0.0,0.0
031102050802,119440000.0,0.0,0.0
031102050704,134960000.0,0.0,0.0
031101020906,192280000.0,0.0,0.0
031300110704,514480000.0,160000.0,0.0
031101020905,373760000.0,0.0,0.0
031102050703,64920000.0,0.0,0.0
031300110706,256280000.0,0.0,0.0
031101020904,109200000.0,0.0,0.0
031102050702,78200000.0,0.0,0.0
031101020804,49600000.0,0.0,0.0
031101010201,154640000.0,0.0,0.0
031300110703,84680000.0,120000.0,0.0
031300110705,115680000.0,0.0,0.0
031300110804,484720000.0,1040000.0,80000.0
031300130504,160120000.0,0.0,0.0
031101020902,163120000.0,0.0,0.0
031102050701,172720000.0,0.0,80000.0
031101020805,88120000.0,0.0,0.0
031300110702,63160000.0,0.0,0.0
031101020901,134120000.0,0.0,0.0
031101020506,132360000.0,0.0,0.0
031300130305,226960000.0,80000.0,0.0
031102050604,149160000.0,0.0,0.0
031401010704,377720000.0,0.0,0.0
031300130402,52640000.0,0.0,0.0
031300130503,297240000.0,0.0,80000.0
031300130502,74280000.0,0.0,0.0
031101020802,79920000.0,0.0,0.0
031101020803,120680000.0,0.0,0.0
031102050603,173640000.0,0.0,0.0
031300110701,110200000.0,0.0,0.0
031300130403,365000000.0,0.0,0.0
031300130304,107360000.0,0.0,0.0
031101020605,116720000.0,0.0,0.0
031300110803,184520000.0,0.0,40000.0
031102050602,78480000.0,0.0,0.0
031101020505,206760000.0,0.0,0.0
031401010702,90160000.0,0.0,0.0
031200031203,82520000.0,0.0,0.0
031300130501,67760000.0,0.0,0.0
031300130401,77880000.0,0.0,0.0
031300110802,99800000.0,0.0,0.0
031200031204,134800000.0,0.0,0.0
031101020503,154880000.0,0.0,0.0
031102060701,73120000.0,0.0,0.0
031300130303,84160000.0,0.0,0.0
031102050601,142040000.0,0.0,0.0
031300130302,52080000.0,0.0,0.0
031401010703,182720000.0,0.0,0.0
031102060703,45560000.0,0.0,0.0
031300130203,71240000.0,0.0,0.0
031300120606,109880000.0,0.0,0.0
030801021101,66160000.0,320000.0,0.0
031200031202,111400000.0,0.0,0.0
031102050504,148640000.0,0.0,0.0
031102050503,58960000.0,0.0,0.0
031101020703,91520000.0,0.0,0.0
031101020504,114920000.0,0.0,0.0
031300110605,75480000.0,0.0,0.0
031101020801,165720000.0,0.0,0.0
031102050501,71080000.0,0.0,0.0
031102060302,107280000.0,0.0,0.0
031300110801,121800000.0,0.0,0.0
031102060505,92360000.0,0.0,0.0
031102060504,121040000.0,2680000.0,240000.0
031200031201,57280000.0,0.0,0.0
031101020501,209080000.0,0.0,0.0
031200030903,90560000.0,0.0,0.0
031300130202,92480000.0,0.0,0.0
031300130301,61480000.0,0.0,0.0
031200010903,138240000.0,0.0,0.0
031101020403,60360000.0,0.0,0.0
031300110604,133480000.0,0.0,0.0
031102050502,101960000.0,0.0,0.0
031200031101,89440000.0,160000.0,0.0
031300130201,45840000.0,0.0,0.0
031200031102,97680000.0,0.0,0.0
031300120605,70520000.0,0.0,0.0
031101020701,84520000.0,0.0,0.0
031102060506,85360000.0,0.0,0.0
031102060704,148920000.0,200000.0,0.0
030801030601,112560000.0,0.0,0.0
031101020602,107280000.0,0.0,0.0
031101020604,194400000.0,0.0,0.0
031101020603,131200000.0,0.0,0.0
031102060503,84240000.0,0.0,0.0
031200010902,143840000.0,0.0,0.0
031300120604,110520000.0,0.0,0.0
031102060101,215200000.0,360000.0,560000.0
031101020502,177920000.0,0.0,0.0
031401010701,83320000.0,0.0,0.0
031200031003,55640000.0,0.0,0.0
030801030502,121680000.0,0.0,0.0
031401010503,73080000.0,0.0,0.0
031300110603,129000000.0,0.0,0.0
031102060104,86600000.0,0.0,0.0
030801030603,157640000.0,0.0,0.0
031102050406,72960000.0,0.0,0.0
031200010901,76080000.0,40000.0,0.0
031300130102,50440000.0,0.0,0.0
031101020402,71960000.0,0.0,0.0
031300130103,73360000.0,0.0,0.0
031200011102,186960000.0,0.0,80000.0
031102050407,70520000.0,0.0,0.0
031200030902,117280000.0,0.0,0.0
031102060405,119000000.0,0.0,0.0
031101020405,141640000.0,0.0,0.0
031101020601,128200000.0,0.0,0.0
031101020203,118400000.0,0.0,0.0
031200010803,62840000.0,0.0,0.0
031102060103,119880000.0,0.0,0.0
030801030901,112040000.0,0.0,0.0
031102060102,87200000.0,200000.0,0.0
031200030901,100480000.0,0.0,0.0
031102060606,148720000.0,0.0,960000.0
031102060208,91480000.0,0.0,0.0
031200010703,51800000.0,0.0,0.0
031102050203,85880000.0,0.0,0.0
030801030902,121360000.0,0.0,0.0
031102050405,170320000.0,0.0,0.0
031101020404,153840000.0,0.0,0.0
031200031002,112760000.0,0.0,0.0
031102060605,99720000.0,0.0,0.0
031200030705,63480000.0,0.0,0.0
031300110601,56560000.0,0.0,0.0
030801030804,227960000.0,0.0,0.0
031300120602,115360000.0,0.0,0.0
031200011003,79720000.0,0.0,0.0
031300130101,61080000.0,0.0,0.0
031102060404,112400000.0,0.0,0.0
030801030903,135240000.0,0.0,0.0
031101020303,128080000.0,120000.0,0.0
031102050305,164040000.0,0.0,0.0
031300110602,123360000.0,0.0,0.0
031200010802,66840000.0,0.0,0.0
031401010302,85320000.0,0.0,0.0
031101020202,131440000.0,0.0,0.0
030801021102,43360000.0,0.0,0.0
030801030504,13520000.0,0.0,0.0
030801030503,30080000.0,0.0,0.0
031102060604,55520000.0,0.0,0.0
031300120603,87080000.0,0.0,0.0
031102060204,109480000.0,0.0,0.0
031200011001,108200000.0,120000.0,4240000.0
031102060403,87840000.0,0.0,0.0
031200010702,41200000.0,0.0,0.0
031200011002,117560000.0,160000.0,240000.0
031102050403,91000000.0,0.0,0.0
031102060206,86640000.0,0.0,0.0
031200011101,63600000.0,0.0,0.0
031300120601,143400000.0,0.0,0.0
031101020401,72640000.0,0.0,0.0
031101030505,120720000.0,0.0,0.0
031101020104,224480000.0,0.0,0.0
031101020302,122960000.0,0.0,0.0
031102060207,92360000.0,240000.0,0.0
031300110502,93040000.0,0.0,0.0
031200030704,53840000.0,0.0,0.0
031102060202,61480000.0,0.0,0.0
031102050202,160960000.0,0.0,0.0
031101030504,99800000.0,0.0,0.0
031102060603,122080000.0,0.0,0.0
030801031102,58120000.0,0.0,0.0
031200031001,96000000.0,0.0,0.0
031200010704,83520000.0,0.0,5680000.0
031200010801,87160000.0,0.0,0.0
031200010605,61120000.0,0.0,1240000.0
031200030702,67760000.0,0.0,0.0
031300110503,96920000.0,0.0,0.0
030801030904,130320000.0,200000.0,240000.0
031200030805,132480000.0,0.0,0.0
031200030701,68040000.0,0.0,0.0
030801031001,121000000.0,0.0,0.0
031102050402,98320000.0,0.0,40000.0
031102060602,74880000.0,0.0,0.0
031102050404,110880000.0,0.0,0.0
031102050201,86400000.0,0.0,0.0
031401010301,63760000.0,0.0,0.0
031200011103,107320000.0,0.0,0.0
030801031204,188680000.0,640000.0,160000.0
031102050302,42960000.0,0.0,0.0
031200010504,65680000.0,0.0,160000.0
031101020201,80160000.0,0.0,0.0
031102060601,49800000.0,160000.0,0.0
031102060402,122920000.0,0.0,0.0
031101020301,111200000.0,0.0,0.0
031300120504,81080000.0,0.0,0.0
031200030703,56920000.0,0.0,0.0
031401010201,54880000.0,0.0,0.0
031101020103,181480000.0,0.0,0.0
031300110501,65920000.0,40000.0,0.0
030801031103,78240000.0,0.0,0.0
031102050401,85480000.0,0.0,0.0
031102050304,102400000.0,0.0,0.0
031102060205,61640000.0,0.0,0.0
031300120505,147720000.0,0.0,0.0
031101030503,103360000.0,0.0,0.0
031200030804,95400000.0,0.0,0.0
031102050104,87280000.0,0.0,0.0
031300120503,95960000.0,0.0,0.0
031200010701,92560000.0,0.0,0.0
031200010503,90520000.0,0.0,0.0
031200010604,87560000.0,0.0,0.0
031102060401,160920000.0,0.0,0.0
031102010801,97600000.0,0.0,0.0
031200030803,90280000.0,0.0,80000.0
031200010602,50280000.0,80000.0,40000.0
031200030605,64160000.0,0.0,0.0
031101030502,87920000.0,0.0,0.0
031200010603,110560000.0,80000.0,0.0
031200030604,60400000.0,0.0,0.0
031200030801,87040000.0,0.0,0.0
030801031004,90640000.0,40000.0,40000.0
031101020102,118680000.0,0.0,0.0
030702040401,121440000.0,0.0,40000.0
031300110404,52800000.0,0.0,0.0
031101030501,62760000.0,0.0,40000.0
030702040402,73000000.0,0.0,0.0
030801031303,96000000.0,0.0,40000.0
031102060201,104000000.0,0.0,0.0
031102050303,156240000.0,0.0,0.0
031401010102,86120000.0,0.0,0.0
031102050103,104960000.0,0.0,0.0
031102010703,127640000.0,560000.0,80000.0
031101030406,100960000.0,0.0,0.0
031300110402,44200000.0,0.0,0.0
031200030802,53920000.0,0.0,0.0
031101030404,51920000.0,0.0,40000.0
031200010501,50320000.0,0.0,0.0
031200010404,50120000.0,0.0,200000.0
031300110403,96840000.0,0.0,0.0
030801031101,92800000.0,0.0,0.0
031300120502,116960000.0,0.0,0.0
031200030502,67320000.0,0.0,0.0
031200010601,78760000.0,3360000.0,80000.0
031200030303,48600000.0,0.0,0.0
030801031002,146600000.0,0.0,0.0
031101030403,158840000.0,0.0,0.0
031102050301,159520000.0,400000.0,0.0
030801031304,100520000.0,440000.0,80000.0
031401010101,86320000.0,0.0,0.0
031200010403,41200000.0,640000.0,0.0
031102050102,132320000.0,0.0,0.0
031102050105,145360000.0,0.0,0.0
031300120501,126320000.0,0.0,0.0
031200030603,105480000.0,0.0,0.0
030801031301,134920000.0,0.0,0.0
031200010402,59400000.0,0.0,440000.0
031101020101,128680000.0,0.0,0.0
031200030404,81520000.0,0.0,0.0
031102050101,92000000.0,0.0,0.0
031300110401,76480000.0,0.0,0.0
031101030304,42640000.0,0.0,0.0
031200010303,87840000.0,0.0,80000.0
031102010802,139160000.0,840000.0,1400000.0
030801031302,138680000.0,0.0,0.0
030802010601,306560000.0,0.0,0.0
030702040403,70040000.0,160000.0,0.0
030702040301,102480000.0,0.0,0.0
031101030405,89000000.0,0.0,120000.0
031200030602,65120000.0,120000.0,0.0
030702040201,158080000.0,0.0,0.0
031200030501,78400000.0,0.0,80000.0
030801031003,173960000.0,0.0,0.0
031200030302,66640000.0,0.0,0.0
031300110303,59080000.0,0.0,1360000.0
031102030906,65760000.0,200000.0,0.0
031102010704,154240000.0,0.0,2880000.0
031300120403,42040000.0,0.0,0.0
030702040302,50360000.0,0.0,0.0
031300120408,111920000.0,0.0,0.0
031101030303,125960000.0,0.0,0.0
031101030402,137160000.0,0.0,0.0
031200010401,64840000.0,40000.0,1240000.0
031200030301,105240000.0,640000.0,9800000.0
031200010302,75440000.0,0.0,400000.0
031300110202,61720000.0,0.0,0.0
030801031404,85400000.0,1480000.0,320000.0
031300110203,72600000.0,0.0,0.0
031300110302,91360000.0,0.0,0.0
031200030403,70000000.0,0.0,40000.0
031102010902,82840000.0,0.0,0.0
031200030402,48120000.0,400000.0,0.0
031402030803,117880000.0,0.0,0.0
031200030601,53520000.0,0.0,0.0
030801031201,29080000.0,0.0,0.0
031402030804,113240000.0,0.0,0.0
031102010904,77160000.0,0.0,0.0
030702040303,48520000.0,0.0,0.0
030801031403,86800000.0,720000.0,560000.0
031102030907,152880000.0,0.0,0.0
031102010604,63160000.0,0.0,0.0
030702040501,133240000.0,0.0,0.0
031200030401,53120000.0,0.0,40000.0
031200030104,49680000.0,0.0,0.0
031101030305,102800000.0,80000.0,0.0
030702040202,116880000.0,0.0,0.0
031402030802,80280000.0,0.0,0.0
030801031402,83720000.0,0.0,0.0
031200010301,77040000.0,0.0,160000.0
031300120401,133200000.0,0.0,0.0
030801031604,73200000.0,0.0,0.0
030801031602,42800000.0,0.0,0.0
031300110102,69880000.0,0.0,0.0
031102010804,103160000.0,0.0,0.0
030801031401,102320000.0,0.0,0.0
031300110201,82240000.0,0.0,0.0
031102010701,127520000.0,0.0,0.0
031300120405,83080000.0,0.0,0.0
031101030401,58200000.0,200000.0,0.0
031102010702,145760000.0,0.0,0.0
031101030205,98600000.0,0.0,80000.0
030801031405,47960000.0,9800000.0,360000.0
031300110301,99200000.0,0.0,0.0
031300120404,114840000.0,0.0,0.0
031200030106,109440000.0,40000.0,0.0
031200010203,153520000.0,0.0,1320000.0
031102030905,54680000.0,0.0,0.0
031300120407,88880000.0,0.0,160000.0
031200030207,85960000.0,0.0,120000.0
