HUC12,VALUE_0,VALUE_1
031101010504,80000.0,0.0
031300110704,160000.0,0.0
031300110703,120000.0,0.0
031300110804,1040000.0,80000.0
031102050701,0.0,80000.0
031300130305,80000.0,0.0
031300130503,0.0,80000.0
031300110803,0.0,40000.0
030801021101,320000.0,0.0
031102060504,2680000.0,240000.0
031200031101,160000.0,0.0
031102060704,200000.0,0.0
031102060101,360000.0,560000.0
031200010901,40000.0,0.0
031200011102,0.0,80000.0
031102060102,200000.0,0.0
031102060606,0.0,960000.0
031101020303,120000.0,0.0
031200011001,120000.0,4240000.0
031200011002,160000.0,240000.0
031102060207,240000.0,0.0
031200010704,0.0,5680000.0
031200010605,0.0,1240000.0
030801030904,200000.0,240000.0
031102050402,0.0,40000.0
030801031204,640000.0,160000.0
031200010504,0.0,160000.0
031102060601,160000.0,0.0
031300110501,40000.0,0.0
031200030803,0.0,80000.0
031200010602,80000.0,40000.0
031200010603,80000.0,0.0
030801031004,40000.0,40000.0
030702040401,0.0,40000.0
031101030501,0.0,40000.0
030801031303,0.0,40000.0
031102010703,560000.0,80000.0
031101030404,0.0,40000.0
031200010404,0.0,200000.0
031200010601,3360000.0,80000.0
031102050301,400000.0,0.0
030801031304,440000.0,80000.0
031200010403,640000.0,0.0
031200010402,0.0,440000.0
031200010303,0.0,80000.0
031102010802,840000.0,1400000.0
030702040403,160000.0,0.0
031101030405,0.0,120000.0
031200030602,120000.0,0.0
031200030501,0.0,80000.0
031300110303,0.0,1360000.0
031102030906,200000.0,0.0
031102010704,0.0,2880000.0
031200010401,40000.0,1240000.0
031200030301,640000.0,9800000.0
031200010302,0.0,400000.0
030801031404,1480000.0,320000.0
031200030403,0.0,40000.0
031200030402,400000.0,0.0
030801031403,720000.0,560000.0
031200030401,0.0,40000.0
031101030305,80000.0,0.0
031200010301,0.0,160000.0
031101030401,200000.0,0.0
031101030205,0.0,80000.0
030801031405,9800000.0,360000.0
031200030106,40000.0,0.0
031200010203,0.0,1320000.0
031300120407,0.0,160000.0
031200030207,0.0,120000.0
031200030208,0.0,120000.0
031200030105,0.0,14520000.0
030702040105,0.0,80000.0
031102010903,200000.0,0.0
031300110101,120000.0,200000.0
030801031503,1400000.0,480000.0
030801031605,80000.0,0.0
031200030103,0.0,920000.0
031300120304,1280000.0,40000.0
031200010201,1040000.0,320000.0
030801031502,120000.0,0.0
031200030102,0.0,2920000.0
030801031606,520000.0,600000.0
031101030301,0.0,80000.0
031300120303,80000.0,40000.0
031101030201,0.0,80000.0
030801031603,400000.0,1000000.0
031200010101,200000.0,5920000.0
031200010102,0.0,2680000.0
031200020701,40000.0,16800000.0
031200030201,40000.0,0.0
031200020803,120000.0,0.0
031101030103,2200000.0,1880000.0
031102030703,1520000.0,4320000.0
031101030102,2320000.0,4640000.0
031200020802,80000.0,0.0
031200020602,5720000.0,2880000.0
031300080604,40000.0,0.0
030702050304,280000.0,560000.0
031102030603,1800000.0,680000.0
031300080603,360000.0,6760000.0
031200020601,0.0,4240000.0
031102021101,2800000.0,0.0
031300080703,1600000.0,0.0
031300100701,0.0,280000.0
031300040710,0.0,160000.0
031300100801,520000.0,0.0
030702040906,1840000.0,240000.0
031102030404,3520000.0,0.0
031200020404,40000.0,0.0
030702040702,0.0,40000.0
030702040905,40000.0,0.0
031402010602,40000.0,0.0
031200020503,160000.0,0.0
030702040907,120000.0,0.0
031300120201,80000.0,0.0
030702040801,120000.0,0.0
031300100501,80000.0,0.0
030702030401,40000.0,40000.0
031200020405,40000.0,0.0
031102010201,80000.0,0.0
031300040601,320000.0,0.0
031102020803,120000.0,0.0
031300091003,0.0,80000.0
031200020104,320000.0,320000.0
031300040607,0.0,40000.0
031102030402,120000.0,0.0
031300040504,40000.0,40000.0
031300080503,240000.0,0.0
031300040503,0.0,80000.0
031402010206,80000.0,0.0
031102010104,40000.0,0.0
030702030503,0.0,21440000.0
031300080401,0.0,80000.0
031300100202,360000.0,0.0
031300080204,160000.0,520000.0
031102010105,0.0,720000.0
031102030501,240000.0,40000.0
031300040201,0.0,80000.0
031102030104,200000.0,0.0
031300080304,0.0,11600000.0
030702030502,200000.0,520000.0
031300080106,160000.0,2600000.0
030702010302,40000.0,0.0
030702011103,80000.0,0.0
031300100102,40000.0,0.0
031102020801,40000.0,40000.0
031300090503,0.0,40000.0
031300040304,80000.0,0.0
030702010704,2440000.0,0.0
031300040104,640000.0,1040000.0
030702010204,0.0,280000.0
030702011004,200000.0,0.0
031102030201,3080000.0,0.0
031300080303,0.0,1360000.0
031102040105,560000.0,0.0
031300080101,1040000.0,0.0
031102040302,160000.0,0.0
031300090501,0.0,80000.0
030702030102,0.0,200000.0
030702030201,2320000.0,3000000.0
031102040301,120000.0,120000.0
031300040103,320000.0,640000.0
031102040202,40000.0,0.0
031300031600,0.0,80000.0
031300060905,160000.0,0.0
030702010404,1120000.0,0.0
030701060502,200000.0,5400000.0
031300090403,40000.0,0.0
031102020603,160000.0,0.0
031402010302,360000.0,760000.0
030702010501,1680000.0,0.0
031300031506,0.0,40000.0
031102020301,0.0,80000.0
031300070605,560000.0,0.0
031102020304,800000.0,160000.0
031300090702,3560000.0,160000.0
030702010903,80000.0,0.0
031300090202,600000.0,960000.0
031102040101,520000.0,240000.0
031300031305,0.0,80000.0
030702011002,120000.0,0.0
031402020201,240000.0,1600000.0
031300031303,2040000.0,280000.0
031300031307,80000.0,640000.0
030702011001,40000.0,0.0
031102020502,1080000.0,80000.0
030701060501,0.0,40000.0
030701060402,120000.0,0.0
031300031302,80000.0,40000.0
031102020204,40000.0,40000.0
031300031301,1440000.0,360000.0
031300090103,160000.0,2320000.0
031300070503,120000.0,40000.0
031300070903,0.0,2200000.0
030701060403,80000.0,0.0
030602040501,800000.0,1240000.0
031300070403,0.0,40000.0
031300031502,0.0,40000.0
030702020402,40000.0,0.0
031300030905,0.0,2920000.0
031300031203,0.0,40000.0
031300070402,0.0,520000.0
031300031402,0.0,1840000.0
031300070902,0.0,2320000.0
031402020101,0.0,80000.0
031300070303,120000.0,0.0
030701060307,40000.0,0.0
031300070204,120000.0,0.0
031403010101,200000.0,120000.0
030702020101,80000.0,0.0
030702020401,40000.0,0.0
031300070802,0.0,920000.0
030702020201,200000.0,0.0
031300030904,0.0,1960000.0
031300070401,480000.0,80000.0
030602040401,0.0,6480000.0
031300031401,720000.0,320000.0
031300070803,0.0,1080000.0
031300070901,360000.0,240000.0
031102020103,1160000.0,960000.0
031300060605,360000.0,0.0
031300060601,0.0,80000.0
031300031003,0.0,2720000.0
031300060407,0.0,80000.0
031300070801,2880000.0,280000.0
031300030701,360000.0,200000.0
031300070201,200000.0,520000.0
031300070302,80000.0,560000.0
031300030804,0.0,80000.0
031300060604,1600000.0,0.0
030701060405,160000.0,0.0
031300070105,80000.0,200000.0
031300060504,1600000.0,80000.0
031300031002,120000.0,0.0
030701040807,40000.0,40000.0
031300070202,0.0,1000000.0
031300030703,0.0,40000.0
031300070203,0.0,80000.0
031300060507,40000.0,320000.0
031300070705,0.0,4480000.0
030701021404,0.0,40000.0
031300060106,0.0,120000.0
031300030803,160000.0,0.0
031300030802,0.0,1000000.0
031300030801,0.0,40000.0
031300070703,80000.0,0.0
030602040301,280000.0,5120000.0
031300030603,0.0,80000.0
031300060503,0.0,40000.0
030701060306,40000.0,0.0
030701060202,0.0,80000.0
031300070701,160000.0,0.0
030602040201,0.0,5720000.0
030701040507,80000.0,0.0
030701050203,40000.0,0.0
031300060502,40000.0,0.0
031501100304,0.0,40000.0
031300060211,80000.0,0.0
031300030306,80000.0,0.0
030701050401,200000.0,80000.0
031300060205,120000.0,0.0
031300030503,0.0,40000.0
031300060207,0.0,40000.0
031300070101,40000.0,80000.0
031501100303,0.0,40000.0
031300030106,5440000.0,880000.0
030701021401,80000.0,0.0
030602040602,0.0,880000.0
030701060104,0.0,1000000.0
031300030308,1480000.0,560000.0
030701050201,120000.0,0.0
030602030309,160000.0,0.0
030701070505,40000.0,0.0
031300060202,0.0,40000.0
031300030501,0.0,80000.0
030701070503,240000.0,320000.0
030701040401,0.0,1720000.0
031300030104,4960000.0,360000.0
030602040601,720000.0,3280000.0
031300030101,1000000.0,40000.0
031300051604,0.0,560000.0
031300060101,1440000.0,2200000.0
030602020605,0.0,80000.0
031501100401,0.0,1520000.0
030701070502,120000.0,40000.0
031300060102,120000.0,10480000.0
030701040301,1000000.0,0.0
030701070404,360000.0,0.0
030701040203,80000.0,8640000.0
031300030402,0.0,40000.0
030602020507,0.0,80000.0
030701040302,120000.0,0.0
031300030103,3960000.0,0.0
031501100301,960000.0,0.0
030601100306,0.0,5320000.0
031300030401,0.0,80000.0
031300051502,0.0,40000.0
030602020506,960000.0,0.0
030602030410,0.0,1200000.0
031300021306,160000.0,200000.0
031300021301,40000.0,0.0
031300021304,0.0,120000.0
031501100203,0.0,280000.0
031300051601,0.0,2680000.0
031300051602,120000.0,0.0
030701070405,80000.0,0.0
030601100303,0.0,11120000.0
031300021105,400000.0,800000.0
031300030207,0.0,80000.0
030602030409,0.0,1120000.0
031300021305,40000.0,80000.0
030701040202,1080000.0,0.0
031300021108,0.0,40000.0
030701040201,1600000.0,14680000.0
030602040101,17640000.0,34000000.0
030601100202,280000.0,6880000.0
031300051404,160000.0,0.0
031501100201,1280000.0,1960000.0
031300051401,0.0,160000.0
030601100302,0.0,80000.0
030701021206,80000.0,0.0
030701070402,0.0,40000.0
030602030304,0.0,80000.0
030601100301,240000.0,400000.0
030701040206,0.0,80000.0
031300021208,0.0,120000.0
030701021003,0.0,80000.0
030601100304,400000.0,13680000.0
031300051403,0.0,40000.0
030602030205,560000.0,0.0
030602030107,240000.0,0.0
031300021207,80000.0,640000.0
030602020603,1000000.0,320000.0
031300051302,0.0,40000.0
030701040102,400000.0,40000.0
030701020901,3480000.0,160000.0
030701040205,0.0,80000.0
030601090301,0.0,400000.0
030701020904,40000.0,80000.0
030602030407,760000.0,440000.0
031300050803,320000.0,320000.0
031300021102,0.0,1280000.0
031300051103,0.0,400000.0
030701070303,40000.0,0.0
031300021107,1400000.0,0.0
030502080606,40000.0,120000.0
031300021204,40000.0,80000.0
031300020907,1880000.0,200000.0
030601090303,40000.0,80000.0
030701040101,80000.0,0.0
031300051303,760000.0,520000.0
031300021008,0.0,720000.0
031300051203,0.0,120000.0
030701021101,40000.0,4640000.0
031300020908,2880000.0,1080000.0
031300050801,0.0,80000.0
031300021203,0.0,160000.0
031300050805,0.0,120000.0
030701031506,280000.0,0.0
030602030403,40000.0,0.0
031300051206,0.0,160000.0
030701040104,80000.0,2680000.0
031300050804,0.0,40000.0
030602030105,0.0,160000.0
030602020402,280000.0,160000.0
030602030402,0.0,40000.0
031300020901,80000.0,40000.0
030502080608,0.0,80000.0
030502100102,0.0,120000.0
030602020401,120000.0,0.0
031501090301,40000.0,40000.0
030502080503,40000.0,1320000.0
031300021007,0.0,120000.0
030601090302,0.0,520000.0
030502080501,120000.0,160000.0
031501090502,760000.0,120000.0
030701070302,80000.0,0.0
030602020307,40000.0,40000.0
030701020605,0.0,80000.0
031300050704,40000.0,0.0
030602030202,80000.0,1240000.0
031300050908,200000.0,0.0
030502100101,0.0,560000.0
031300021004,40000.0,0.0
031300020906,280000.0,800000.0
031300020902,0.0,120000.0
030502080604,0.0,40000.0
030701031503,0.0,160000.0
031300020808,0.0,280000.0
030602030102,160000.0,0.0
030601100102,40000.0,0.0
031300021005,40000.0,0.0
031300021003,0.0,680000.0
030502080502,1400000.0,1440000.0
030701020603,0.0,880000.0
030602030104,0.0,1400000.0
031300050702,400000.0,1840000.0
031300051201,0.0,1440000.0
030701031502,0.0,120000.0
030502071103,80000.0,1000000.0
