HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7
031101010504,5080000.0,0.0,0.0,80000.0,7760000.0,7600000.0,8000000.0,1120000.0
031101010503,15040000.0,0.0,2120000.0,7680000.0,69480000.0,37320000.0,14840000.0,160000.0
031102050804,8080000.0,2880000.0,18400000.0,10640000.0,30560000.0,6720000.0,1720000.0,0.0
031102050805,5000000.0,0.0,6120000.0,9640000.0,11360000.0,3440000.0,2520000.0,80000.0
031101020903,8120000.0,160000.0,8720000.0,12040000.0,35560000.0,3880000.0,320000.0,0.0
031102050803,12600000.0,4080000.0,19080000.0,16240000.0,26640000.0,10480000.0,11840000.0,2200000.0
031102050802,16800000.0,18360000.0,44520000.0,12360000.0,16200000.0,4760000.0,4320000.0,480000.0
031102050704,20840000.0,19400000.0,45400000.0,15040000.0,20320000.0,4000000.0,4280000.0,600000.0
031101020906,11120000.0,9960000.0,49760000.0,28200000.0,12400000.0,760000.0,720000.0,200000.0
031300110704,30480000.0,4040000.0,33920000.0,50560000.0,33640000.0,9360000.0,3680000.0,0.0
031101020905,14000000.0,6360000.0,47560000.0,31360000.0,28600000.0,3680000.0,600000.0,0.0
031102050703,8480000.0,10640000.0,38840000.0,4920000.0,1720000.0,160000.0,120000.0,40000.0
031300110706,5320000.0,0.0,1840000.0,6800000.0,17440000.0,9720000.0,8280000.0,440000.0
031101020904,6680000.0,160000.0,12760000.0,25760000.0,23960000.0,6360000.0,5240000.0,560000.0
031102050702,13400000.0,22400000.0,34360000.0,4280000.0,3120000.0,520000.0,0.0,0.0
031101020804,4440000.0,560000.0,11280000.0,19960000.0,9960000.0,960000.0,760000.0,0.0
031101010201,11960000.0,3040000.0,13800000.0,9440000.0,42320000.0,36240000.0,29120000.0,400000.0
031300110703,11560000.0,7040000.0,28080000.0,8760000.0,1600000.0,0.0,0.0,0.0
031300110705,4440000.0,1240000.0,7520000.0,6440000.0,8040000.0,1640000.0,640000.0,0.0
031300110804,21280000.0,80000.0,2400000.0,4520000.0,28040000.0,12200000.0,7240000.0,160000.0
031300130504,13080000.0,0.0,2880000.0,8080000.0,42280000.0,14200000.0,7680000.0,120000.0
031101020902,20320000.0,2200000.0,34200000.0,57960000.0,45760000.0,1240000.0,120000.0,0.0
031102050701,31000000.0,13080000.0,59440000.0,29840000.0,28200000.0,4640000.0,3480000.0,440000.0
031101020805,11760000.0,0.0,4400000.0,16320000.0,23280000.0,6600000.0,5480000.0,760000.0
031300110702,4320000.0,8240000.0,14280000.0,6040000.0,2560000.0,0.0,0.0,0.0
031101020901,14720000.0,0.0,14000000.0,51120000.0,49280000.0,2880000.0,520000.0,0.0
031101020506,3400000.0,0.0,840000.0,10200000.0,32200000.0,8760000.0,6800000.0,280000.0
031300130305,14360000.0,0.0,640000.0,4440000.0,57200000.0,20440000.0,9760000.0,760000.0
031102050604,17760000.0,10400000.0,34480000.0,23120000.0,32400000.0,20920000.0,8080000.0,200000.0
031401010704,30000000.0,13240000.0,92320000.0,38120000.0,17760000.0,2400000.0,520000.0,0.0
031300130402,6640000.0,0.0,640000.0,3160000.0,27760000.0,4360000.0,2080000.0,0.0
031300130503,11640000.0,0.0,9120000.0,6360000.0,37200000.0,13160000.0,7720000.0,160000.0
031300130502,5600000.0,0.0,12040000.0,16840000.0,37320000.0,1840000.0,440000.0,0.0
031101020802,9080000.0,0.0,3120000.0,15640000.0,14240000.0,6960000.0,28520000.0,2360000.0
031101020803,10520000.0,0.0,8400000.0,26200000.0,39200000.0,11040000.0,21040000.0,3840000.0
031102050603,26640000.0,12480000.0,67680000.0,23880000.0,24200000.0,11000000.0,4960000.0,240000.0
031300110701,12400000.0,27880000.0,47200000.0,16480000.0,6080000.0,160000.0,0.0,0.0
031300130403,17480000.0,720000.0,7920000.0,8040000.0,14600000.0,2800000.0,1040000.0,0.0
031300130304,8880000.0,0.0,400000.0,1840000.0,63520000.0,20760000.0,8320000.0,1320000.0
031101020605,14600000.0,1640000.0,14400000.0,29760000.0,49920000.0,4800000.0,1320000.0,0.0
031300110803,9160000.0,5760000.0,15360000.0,6760000.0,19440000.0,20400000.0,23920000.0,4440000.0
031102050602,8720000.0,0.0,3200000.0,4560000.0,16160000.0,15960000.0,26240000.0,1160000.0
031101020505,6840000.0,280000.0,12200000.0,25320000.0,35800000.0,13080000.0,3920000.0,280000.0
031401010702,11000000.0,17880000.0,46280000.0,11760000.0,3240000.0,0.0,0.0,0.0
031200031203,8000000.0,0.0,2520000.0,6440000.0,29520000.0,13800000.0,6320000.0,40000.0
