UNIQUE,VALUE_0,VALUE_1,VALUE_2,VALUE_3
1,2880000.0,0.0,0.0,0.0
2,22160000.0,400000.0,0.0,0.0
3,22840000.0,200000.0,0.0,0.0
4,23040000.0,0.0,0.0,0.0
5,22640000.0,440000.0,0.0,0.0
6,23080000.0,0.0,0.0,0.0
7,23040000.0,0.0,0.0,0.0
8,23040000.0,0.0,0.0,0.0
9,23040000.0,0.0,0.0,0.0
10,23000000.0,0.0,0.0,0.0
11,20840000.0,0.0,2200000.0,0.0
12,22920000.0,0.0,80000.0,0.0
13,23080000.0,0.0,0.0,0.0
14,23040000.0,0.0,0.0,0.0
15,23040000.0,0.0,0.0,0.0
16,23080000.0,0.0,0.0,0.0
17,23040000.0,0.0,0.0,0.0
18,2680000.0,0.0,0.0,0.0
19,20680000.0,0.0,0.0,0.0
20,23080000.0,0.0,0.0,0.0
21,23040000.0,0.0,0.0,0.0
22,23080000.0,0.0,0.0,0.0
23,23080000.0,0.0,0.0,0.0
24,23040000.0,0.0,0.0,0.0
25,23080000.0,0.0,0.0,0.0
26,23040000.0,0.0,0.0,0.0
27,23160000.0,0.0,0.0,0.0
28,23040000.0,0.0,0.0,0.0
29,23040000.0,0.0,0.0,0.0
30,23080000.0,0.0,0.0,0.0
31,23040000.0,0.0,0.0,0.0
32,23120000.0,0.0,0.0,0.0
33,23040000.0,0.0,0.0,0.0
34,23040000.0,0.0,0.0,0.0
35,1960000.0,0.0,0.0,0.0
36,16240000.0,0.0,0.0,0.0
37,23000000.0,0.0,0.0,0.0
38,23040000.0,0.0,0.0,0.0
39,23040000.0,0.0,0.0,0.0
40,23040000.0,0.0,0.0,0.0
41,23040000.0,0.0,0.0,0.0
42,23120000.0,0.0,0.0,0.0
43,23040000.0,0.0,0.0,0.0
44,23040000.0,0.0,0.0,0.0
45,23080000.0,0.0,0.0,0.0
46,23080000.0,0.0,0.0,0.0
47,22960000.0,0.0,120000.0,0.0
48,23040000.0,0.0,0.0,0.0
49,23040000.0,0.0,0.0,0.0
50,22880000.0,0.0,160000.0,0.0
51,23000000.0,0.0,0.0,0.0
52,23080000.0,0.0,0.0,0.0
53,2840000.0,0.0,0.0,0.0
54,19800000.0,0.0,600000.0,0.0
55,23000000.0,0.0,0.0,0.0
56,23080000.0,0.0,0.0,0.0
57,23040000.0,0.0,0.0,0.0
58,23080000.0,0.0,0.0,0.0
59,23040000.0,0.0,0.0,0.0
60,23080000.0,0.0,0.0,0.0
61,21520000.0,0.0,1560000.0,0.0
62,22280000.0,0.0,760000.0,0.0
63,23040000.0,0.0,0.0,0.0
64,23000000.0,0.0,0.0,0.0
65,23040000.0,0.0,0.0,0.0
66,22720000.0,0.0,320000.0,0.0
67,23000000.0,0.0,0.0,0.0
68,23080000.0,0.0,0.0,0.0
69,23040000.0,0.0,0.0,0.0
70,23160000.0,0.0,0.0,0.0
71,23040000.0,0.0,0.0,0.0
72,12880000.0,0.0,0.0,0.0
73,23040000.0,0.0,0.0,0.0
74,23080000.0,0.0,0.0,0.0
75,23080000.0,0.0,0.0,0.0
76,23040000.0,0.0,0.0,0.0
77,23040000.0,0.0,0.0,0.0
78,22920000.0,0.0,200000.0,0.0
79,23080000.0,0.0,0.0,0.0
80,23040000.0,0.0,0.0,0.0
81,23080000.0,0.0,0.0,0.0
82,23080000.0,0.0,0.0,0.0
83,23080000.0,0.0,0.0,0.0
84,22840000.0,0.0,240000.0,0.0
85,23040000.0,0.0,0.0,0.0
86,23040000.0,0.0,0.0,0.0
87,23040000.0,0.0,0.0,0.0
88,40000.0,0.0,0.0,0.0
89,4760000.0,0.0,0.0,0.0
90,22360000.0,0.0,0.0,0.0
91,23040000.0,0.0,0.0,0.0
92,23080000.0,0.0,0.0,0.0
93,23080000.0,0.0,0.0,0.0
94,23000000.0,0.0,0.0,0.0
95,22960000.0,0.0,40000.0,0.0
96,22200000.0,0.0,920000.0,0.0
97,21720000.0,0.0,1320000.0,0.0
98,22960000.0,0.0,40000.0,0.0
99,23040000.0,0.0,0.0,0.0
100,21000000.0,0.0,2000000.0,0.0
101,21720000.0,0.0,1400000.0,0.0
102,22840000.0,0.0,160000.0,0.0
103,23040000.0,0.0,0.0,0.0
104,23080000.0,0.0,0.0,0.0
105,720000.0,0.0,0.0,0.0
106,22600000.0,0.0,520000.0,0.0
107,23080000.0,0.0,0.0,0.0
108,23000000.0,0.0,0.0,0.0
109,23080000.0,0.0,0.0,0.0
110,23080000.0,0.0,0.0,0.0
111,23040000.0,0.0,0.0,0.0
112,23080000.0,0.0,0.0,0.0
113,22840000.0,0.0,160000.0,0.0
114,23040000.0,0.0,0.0,0.0
115,23120000.0,0.0,0.0,0.0
116,23040000.0,0.0,0.0,0.0
117,21400000.0,0.0,1720000.0,0.0
118,19800000.0,0.0,3240000.0,0.0
119,23080000.0,0.0,0.0,0.0
120,23080000.0,0.0,0.0,0.0
121,23040000.0,0.0,0.0,0.0
122,23080000.0,0.0,0.0,0.0
123,23000000.0,0.0,0.0,0.0
124,5760000.0,0.0,0.0,0.0
125,23080000.0,0.0,0.0,0.0
126,23040000.0,0.0,0.0,0.0
127,23040000.0,0.0,0.0,0.0
128,22880000.0,0.0,240000.0,0.0
129,22480000.0,0.0,520000.0,0.0
130,22920000.0,0.0,120000.0,0.0
131,23000000.0,0.0,120000.0,0.0
132,23000000.0,0.0,80000.0,0.0
133,22960000.0,0.0,80000.0,0.0
134,22920000.0,0.0,120000.0,0.0
135,23000000.0,0.0,0.0,0.0
136,22640000.0,0.0,440000.0,0.0
137,22360000.0,0.0,680000.0,0.0
138,23080000.0,0.0,0.0,0.0
139,23000000.0,0.0,0.0,0.0
140,23040000.0,0.0,0.0,0.0
141,23160000.0,0.0,0.0,0.0
142,23000000.0,0.0,0.0,0.0
143,23040000.0,0.0,0.0,0.0
144,8120000.0,0.0,0.0,0.0
145,22960000.0,0.0,80000.0,0.0
146,23040000.0,0.0,0.0,0.0
147,23080000.0,0.0,0.0,0.0
148,23080000.0,0.0,0.0,0.0
149,22880000.0,0.0,240000.0,0.0
150,23040000.0,0.0,0.0,0.0
151,17840000.0,0.0,5160000.0,0.0
152,22840000.0,0.0,200000.0,0.0
153,23120000.0,0.0,0.0,0.0
154,23040000.0,0.0,0.0,0.0
155,21280000.0,0.0,1800000.0,0.0
156,19680000.0,0.0,3360000.0,0.0
157,22840000.0,0.0,240000.0,0.0
158,23080000.0,0.0,0.0,0.0
159,23000000.0,0.0,0.0,0.0
160,23080000.0,0.0,0.0,0.0
161,23000000.0,0.0,0.0,0.0
162,23080000.0,0.0,0.0,0.0
163,23120000.0,0.0,0.0,0.0
164,19000000.0,0.0,0.0,0.0
165,23040000.0,0.0,0.0,0.0
166,23040000.0,0.0,0.0,0.0
167,22680000.0,0.0,440000.0,0.0
168,23000000.0,0.0,0.0,0.0
169,23000000.0,0.0,40000.0,0.0
170,23080000.0,0.0,0.0,0.0
171,23000000.0,0.0,0.0,0.0
172,22640000.0,0.0,480000.0,0.0
173,23040000.0,0.0,0.0,0.0
174,23120000.0,0.0,0.0,0.0
175,22560000.0,0.0,480000.0,0.0
176,18320000.0,0.0,4680000.0,0.0
177,23080000.0,0.0,0.0,0.0
178,23080000.0,0.0,0.0,0.0
179,23040000.0,0.0,0.0,0.0
180,23120000.0,0.0,0.0,0.0
181,23000000.0,0.0,0.0,0.0
182,23080000.0,0.0,0.0,0.0
183,23080000.0,0.0,0.0,0.0
184,160000.0,0.0,0.0,0.0
185,20720000.0,0.0,0.0,0.0
186,23000000.0,0.0,0.0,0.0
187,23120000.0,0.0,0.0,0.0
188,23040000.0,0.0,0.0,0.0
189,23040000.0,0.0,0.0,0.0
190,23000000.0,0.0,40000.0,0.0
191,22720000.0,0.0,400000.0,0.0
192,23040000.0,0.0,0.0,0.0
193,22600000.0,0.0,480000.0,0.0
194,23000000.0,0.0,0.0,0.0
195,22720000.0,0.0,360000.0,0.0
196,23080000.0,0.0,0.0,0.0
197,23000000.0,0.0,0.0,0.0
198,23080000.0,0.0,0.0,0.0
199,23000000.0,0.0,0.0,0.0
200,23040000.0,0.0,80000.0,0.0
201,23040000.0,0.0,0.0,0.0
202,23040000.0,0.0,0.0,0.0
203,23080000.0,0.0,0.0,0.0
204,23000000.0,0.0,0.0,0.0
205,11840000.0,0.0,0.0,0.0
206,23080000.0,0.0,0.0,0.0
207,23000000.0,0.0,0.0,0.0
208,23080000.0,0.0,0.0,0.0
209,22680000.0,0.0,400000.0,0.0
210,23040000.0,0.0,0.0,0.0
211,22880000.0,0.0,160000.0,0.0
212,23000000.0,0.0,40000.0,0.0
213,23120000.0,0.0,0.0,0.0
214,23040000.0,0.0,0.0,0.0
215,23000000.0,0.0,0.0,0.0
216,23080000.0,0.0,0.0,0.0
217,23000000.0,0.0,0.0,0.0
218,22680000.0,0.0,400000.0,0.0
219,23040000.0,0.0,0.0,0.0
220,23040000.0,0.0,0.0,0.0
221,23040000.0,0.0,0.0,0.0
222,23080000.0,0.0,0.0,0.0
223,23000000.0,0.0,0.0,0.0
224,23080000.0,0.0,0.0,0.0
225,23040000.0,0.0,0.0,0.0
226,5000000.0,0.0,0.0,0.0
227,23000000.0,0.0,0.0,0.0
228,23040000.0,0.0,0.0,0.0
229,23120000.0,0.0,0.0,0.0
230,23040000.0,0.0,0.0,0.0
231,23080000.0,0.0,0.0,0.0
232,23080000.0,0.0,0.0,0.0
233,22760000.0,0.0,240000.0,0.0
234,22880000.0,0.0,200000.0,0.0
235,22840000.0,0.0,240000.0,0.0
236,22000000.0,0.0,1040000.0,0.0
237,22680000.0,0.0,400000.0,0.0
238,22160000.0,0.0,880000.0,0.0
239,13240000.0,0.0,9920000.0,0.0
240,16720000.0,0.0,6320000.0,0.0
241,23040000.0,0.0,0.0,0.0
242,23040000.0,0.0,0.0,0.0
243,23040000.0,0.0,0.0,0.0
244,23120000.0,0.0,0.0,0.0
245,23040000.0,0.0,0.0,0.0
246,23000000.0,0.0,0.0,0.0
247,12880000.0,0.0,0.0,0.0
248,23040000.0,0.0,0.0,0.0
249,22840000.0,0.0,240000.0,0.0
250,22960000.0,0.0,0.0,0.0
251,23080000.0,0.0,0.0,0.0
252,23080000.0,0.0,0.0,0.0
253,23080000.0,0.0,0.0,0.0
254,23040000.0,0.0,0.0,0.0
255,22160000.0,0.0,880000.0,0.0
256,20840000.0,0.0,2160000.0,0.0
257,23200000.0,0.0,0.0,0.0
258,23040000.0,0.0,0.0,0.0
