HUC12,VALUE_0,VALUE_1
031101010504,0.0,320000.0
031101020906,0.0,40000.0
031300110704,2320000.0,320000.0
031101020905,40000.0,0.0
031300110706,440000.0,440000.0
031300110703,240000.0,0.0
031300110705,80000.0,0.0
031300110804,1960000.0,320000.0
031300130504,200000.0,0.0
031401010704,120000.0,0.0
031300130403,200000.0,0.0
031200031204,120000.0,0.0
031200010903,120000.0,120000.0
030802010601,0.0,17840000.0
030801031605,0.0,440000.0
030801031606,0.0,2000000.0
030702050304,0.0,6440000.0
030702040906,0.0,4200000.0
030702040905,0.0,1120000.0
030702040907,0.0,6800000.0
030702030401,0.0,4520000.0
030702030402,0.0,19640000.0
030702011201,0.0,3760000.0
030702030503,0.0,50920000.0
030702011202,0.0,9160000.0
030702030502,0.0,11120000.0
030702030302,0.0,13280000.0
030702030301,0.0,7360000.0
030702030102,0.0,5600000.0
030702030201,0.0,25080000.0
030702030101,0.0,1240000.0
030701060502,40000.0,39440000.0
030602040501,0.0,28320000.0
030602040502,200000.0,38120000.0
030602040401,0.0,15640000.0
030602040301,0.0,16720000.0
030602040201,0.0,43800000.0
030602040602,0.0,24400000.0
030602040601,0.0,13520000.0
030601100303,0.0,21960000.0
030602040101,0.0,21560000.0
030601100202,0.0,43920000.0
030601100302,0.0,40360000.0
030601100305,0.0,240000.0
030601100301,0.0,39760000.0
030601100304,80000.0,39280000.0
030601100201,0.0,12680000.0
030502080606,0.0,56520000.0
030502080607,0.0,52000000.0
030502100104,0.0,40000.0
030502080608,0.0,25320000.0
030601100103,0.0,1040000.0
030502100102,0.0,33200000.0
030502080503,0.0,35840000.0
030502080501,0.0,16880000.0
030502100103,0.0,40000.0
030502100101,0.0,13240000.0
030502080604,0.0,33720000.0
030502080502,0.0,28480000.0
030502071106,0.0,400000.0
030502071103,0.0,49440000.0
030502080605,0.0,42280000.0
030502080603,0.0,20360000.0
030502071104,0.0,2040000.0
030502080406,0.0,5680000.0
030502071102,0.0,34280000.0
030601090305,0.0,240000.0
030502060309,0.0,80000.0
030502080407,0.0,22680000.0
030502060406,0.0,80000.0
030502080602,0.0,26040000.0
030502060307,0.0,38160000.0
030502071101,0.0,28200000.0
030502071003,0.0,25960000.0
030502060308,0.0,31600000.0
030502080601,0.0,29080000.0
030502070706,0.0,22920000.0
030502070704,0.0,24000000.0
030502020207,0.0,400000.0
030502070705,0.0,47200000.0
030502020203,0.0,27000000.0
030502060405,0.0,39280000.0
030502060403,0.0,20280000.0
030502020206,0.0,200000.0
030502060306,0.0,6360000.0
030502020204,0.0,8160000.0
030502060401,0.0,28640000.0
030502020205,0.0,39840000.0
030502060404,0.0,51880000.0
030502060402,0.0,45800000.0
030502071002,0.0,24760000.0
030502060305,0.0,1840000.0
030502071001,0.0,2280000.0
030502020201,0.0,26400000.0
030502010708,0.0,80000.0
030502020104,0.0,12600000.0
030502020202,0.0,73800000.0
030502090207,0.0,40000.0
030502090204,0.0,4560000.0
030502060304,0.0,840000.0
030502070801,0.0,40000.0
030502010605,1040000.0,23160000.0
030502020105,0.0,6040000.0
030502010707,840000.0,19760000.0
030502060303,0.0,120000.0
030502010604,0.0,6880000.0
030502010602,0.0,160000.0
030502070903,0.0,160000.0
030502090206,0.0,600000.0
030502010402,840000.0,28760000.0
030502090203,0.0,19680000.0
030502060302,0.0,440000.0
030502010603,0.0,2840000.0
030502010703,0.0,3040000.0
030502010506,0.0,560000.0
030502010706,0.0,17120000.0
030502010601,0.0,440000.0
030502010705,0.0,6280000.0
030502010401,0.0,22760000.0
030502050311,0.0,120000.0
030502090205,0.0,160000.0
030502010704,0.0,4040000.0
030502010304,0.0,440000.0
030502010702,0.0,40000.0
030502050308,0.0,40000.0
030502010306,0.0,200000.0
030502090201,0.0,5480000.0
030502060203,0.0,40000.0
030502090102,0.0,120000.0
030502090101,0.0,9960000.0
030502090202,0.0,24760000.0
030501120301,0.0,120000.0
030502010502,0.0,40000.0
030502010701,0.0,2720000.0
030501120302,0.0,120000.0
030501120303,0.0,11080000.0
030501120403,0.0,11360000.0
030502010101,0.0,1960000.0
030402070208,0.0,13120000.0
030402070105,0.0,120000.0
030402070106,0.0,1360000.0
030402080402,0.0,2680000.0
030402050908,0.0,440000.0
030402050910,0.0,1120000.0
030402080403,0.0,40000.0
030402080401,0.0,4360000.0
030402061003,0.0,14720000.0
030402050909,0.0,600000.0
030402070207,0.0,5320000.0
030501110109,0.0,400000.0
030402080310,0.0,4720000.0
030402061001,0.0,800000.0
030402061002,0.0,400000.0
030402080311,0.0,320000.0
030402070206,0.0,80000.0
030402080308,0.0,360000.0
030402060906,0.0,120000.0
030402080307,0.0,1040000.0
030402060905,0.0,280000.0
030402040809,0.0,160000.0
030402060901,0.0,80000.0
030402060904,0.0,360000.0
030402080306,0.0,2160000.0
030402060803,0.0,120000.0
030402060902,0.0,80000.0
030402080301,0.0,1160000.0
030402080305,0.0,640000.0
030402060706,0.0,40000.0
030402040701,0.0,40000.0
030402060802,0.0,40000.0
030300050804,0.0,1640000.0
030402060703,0.0,40000.0
030402040602,0.0,240000.0
030300050803,0.0,10320000.0
030402040803,0.0,40000.0
030402080317,0.0,40000.0
030402080318,0.0,40000.0
030300050704,0.0,7280000.0
030402031404,0.0,80000.0
030203020301,0.0,3040000.0
030203020302,0.0,6240000.0
030203010302,0.0,3440000.0
030203010304,0.0,1880000.0
030203010704,0.0,2400000.0
030203010406,40000.0,0.0
030203010605,80000.0,0.0
030201040109,0.0,40000.0
030201040403,240000.0,0.0
030201040504,40000.0,0.0
030201040402,80000.0,0.0
030102051503,200000.0,0.0
030102050206,40000.0,0.0
030102051407,2000000.0,0.0
030102051406,120000.0,0.0
030102051502,280000.0,0.0
030102050404,120000.0,0.0
030102051404,320000.0,6440000.0
030102051405,320000.0,0.0
030102051401,600000.0,0.0
030102051403,0.0,10480000.0
030102050708,40000.0,0.0
030102051003,1400000.0,0.0
030102051306,4040000.0,2880000.0
030102051002,320000.0,0.0
030102051001,760000.0,0.0
030102051106,1160000.0,0.0
030102051107,200000.0,0.0
030102051305,1400000.0,0.0
030102051105,600000.0,0.0
030102051108,480000.0,0.0
030102051207,2120000.0,0.0
030102051304,1360000.0,0.0
030102051104,120000.0,0.0
030102051206,40000.0,0.0
030102051303,80000.0,8840000.0
030102051302,0.0,1040000.0
030102051301,0.0,8320000.0
020802080201,160000.0,0.0
020801080201,1160000.0,16200000.0
030702011203,0.0,7840000.0
030702011204,0.0,19160000.0
030602040606,0.0,1120000.0
030602040604,0.0,34560000.0
030602040603,0.0,26440000.0
030602040605,0.0,50440000.0
030602020606,0.0,1520000.0
030601090503,0.0,480000.0
030601090501,0.0,23520000.0
030601090502,0.0,3560000.0
030601090404,0.0,280000.0
