HUC12,VALUE_0,VALUE_1
031101010504,21840000.0,0.0
031101010503,103200000.0,0.0
031102050804,63520000.0,5480000.0
031102050805,24320000.0,16120000.0
031101020903,69400000.0,600000.0
031102050803,61480000.0,25400000.0
031102050802,111160000.0,2840000.0
031102050704,100560000.0,21040000.0
031101020906,102000000.0,0.0
031300110704,131320000.0,0.0
031101020905,107440000.0,0.0
031102050703,61720000.0,2120000.0
031300110706,32600000.0,17160000.0
031101020904,60600000.0,0.0
031102050702,77520000.0,0.0
031101020804,39000000.0,0.0
031101010201,126640000.0,0.0
031300110703,66000000.0,0.0
031300110705,30560000.0,15880000.0
031300110804,2920000.0,54920000.0
031300130504,1200000.0,77520000.0
031101020902,132480000.0,0.0
031102050701,119600000.0,37720000.0
031101020805,50120000.0,0.0
031300110702,32400000.0,13680000.0
031101020901,104720000.0,0.0
031101020506,38720000.0,0.0
031300130305,7400000.0,72120000.0
031102050604,128040000.0,4800000.0
031401010704,160120000.0,0.0
031300130402,19800000.0,11800000.0
031300130503,2120000.0,69080000.0
031300130502,0.0,67960000.0
031101020802,71800000.0,0.0
031101020803,87880000.0,0.0
031102050603,125280000.0,26600000.0
031300110701,92720000.0,10600000.0
031300130403,37840000.0,0.0
031300130304,0.0,94920000.0
031101020605,97640000.0,0.0
031300110803,0.0,67200000.0
031102050602,60600000.0,360000.0
031101020505,64120000.0,0.0
031401010702,83000000.0,0.0
031200031203,16720000.0,44040000.0
031300130501,0.0,51320000.0
031300130401,0.0,62720000.0
031300110802,0.0,74400000.0
031200031204,30960000.0,28240000.0
031101020503,57880000.0,0.0
031102060701,71720000.0,0.0
031300130303,0.0,77680000.0
031102050601,78560000.0,17200000.0
031300130302,0.0,27920000.0
031401010703,149480000.0,2680000.0
031102060703,36800000.0,1800000.0
031300130203,0.0,32400000.0
031300120606,17880000.0,27920000.0
030801021101,60560000.0,0.0
031200031202,0.0,52440000.0
031102050504,85960000.0,44440000.0
031102050503,34720000.0,1360000.0
031101020703,65960000.0,0.0
031101020504,79040000.0,0.0
031300110605,0.0,20960000.0
031101020801,96280000.0,0.0
031102050501,45920000.0,2040000.0
031102060302,82160000.0,2440000.0
031300110801,0.0,72400000.0
031102060505,69800000.0,16800000.0
031102060504,79160000.0,31760000.0
031200031201,0.0,40920000.0
031101020501,100360000.0,0.0
031200030903,0.0,49560000.0
031300130202,0.0,36440000.0
031300130301,0.0,21840000.0
031200010903,1600000.0,29240000.0
031101020403,35280000.0,0.0
031300110604,0.0,65920000.0
031102050502,46600000.0,34680000.0
031200031101,0.0,50320000.0
031300130201,0.0,25520000.0
031200031102,0.0,57480000.0
031300120605,10520000.0,38120000.0
031101020701,69400000.0,0.0
031102060506,35720000.0,42480000.0
031102060704,58200000.0,71600000.0
030801030601,97880000.0,0.0
031101020602,84960000.0,0.0
031101020604,138360000.0,0.0
031101020603,90240000.0,0.0
031102060503,42800000.0,26520000.0
031200010902,10480000.0,17840000.0
031300120604,96480000.0,4560000.0
031102060101,73920000.0,55160000.0
031101020502,131160000.0,0.0
031401010701,77880000.0,0.0
031200031003,0.0,22840000.0
030801030502,47760000.0,45760000.0
031401010503,71200000.0,0.0
031300110603,0.0,63640000.0
031102060104,33800000.0,44560000.0
030801030603,130560000.0,0.0
031102050406,69600000.0,3080000.0
031200010901,37280000.0,27760000.0
031300130102,0.0,22680000.0
031101020402,63480000.0,0.0
031300130103,0.0,37360000.0
031200011102,11640000.0,20560000.0
031102050407,46800000.0,15360000.0
031200030902,0.0,70080000.0
031102060405,41920000.0,44480000.0
031101020405,49640000.0,0.0
031101020601,93920000.0,0.0
031101020203,107600000.0,0.0
031200010803,0.0,43760000.0
031102060103,79880000.0,12680000.0
030801030901,58760000.0,36080000.0
031102060102,40200000.0,31200000.0
031200030901,0.0,62400000.0
031102060606,140800000.0,2840000.0
031102060208,49000000.0,19960000.0
031200010703,7120000.0,33360000.0
031102050203,58280000.0,14800000.0
030801030902,110520000.0,0.0
031102050405,92440000.0,58800000.0
031101020404,35800000.0,0.0
031200031002,0.0,75640000.0
031102060605,95720000.0,0.0
031200030705,0.0,44640000.0
031300110601,0.0,42960000.0
030801030804,179880000.0,0.0
031300120602,105520000.0,6400000.0
031200011003,40400000.0,9080000.0
031300130101,0.0,29440000.0
031102060404,88400000.0,5280000.0
030801030903,26560000.0,88040000.0
031101020303,112600000.0,0.0
031102050305,66360000.0,79720000.0
031300110602,0.0,79040000.0
031200010802,0.0,50320000.0
031401010302,80280000.0,0.0
031101020202,103480000.0,0.0
030801021102,38680000.0,0.0
