HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3
031101010504,5960000.0,12520000.0,3360000.0,0.0
031101010503,40000.0,58240000.0,44920000.0,0.0
031102050804,0.0,63480000.0,5520000.0,0.0
031102050805,11160000.0,25360000.0,3920000.0,0.0
031101020903,19920000.0,50080000.0,0.0,0.0
031102050803,10600000.0,66680000.0,9600000.0,0.0
031102050802,11200000.0,96560000.0,6240000.0,0.0
031102050704,19560000.0,99520000.0,2520000.0,0.0
031101020906,62440000.0,39560000.0,0.0,0.0
031300110704,89720000.0,41600000.0,0.0,0.0
031101020905,66640000.0,40800000.0,0.0,0.0
031102050703,2840000.0,60080000.0,920000.0,0.0
031300110706,17200000.0,32560000.0,0.0,0.0
031101020904,39800000.0,20800000.0,0.0,0.0
031102050702,61600000.0,15760000.0,160000.0,0.0
031101020804,24960000.0,14040000.0,0.0,0.0
031101010201,62160000.0,50720000.0,13760000.0,0.0
031300110703,43000000.0,23000000.0,0.0,0.0
031300110705,41000000.0,5440000.0,0.0,0.0
031300110804,25240000.0,13000000.0,19600000.0,0.0
031300130504,27320000.0,38120000.0,13280000.0,0.0
031101020902,66000000.0,66480000.0,0.0,0.0
031102050701,126480000.0,30600000.0,240000.0,0.0
031101020805,31320000.0,18800000.0,0.0,0.0
031300110702,42600000.0,3480000.0,0.0,0.0
031101020901,45600000.0,59120000.0,0.0,0.0
031101020506,24760000.0,13960000.0,0.0,0.0
031300130305,48000000.0,22440000.0,9080000.0,0.0
031102050604,108320000.0,24520000.0,0.0,0.0
031401010704,119560000.0,40560000.0,0.0,0.0
031300130402,12080000.0,19520000.0,0.0,0.0
031300130503,42760000.0,19560000.0,8880000.0,0.0
031300130502,34520000.0,27720000.0,5720000.0,0.0
031101020802,53080000.0,18720000.0,0.0,0.0
031101020803,68040000.0,19840000.0,0.0,0.0
031102050603,135160000.0,16720000.0,0.0,0.0
031300110701,75840000.0,27480000.0,0.0,0.0
031300130403,28040000.0,9800000.0,0.0,0.0
031300130304,56160000.0,38520000.0,240000.0,0.0
031101020605,74280000.0,23360000.0,0.0,0.0
031300110803,26400000.0,14160000.0,26640000.0,0.0
031102050602,46600000.0,14360000.0,0.0,0.0
031101020505,40480000.0,23640000.0,0.0,0.0
031401010702,70520000.0,12480000.0,0.0,0.0
031200031203,26600000.0,34160000.0,0.0,0.0
031300130501,12480000.0,19520000.0,19320000.0,0.0
031300130401,12200000.0,50520000.0,0.0,0.0
031300110802,7840000.0,25640000.0,40920000.0,0.0
031200031204,27160000.0,29920000.0,2120000.0,0.0
031101020503,32640000.0,25240000.0,0.0,0.0
031102060701,49440000.0,22280000.0,0.0,0.0
031300130303,15640000.0,50240000.0,11800000.0,0.0
031102050601,66520000.0,29240000.0,0.0,0.0
031300130302,2320000.0,17520000.0,8080000.0,0.0
031401010703,133440000.0,18720000.0,0.0,0.0
031102060703,22760000.0,15840000.0,0.0,0.0
031300130203,160000.0,12320000.0,19920000.0,0.0
031300120606,40400000.0,5400000.0,0.0,0.0
030801021101,29120000.0,31440000.0,0.0,0.0
031200031202,16160000.0,30640000.0,5640000.0,0.0
031102050504,117080000.0,13320000.0,0.0,0.0
031102050503,8880000.0,27200000.0,0.0,0.0
031101020703,48880000.0,17080000.0,0.0,0.0
031101020504,49960000.0,29080000.0,0.0,0.0
031300110605,800000.0,9480000.0,10680000.0,0.0
031101020801,62360000.0,33920000.0,0.0,0.0
031102050501,11600000.0,36360000.0,0.0,0.0
031102060302,78200000.0,6400000.0,0.0,0.0
031300110801,0.0,18000000.0,54400000.0,0.0
031102060505,80200000.0,6400000.0,0.0,0.0
031102060504,109000000.0,1920000.0,0.0,0.0
031200031201,4360000.0,20520000.0,16040000.0,0.0
031101020501,67640000.0,32720000.0,0.0,0.0
031200030903,680000.0,21840000.0,27040000.0,0.0
031300130202,80000.0,15080000.0,21280000.0,0.0
031300130301,1200000.0,11400000.0,9240000.0,0.0
031200010903,15480000.0,13560000.0,1800000.0,0.0
031101020403,11120000.0,24160000.0,0.0,0.0
031300110604,3400000.0,26520000.0,36000000.0,0.0
031102050502,64760000.0,16520000.0,0.0,0.0
031200031101,16600000.0,30040000.0,3680000.0,0.0
031300130201,0.0,4480000.0,21040000.0,0.0
031200031102,13160000.0,35280000.0,9040000.0,0.0
031300120605,46880000.0,1760000.0,0.0,0.0
031101020701,63040000.0,6360000.0,0.0,0.0
031102060506,70760000.0,7440000.0,0.0,0.0
031102060704,110440000.0,19360000.0,0.0,0.0
030801030601,49960000.0,47920000.0,0.0,0.0
031101020602,80600000.0,4360000.0,0.0,0.0
031101020604,116680000.0,21680000.0,0.0,0.0
031101020603,73560000.0,16680000.0,0.0,0.0
031102060503,66880000.0,2440000.0,0.0,0.0
031200010902,24400000.0,3920000.0,0.0,0.0
031300120604,86160000.0,14880000.0,0.0,0.0
031102060101,72120000.0,56960000.0,0.0,0.0
031101020502,95800000.0,35360000.0,0.0,0.0
031401010701,63760000.0,11840000.0,2280000.0,0.0
031200031003,6840000.0,8120000.0,7880000.0,0.0
030801030502,38760000.0,28480000.0,26280000.0,0.0
031401010503,60560000.0,10640000.0,0.0,0.0
031300110603,28240000.0,28840000.0,6560000.0,0.0
031102060104,54680000.0,23680000.0,0.0,0.0
030801030603,71760000.0,58800000.0,0.0,0.0
031102050406,63240000.0,9440000.0,0.0,0.0
031200010901,53240000.0,11240000.0,560000.0,0.0
031300130102,280000.0,11000000.0,11400000.0,0.0
031101020402,29120000.0,34360000.0,0.0,0.0
031300130103,280000.0,17240000.0,19840000.0,0.0
031200011102,13360000.0,18840000.0,0.0,0.0
031102050407,56480000.0,5680000.0,0.0,0.0
031200030902,2120000.0,41960000.0,26000000.0,0.0
031102060405,76640000.0,9760000.0,0.0,0.0
031101020405,41520000.0,8120000.0,0.0,0.0
031101020601,78400000.0,15520000.0,0.0,0.0
031101020203,81120000.0,26480000.0,0.0,0.0
031200010803,10800000.0,21600000.0,11360000.0,0.0
031102060103,67680000.0,24880000.0,0.0,0.0
030801030901,28120000.0,51600000.0,15120000.0,0.0
031102060102,36080000.0,26000000.0,5400000.0,3920000.0
031200030901,10560000.0,36760000.0,15080000.0,0.0
031102060606,122600000.0,21040000.0,0.0,0.0
031102060208,63480000.0,5480000.0,0.0,0.0
031200010703,36240000.0,4240000.0,0.0,0.0
031102050203,62560000.0,10520000.0,0.0,0.0
030801030902,33360000.0,77160000.0,0.0,0.0
031102050405,120680000.0,30560000.0,0.0,0.0
031101020404,34000000.0,1800000.0,0.0,0.0
031200031002,240000.0,30240000.0,45160000.0,0.0
031102060605,89720000.0,6000000.0,0.0,0.0
031200030705,14760000.0,14320000.0,15560000.0,0.0
031300110601,14560000.0,21320000.0,7080000.0,0.0
030801030804,144560000.0,35320000.0,0.0,0.0
031300120602,93760000.0,18160000.0,0.0,0.0
031200011003,29640000.0,19840000.0,0.0,0.0
031300130101,1960000.0,10600000.0,16880000.0,0.0
031102060404,85360000.0,8320000.0,0.0,0.0
030801030903,15400000.0,44160000.0,49320000.0,5720000.0
031101020303,106320000.0,6280000.0,0.0,0.0
031102050305,129200000.0,16880000.0,0.0,0.0
031300110602,11280000.0,29560000.0,38200000.0,0.0
031200010802,2520000.0,29200000.0,18600000.0,0.0
031401010302,63320000.0,16960000.0,0.0,0.0
031101020202,90640000.0,12840000.0,0.0,0.0
030801021102,16440000.0,22240000.0,0.0,0.0
030801030504,5600000.0,6360000.0,0.0,0.0
030801030503,9200000.0,15120000.0,4360000.0,0.0
031102060604,48240000.0,6440000.0,0.0,0.0
031300120603,66520000.0,6440000.0,0.0,0.0
031102060204,54240000.0,32400000.0,720000.0,0.0
031200011001,65760000.0,27560000.0,0.0,0.0
031102060403,41280000.0,39720000.0,0.0,0.0
031200010702,12160000.0,10880000.0,7280000.0,0.0
