HUC12,VALUE_0,VALUE_1
031101010504,13400000.0,9040000.0
031101010503,97760000.0,5440000.0
031102050804,59720000.0,9280000.0
031102050805,18320000.0,22200000.0
031101020903,54880000.0,15240000.0
031102050803,68800000.0,18080000.0
031102050802,101880000.0,12120000.0
031102050704,99440000.0,22160000.0
031101020906,61520000.0,40600000.0
031300110704,77520000.0,56160000.0
031101020905,66800000.0,41000000.0
031102050703,55040000.0,8800000.0
031300110706,9720000.0,40760000.0
031101020904,39120000.0,21480000.0
031102050702,69600000.0,7920000.0
031101020804,32640000.0,6360000.0
031101010201,95120000.0,31520000.0
031300110703,41600000.0,24680000.0
031300110705,40880000.0,5560000.0
031300110804,20200000.0,38040000.0
031300130504,23480000.0,57440000.0
031101020902,104440000.0,28040000.0
031102050701,142640000.0,14680000.0
031101020805,47360000.0,3080000.0
031300110702,38160000.0,7920000.0
031101020901,46960000.0,57760000.0
031101020506,25160000.0,13720000.0
031300130305,26080000.0,55000000.0
031102050604,97680000.0,35160000.0
031401010704,102440000.0,60680000.0
031300130402,14760000.0,17440000.0
031300130503,25280000.0,47760000.0
031300130502,22560000.0,45400000.0
031101020802,67520000.0,4280000.0
031101020803,68600000.0,19280000.0
031102050603,119640000.0,32240000.0
031300110701,70720000.0,32600000.0
031300130403,34960000.0,4880000.0
031300130304,35720000.0,59720000.0
031101020605,90080000.0,7560000.0
031300110803,27640000.0,39560000.0
031102050602,55000000.0,5960000.0
031101020505,53240000.0,11000000.0
031401010702,46560000.0,36440000.0
031200031203,14120000.0,46640000.0
031300130501,12240000.0,39080000.0
031300130401,4840000.0,57880000.0
031300110802,14680000.0,59720000.0
031200031204,23400000.0,35960000.0
031101020503,37040000.0,21000000.0
031102060701,54120000.0,17600000.0
031300130303,14080000.0,63600000.0
031102050601,63320000.0,32440000.0
031300130302,840000.0,27080000.0
031401010703,129720000.0,23640000.0
031102060703,27120000.0,11480000.0
031300130203,4040000.0,28360000.0
031300120606,35520000.0,10280000.0
030801021101,37000000.0,23560000.0
031200031202,5520000.0,46920000.0
031102050504,107880000.0,22520000.0
031102050503,8200000.0,27880000.0
031101020703,56400000.0,9560000.0
