HUC12,STP,PLO,FED,TNC,UNK,PNP,LOC,PFP,TRB
031101010504,17120000.0,0.0,56560000.0,0.0,0.0,0.0,0.0,0.0,0.0
031101010503,24720000.0,13880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050804,0.0,40080000.0,8480000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050805,400000.0,4520000.0,70760000.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020903,0.0,38080000.0,42560000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050803,960000.0,17840000.0,11760000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050802,1360000.0,11520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050704,14480000.0,6400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020906,11560000.0,15240000.0,32960000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110704,37280000.0,0.0,20040000.0,0.0,0.0,0.0,120000.0,0.0,0.0
031101020905,46320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050703,5200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110706,148040000.0,0.0,32720000.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020904,11640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050702,320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020804,1920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101010201,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110705,24320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110804,347960000.0,0.0,1960000.0,0.0,0.0,0.0,80000.0,0.0,0.0
031300130504,132080000.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0
031101020902,0.0,52680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050701,12200000.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020805,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020901,160000.0,38840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020506,39840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130305,110400000.0,0.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0
031102050604,3520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031401010704,9760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130402,32720000.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0
031300130503,186960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130502,74360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020802,400000.0,23640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020803,0.0,21520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050603,7040000.0,0.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0
031300130403,3240000.0,0.0,0.0,5400000.0,0.0,0.0,0.0,0.0,0.0
031300130304,107320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020605,19240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110803,89560000.0,0.0,44880000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050602,80000.0,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020505,50560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200031203,61160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130501,67680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130401,73800000.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110802,33040000.0,0.0,64120000.0,0.0,0.0,0.0,0.0,0.0,0.0
031200031204,22840000.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020503,3640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060701,2840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130303,74960000.0,0.0,9160000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050601,39320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130302,8680000.0,0.0,43200000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130203,8960000.0,0.0,62760000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300120606,44320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030801021101,4360000.0,0.0,0.0,0.0,0.0,0.0,6360000.0,0.0,0.0
031200031202,37920000.0,0.0,63680000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050504,4120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050503,41680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020703,1280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020504,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110605,46800000.0,0.0,23800000.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020801,44880000.0,21720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050501,19120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060302,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110801,0.0,0.0,114360000.0,40000.0,0.0,320000.0,0.0,0.0,0.0
031102060505,400000.0,0.0,0.0,0.0,0.0,0.0,720000.0,0.0,0.0
031102060504,17080000.0,800000.0,0.0,0.0,0.0,0.0,320000.0,0.0,0.0
031200031201,0.0,0.0,55920000.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020501,48720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200030903,0.0,0.0,81400000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130202,0.0,0.0,92200000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130301,0.0,0.0,61840000.0,0.0,0.0,0.0,0.0,0.0,0.0
031200010903,1360000.0,0.0,33640000.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020403,15080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110604,17480000.0,0.0,112000000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050502,3800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200031101,120000.0,0.0,60960000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130201,0.0,0.0,45520000.0,40000.0,0.0,0.0,0.0,0.0,0.0
031200031102,0.0,0.0,77920000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300120605,400000.0,3120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060506,1680000.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0
031102060704,7520000.0,4360000.0,0.0,440000.0,0.0,0.0,0.0,0.0,0.0
030801030601,15120000.0,10560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020602,22240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020604,47160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020603,9160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060503,8840000.0,1800000.0,0.0,0.0,0.0,0.0,2240000.0,0.0,0.0
031200010902,0.0,0.0,47880000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300120604,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060101,35000000.0,0.0,120000.0,0.0,0.0,0.0,2760000.0,0.0,0.0
031101020502,6480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200031003,0.0,0.0,55240000.0,0.0,0.0,0.0,0.0,0.0,0.0
030801030502,43320000.0,0.0,0.0,0.0,0.0,640000.0,0.0,0.0,0.0
031401010503,0.0,1560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031300110603,28560000.0,0.0,21560000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060104,1120000.0,1840000.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0
030801030603,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102050406,560000.0,8120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200010901,0.0,2960000.0,5320000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130102,0.0,0.0,50320000.0,0.0,0.0,0.0,0.0,0.0,0.0
031300130103,0.0,0.0,72200000.0,0.0,0.0,0.0,0.0,0.0,0.0
031200011102,400000.0,0.0,56920000.0,17600000.0,0.0,0.0,0.0,0.0,0.0
031102050407,4080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031200030902,0.0,0.0,106480000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060405,4920000.0,0.0,0.0,0.0,0.0,240000.0,1040000.0,0.0,0.0
031101020405,39880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020601,4720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031101020203,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0
031200010803,0.0,0.0,47680000.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060103,1920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030801030901,53000000.0,5280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031102060102,18960000.0,0.0,0.0,0.0,0.0,0.0,520000.0,0.0,0.0
031200030901,40000.0,12520000.0,63400000.0,0.0,0.0,0.0,0.0,0.0,0.0
