HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
031403010101,0.0,0.0,0.0,0.0,400000.0,0.0
031501100701,80000.0,0.0,0.0,0.0,12840000.0,0.0
030701031403,440000.0,0.0,0.0,0.0,3960000.0,0.0
030701031602,2080000.0,1120000.0,920000.0,4560000.0,5560000.0,2960000.0
030701031501,280000.0,0.0,0.0,0.0,3240000.0,0.0
031300051001,1400000.0,0.0,0.0,0.0,20640000.0,0.0
030701031604,240000.0,0.0,0.0,0.0,9440000.0,0.0
031300050904,3080000.0,0.0,0.0,720000.0,25600000.0,0.0
030701031306,0.0,0.0,0.0,0.0,2360000.0,0.0
030701031601,11400000.0,3960000.0,4520000.0,9120000.0,42560000.0,4200000.0
030701031402,40000.0,0.0,0.0,0.0,1360000.0,0.0
030701031401,5360000.0,0.0,0.0,0.0,37760000.0,0.0
031300050903,840000.0,0.0,0.0,0.0,9760000.0,0.0
030701031307,560000.0,360000.0,480000.0,1120000.0,11200000.0,160000.0
030701031603,6200000.0,1920000.0,1720000.0,4480000.0,42640000.0,440000.0
030701020501,2720000.0,0.0,0.0,0.0,16920000.0,0.0
031300020703,80000.0,0.0,400000.0,320000.0,0.0,0.0
030701031203,1240000.0,680000.0,1040000.0,2760000.0,26240000.0,200000.0
031300050501,40000.0,0.0,0.0,120000.0,560000.0,0.0
031300050402,80000.0,0.0,0.0,0.0,1400000.0,0.0
031300020702,2480000.0,0.0,440000.0,2880000.0,25760000.0,0.0
030701031201,5200000.0,0.0,0.0,0.0,41960000.0,0.0
030701031202,160000.0,0.0,0.0,0.0,1880000.0,0.0
030701011703,480000.0,0.0,0.0,0.0,15640000.0,0.0
031300050601,1960000.0,0.0,0.0,0.0,24200000.0,0.0
031300050304,600000.0,0.0,0.0,0.0,4160000.0,0.0
031300050902,4920000.0,0.0,0.0,0.0,33280000.0,0.0
030701031204,80000.0,0.0,0.0,0.0,7680000.0,0.0
031300020701,3440000.0,0.0,0.0,1240000.0,33720000.0,0.0
031300050108,200000.0,0.0,0.0,0.0,9280000.0,0.0
031300050901,17600000.0,0.0,0.0,0.0,35040000.0,0.0
030701031105,3320000.0,0.0,0.0,0.0,24800000.0,0.0
031300020501,3680000.0,120000.0,520000.0,2640000.0,61600000.0,0.0
031300050303,1640000.0,0.0,0.0,0.0,15320000.0,0.0
031300050305,3080000.0,0.0,0.0,0.0,30640000.0,0.0
030701031005,800000.0,240000.0,520000.0,1880000.0,2960000.0,0.0
030701031104,10800000.0,0.0,0.0,0.0,35640000.0,0.0
031300020503,5000000.0,1120000.0,1800000.0,8960000.0,39280000.0,400000.0
030701031302,0.0,920000.0,880000.0,280000.0,0.0,240000.0
031300050206,7920000.0,0.0,0.0,0.0,69880000.0,0.0
030701031004,4320000.0,1920000.0,2560000.0,5720000.0,48160000.0,2000000.0
030701031006,680000.0,0.0,0.0,0.0,13080000.0,0.0
031300050107,23400000.0,0.0,0.0,0.0,68000000.0,0.0
030701031106,520000.0,0.0,0.0,0.0,18400000.0,0.0
031300020502,9240000.0,0.0,0.0,0.0,36080000.0,0.0
030701011701,1280000.0,1600000.0,2400000.0,5960000.0,7440000.0,480000.0
031300050302,14440000.0,400000.0,560000.0,1880000.0,60720000.0,0.0
030701031001,8400000.0,0.0,0.0,0.0,56840000.0,0.0
030701031102,7000000.0,1040000.0,1960000.0,6800000.0,68320000.0,480000.0
030701011606,440000.0,0.0,0.0,0.0,14960000.0,0.0
031300050106,2280000.0,0.0,0.0,280000.0,22800000.0,0.0
031300020403,24480000.0,0.0,0.0,0.0,58040000.0,0.0
030701031003,600000.0,4040000.0,2520000.0,1760000.0,3360000.0,8560000.0
031300050301,25200000.0,0.0,0.0,0.0,20160000.0,0.0
030701031101,10560000.0,1160000.0,2280000.0,6800000.0,54200000.0,240000.0
031300050205,22120000.0,920000.0,2960000.0,10920000.0,64640000.0,200000.0
030701031103,24200000.0,120000.0,280000.0,1560000.0,39240000.0,40000.0
031300050105,13880000.0,0.0,0.0,0.0,38200000.0,0.0
030701011503,4600000.0,480000.0,1480000.0,4800000.0,10760000.0,200000.0
030701030903,1080000.0,0.0,0.0,0.0,33080000.0,0.0
030701011604,4840000.0,0.0,0.0,2840000.0,40760000.0,0.0
031300020401,720000.0,0.0,0.0,80000.0,13800000.0,0.0
030701030901,13920000.0,640000.0,960000.0,2760000.0,40200000.0,80000.0
031300050202,16840000.0,40000.0,440000.0,1520000.0,42320000.0,0.0
030701011501,480000.0,3640000.0,2080000.0,2360000.0,200000.0,8200000.0
030701030902,7880000.0,0.0,400000.0,2160000.0,72560000.0,0.0
030701011605,1880000.0,0.0,0.0,0.0,20600000.0,0.0
031300050203,39920000.0,960000.0,1200000.0,3920000.0,34200000.0,200000.0
031300050104,36920000.0,680000.0,2560000.0,9280000.0,57080000.0,40000.0
031300020404,520000.0,0.0,0.0,0.0,16640000.0,0.0
030701011803,3720000.0,320000.0,1080000.0,4000000.0,12520000.0,40000.0
030701030302,22160000.0,720000.0,1040000.0,3400000.0,37560000.0,120000.0
031300020402,10400000.0,1080000.0,1760000.0,4320000.0,100400000.0,400000.0
030701011802,80000.0,0.0,0.0,0.0,6800000.0,0.0
031501090405,80000.0,0.0,0.0,0.0,920000.0,0.0
030701030303,40720000.0,80000.0,280000.0,1560000.0,61400000.0,0.0
031300050201,31280000.0,440000.0,560000.0,1640000.0,54280000.0,240000.0
031300020310,200000.0,0.0,0.0,0.0,7040000.0,0.0
031300050204,35160000.0,240000.0,440000.0,1120000.0,58480000.0,120000.0
030701030203,60760000.0,3520000.0,1720000.0,4360000.0,29120000.0,15280000.0
030701030204,15320000.0,0.0,0.0,0.0,31520000.0,0.0
