HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4
031300051002,2600000.0,800000.0,5160000.0,4360000.0,0.0
031300050905,480000.0,1320000.0,2760000.0,600000.0,0.0
030701031403,4880000.0,2320000.0,10360000.0,4840000.0,0.0
030701031602,2360000.0,680000.0,3480000.0,8840000.0,0.0
030701031501,2440000.0,2000000.0,10080000.0,9560000.0,0.0
031300051001,2680000.0,4440000.0,24240000.0,12040000.0,0.0
030701031604,3480000.0,960000.0,10320000.0,8680000.0,0.0
031300050904,5720000.0,5280000.0,22720000.0,13280000.0,0.0
030701031306,3000000.0,840000.0,3160000.0,17640000.0,0.0
030701031601,11160000.0,3080000.0,25800000.0,58200000.0,0.0
030701031402,240000.0,80000.0,1080000.0,0.0,0.0
030701031401,6600000.0,5720000.0,31000000.0,22000000.0,0.0
031300050903,3000000.0,4920000.0,29760000.0,18120000.0,0.0
030701031307,20240000.0,3360000.0,27400000.0,17720000.0,0.0
030701031603,14320000.0,1920000.0,40600000.0,42080000.0,0.0
030701020501,2680000.0,600000.0,12160000.0,8920000.0,0.0
031300020703,0.0,1040000.0,2240000.0,2440000.0,0.0
030701031203,9360000.0,1800000.0,21000000.0,31160000.0,0.0
031300050501,1400000.0,4640000.0,11240000.0,6480000.0,0.0
031300020607,480000.0,480000.0,2040000.0,120000.0,0.0
031300050402,800000.0,5240000.0,16160000.0,7120000.0,0.0
031300050401,2640000.0,3760000.0,9480000.0,4520000.0,0.0
031300020702,3160000.0,6320000.0,14800000.0,9680000.0,0.0
030701031201,8840000.0,6520000.0,42960000.0,26440000.0,0.0
030701031202,10120000.0,1720000.0,22000000.0,28560000.0,0.0
030701031305,14040000.0,4320000.0,15520000.0,54320000.0,0.0
030701031301,10920000.0,2520000.0,22400000.0,44280000.0,0.0
030701011703,15880000.0,2240000.0,32200000.0,39200000.0,0.0
031300050601,640000.0,10560000.0,37600000.0,11600000.0,0.0
031300050306,3280000.0,5920000.0,24120000.0,11200000.0,0.0
030701020102,160000.0,80000.0,760000.0,560000.0,0.0
031300050304,320000.0,6840000.0,19520000.0,23640000.0,0.0
031300050902,960000.0,9240000.0,37480000.0,12600000.0,0.0
030701031204,16120000.0,2840000.0,32280000.0,52920000.0,0.0
031300020701,3120000.0,8360000.0,18000000.0,8920000.0,0.0
031300050108,2880000.0,12320000.0,45960000.0,20080000.0,0.0
031300050901,3520000.0,17000000.0,35400000.0,15160000.0,0.0
030701031105,9360000.0,7040000.0,57640000.0,41240000.0,0.0
031300020501,7680000.0,15880000.0,38640000.0,22160000.0,0.0
031300020505,7920000.0,3400000.0,8640000.0,4920000.0,0.0
031300050303,2120000.0,9560000.0,34280000.0,22600000.0,0.0
030701011706,12760000.0,1720000.0,17240000.0,11840000.0,0.0
031300050305,2200000.0,11080000.0,31600000.0,11080000.0,0.0
030701031303,9320000.0,1400000.0,6840000.0,48680000.0,0.0
030701011702,11760000.0,2240000.0,12640000.0,53800000.0,0.0
030701031005,10920000.0,1920000.0,21520000.0,25960000.0,0.0
030701031104,6800000.0,11520000.0,45440000.0,18120000.0,0.0
030701011704,15040000.0,2360000.0,10000000.0,42840000.0,0.0
031300020503,5560000.0,15160000.0,35080000.0,15400000.0,0.0
030701031304,8480000.0,1160000.0,6240000.0,31960000.0,0.0
030701031302,7920000.0,1040000.0,4440000.0,38240000.0,0.0
031300020504,7080000.0,7440000.0,20080000.0,16400000.0,0.0
031300050206,4680000.0,19040000.0,65120000.0,30880000.0,0.0
030701031004,12080000.0,3600000.0,31680000.0,27520000.0,0.0
030701031006,14680000.0,3560000.0,29160000.0,51560000.0,0.0
031300050107,5640000.0,26680000.0,59200000.0,17040000.0,0.0
030701031106,14240000.0,3080000.0,51040000.0,38280000.0,0.0
031300020502,8200000.0,14120000.0,33560000.0,15600000.0,0.0
030701011701,8760000.0,920000.0,17520000.0,45640000.0,0.0
031300020408,7840000.0,12360000.0,34800000.0,35080000.0,0.0
031300050302,760000.0,15360000.0,38440000.0,24160000.0,0.0
030701031001,12240000.0,2320000.0,39400000.0,21320000.0,0.0
030701031102,5320000.0,10440000.0,44320000.0,27560000.0,0.0
030701011606,6280000.0,680000.0,17040000.0,34080000.0,0.0
031300050106,3760000.0,9040000.0,43040000.0,18320000.0,0.0
031300020403,4280000.0,23080000.0,34480000.0,21360000.0,0.0
030701031003,16160000.0,3480000.0,25920000.0,51320000.0,0.0
031300050301,3440000.0,16240000.0,13880000.0,11800000.0,0.0
031300020405,3880000.0,1960000.0,4000000.0,2760000.0,0.0
030701031101,5560000.0,8880000.0,42640000.0,18160000.0,0.0
031300050205,2240000.0,23720000.0,47280000.0,29480000.0,0.0
030701031103,4720000.0,14280000.0,31960000.0,14480000.0,0.0
031300050105,1920000.0,11720000.0,27360000.0,11880000.0,0.0
030701011503,6480000.0,960000.0,8840000.0,18880000.0,0.0
030701030903,12480000.0,3840000.0,37320000.0,16440000.0,0.0
030701011604,10480000.0,1920000.0,30120000.0,30040000.0,0.0
031300020401,7960000.0,11480000.0,40760000.0,45800000.0,0.0
030701011607,12920000.0,2160000.0,16800000.0,76760000.0,0.0
030701030901,3640000.0,6080000.0,36960000.0,11880000.0,0.0
031300050202,1200000.0,19800000.0,32800000.0,7360000.0,0.0
030701011501,9040000.0,1600000.0,15840000.0,22160000.0,0.0
030701031002,8080000.0,1520000.0,17000000.0,29040000.0,0.0
030701030902,13680000.0,4320000.0,42960000.0,22040000.0,0.0
030701011605,10560000.0,1080000.0,27560000.0,36280000.0,0.0
031300050203,6600000.0,30760000.0,31400000.0,11640000.0,0.0
031300050104,6720000.0,30120000.0,49480000.0,20960000.0,0.0
031300020404,320000.0,3960000.0,19120000.0,16400000.0,0.0
030701011803,4040000.0,480000.0,12760000.0,5200000.0,0.0
030701030302,2040000.0,13960000.0,37520000.0,11480000.0,0.0
031300020402,4920000.0,19040000.0,47360000.0,50240000.0,0.0
030701011802,2000000.0,120000.0,9600000.0,2960000.0,0.0
030701030804,4440000.0,1480000.0,18200000.0,20280000.0,0.0
030701011408,6480000.0,480000.0,10560000.0,22800000.0,0.0
030701011603,6200000.0,720000.0,15960000.0,21040000.0,0.0
030701030303,12960000.0,18240000.0,59920000.0,12920000.0,0.0
031300050201,4920000.0,25200000.0,43360000.0,14960000.0,0.0
030701011601,8720000.0,1040000.0,18400000.0,29080000.0,0.0
030701011006,5480000.0,1880000.0,10120000.0,6560000.0,0.0
031300020310,440000.0,4880000.0,16440000.0,19680000.0,0.0
031300050204,3600000.0,30160000.0,46920000.0,14880000.0,0.0
030701011005,10560000.0,1640000.0,25560000.0,28760000.0,0.0
030701030203,16640000.0,41880000.0,44920000.0,11320000.0,0.0
030701030204,6160000.0,4080000.0,29680000.0,6920000.0,0.0
030701011502,14360000.0,2360000.0,18080000.0,41760000.0,0.0
031300020312,5560000.0,11920000.0,35160000.0,65800000.0,0.0
031300020311,3280000.0,14400000.0,37680000.0,43560000.0,0.0
030701030301,5600000.0,1080000.0,24120000.0,15440000.0,0.0
030701030603,9240000.0,1800000.0,35000000.0,23920000.0,0.0
030701011403,17080000.0,1120000.0,25080000.0,24040000.0,0.0
030701011602,8880000.0,1320000.0,27600000.0,28000000.0,0.0
031300020307,1880000.0,13640000.0,25360000.0,39760000.0,0.0
031300020305,480000.0,3960000.0,10120000.0,20640000.0,0.0
030701011202,6040000.0,800000.0,10520000.0,23120000.0,0.0
030701011409,9920000.0,800000.0,14720000.0,29400000.0,0.0
030602010106,4040000.0,480000.0,5720000.0,16280000.0,0.0
030701011105,12440000.0,3200000.0,22960000.0,10160000.0,0.0
031300050102,3880000.0,25760000.0,16760000.0,1160000.0,0.0
030701011205,8880000.0,1080000.0,14000000.0,6200000.0,0.0
030701030305,16720000.0,4480000.0,58680000.0,30160000.0,0.0
031300050103,7000000.0,39840000.0,38720000.0,7840000.0,0.0
030701030802,4720000.0,400000.0,25080000.0,13840000.0,0.0
030701011003,12680000.0,1160000.0,32960000.0,31720000.0,0.0
030602010105,10440000.0,1000000.0,10840000.0,4040000.0,0.0
030602010302,4920000.0,760000.0,10280000.0,4440000.0,0.0
030701030202,6640000.0,14040000.0,44680000.0,13920000.0,0.0
030701030201,10160000.0,26960000.0,21680000.0,1280000.0,0.0
030602010104,16760000.0,2280000.0,14040000.0,23080000.0,0.0
031300020303,920000.0,16400000.0,19960000.0,36680000.0,0.0
030602010108,5040000.0,400000.0,9800000.0,2600000.0,0.0
030701011406,4240000.0,640000.0,12320000.0,18120000.0,0.0
030701011404,9160000.0,1360000.0,27640000.0,22680000.0,0.0
030602010301,13960000.0,3360000.0,23440000.0,12960000.0,0.0
030701011001,9680000.0,4280000.0,21120000.0,12000000.0,0.0
031300020306,640000.0,8040000.0,10040000.0,26040000.0,0.0
031300050101,42560000.0,61360000.0,18840000.0,2920000.0,0.0
030701030803,12720000.0,2520000.0,39280000.0,27000000.0,0.0
030701011104,16000000.0,3000000.0,19440000.0,17240000.0,0.0
030701011203,25200000.0,5640000.0,36120000.0,26080000.0,0.0
030701011103,11160000.0,2560000.0,22960000.0,10160000.0,0.0
030601080101,11760000.0,2160000.0,25960000.0,7600000.0,0.0
030701011004,3080000.0,880000.0,14560000.0,21560000.0,0.0
030701030801,7240000.0,3240000.0,14640000.0,9480000.0,0.0
030701011407,7800000.0,1040000.0,21880000.0,11880000.0,0.0
031300020302,5480000.0,46000000.0,28440000.0,30560000.0,0.0
031300020308,1240000.0,12640000.0,25720000.0,23320000.0,0.0
031300020301,3800000.0,5200000.0,13560000.0,38960000.0,0.0
030701030107,9360000.0,7800000.0,47000000.0,27720000.0,0.0
030701011402,10160000.0,1800000.0,46760000.0,24200000.0,0.0
030601080102,40000.0,0.0,0.0,0.0,0.0
031300020309,1600000.0,14640000.0,33800000.0,43360000.0,0.0
030701011405,7880000.0,1560000.0,26240000.0,17240000.0,0.0
030701011002,12240000.0,2120000.0,37480000.0,21480000.0,0.0
030701030601,25560000.0,11360000.0,59640000.0,18800000.0,0.0
030701030304,15880000.0,19720000.0,49480000.0,10040000.0,0.0
030602010103,20840000.0,3480000.0,29120000.0,30280000.0,0.0
030602010102,16160000.0,2280000.0,28280000.0,26560000.0,0.0
030701011401,4920000.0,6000000.0,26840000.0,24880000.0,0.0
031300020304,6920000.0,24800000.0,23680000.0,19560000.0,0.0
030701011102,10040000.0,2040000.0,26920000.0,12120000.0,0.0
030701030106,8280000.0,17520000.0,33720000.0,7800000.0,0.0
030701030101,18160000.0,36760000.0,8080000.0,2240000.0,0.0
031300020103,10840000.0,55760000.0,15840000.0,6800000.0,0.0
030701010907,9240000.0,2240000.0,22120000.0,19960000.0,0.0
030701011303,11200000.0,1520000.0,28560000.0,35800000.0,0.0
030602010101,14720000.0,3880000.0,28320000.0,22440000.0,0.0
030601050301,15360000.0,3600000.0,29960000.0,7160000.0,0.0
030701030102,20200000.0,50760000.0,13600000.0,6000000.0,0.0
031300020104,13280000.0,12280000.0,8280000.0,13280000.0,0.0
030701030105,10920000.0,34920000.0,35840000.0,21200000.0,0.0
030701010706,8240000.0,2880000.0,21320000.0,14880000.0,0.0
030701011302,6080000.0,4480000.0,25160000.0,30320000.0,0.0
030701011101,17280000.0,2920000.0,35040000.0,19480000.0,0.0
030701030103,12880000.0,55880000.0,25520000.0,5800000.0,0.0
030701030502,9560000.0,16640000.0,33000000.0,12360000.0,0.0
030701030707,5800000.0,6400000.0,36480000.0,16720000.0,0.0
031300020201,40000.0,440000.0,1080000.0,120000.0,0.0
030701010705,18640000.0,3840000.0,20720000.0,25040000.0,0.0
031300020203,1040000.0,7280000.0,8360000.0,5400000.0,0.0
030601050302,29800000.0,6680000.0,49520000.0,19920000.0,0.0
030601050103,37320000.0,6040000.0,51400000.0,40960000.0,0.0
030701011306,6120000.0,320000.0,18600000.0,10800000.0,0.0
030701011305,8600000.0,280000.0,21120000.0,17400000.0,0.0
