HUC12,VALUE_1,VALUE_2,VALUE_3,VALUE_4
031101010504,54440000.0,34760000.0,0.0,40000.0
031101010503,34040000.0,200000.0,0.0,0.0
031102050804,0.0,84920000.0,0.0,280000.0
031102050805,1720000.0,17600000.0,0.0,91040000.0
031101020903,11920000.0,120040000.0,0.0,40000.0
031102050803,0.0,240000.0,0.0,102120000.0
031102050802,16120000.0,39720000.0,0.0,40000.0
031102050704,0.0,84160000.0,0.0,80000.0
031101020906,167360000.0,0.0,0.0,0.0
031300110704,136920000.0,0.0,0.0,0.0
031101020905,172520000.0,0.0,0.0,0.0
031102050703,0.0,14120000.0,0.0,160000.0
031300110706,16920000.0,86840000.0,0.0,0.0
031101020904,89360000.0,0.0,0.0,0.0
031102050702,0.0,40000.0,0.0,0.0
031101020804,49480000.0,0.0,0.0,0.0
031101010201,39720000.0,0.0,0.0,0.0
031300110703,75320000.0,160000.0,0.0,0.0
031300110705,320000.0,96040000.0,0.0,0.0
031300110804,40000.0,93720000.0,0.0,42680000.0
031300130504,69120000.0,200000.0,0.0,0.0
031101020902,400000.0,152360000.0,0.0,40000.0
031102050701,0.0,280000.0,0.0,134600000.0
031101020805,61520000.0,0.0,0.0,0.0
031300110702,200000.0,62920000.0,0.0,0.0
031101020901,132560000.0,0.0,0.0,0.0
031101020506,62720000.0,0.0,0.0,0.0
031300130305,95000000.0,0.0,0.0,0.0
031102050604,160000.0,78520000.0,0.0,160000.0
031401010704,105440000.0,0.0,0.0,0.0
031300130402,48440000.0,0.0,0.0,0.0
031300130503,75800000.0,0.0,0.0,0.0
031300130502,74160000.0,120000.0,0.0,0.0
031101020802,79360000.0,0.0,0.0,0.0
031101020803,120320000.0,0.0,0.0,0.0
031102050603,0.0,440000.0,0.0,127480000.0
031300110701,80000.0,106640000.0,0.0,0.0
031300130403,80000.0,80000.0,0.0,0.0
031300130304,106840000.0,200000.0,0.0,0.0
031101020605,115840000.0,80000.0,0.0,0.0
031300110803,0.0,840000.0,120000.0,182680000.0
031102050602,80000.0,55960000.0,0.0,0.0
031101020505,81400000.0,0.0,0.0,0.0
031401010702,120000.0,80040000.0,80000.0,0.0
031200031203,160000.0,77800000.0,0.0,240000.0
031300130501,67360000.0,80000.0,0.0,0.0
031300130401,31040000.0,40800000.0,0.0,0.0
031300110802,80000.0,96320000.0,0.0,400000.0
031200031204,10760000.0,3920000.0,0.0,40880000.0
031101020503,29840000.0,0.0,0.0,0.0
031102060701,3960000.0,120000.0,0.0,0.0
031300130303,480000.0,76400000.0,0.0,0.0
031102050601,0.0,86160000.0,0.0,0.0
031300130302,0.0,50120000.0,0.0,0.0
031401010703,33680000.0,102840000.0,0.0,0.0
031102060703,0.0,41400000.0,0.0,40000.0
031300130203,68800000.0,160000.0,0.0,0.0
031300120606,0.0,5200000.0,87320000.0,0.0
030801021101,37920000.0,0.0,0.0,0.0
031200031202,0.0,9480000.0,0.0,72320000.0
031102050504,0.0,160000.0,40000.0,52480000.0
031102050503,40000.0,40080000.0,0.0,0.0
031101020703,85960000.0,0.0,0.0,0.0
031101020504,74720000.0,0.0,0.0,0.0
031300110605,0.0,80000.0,280000.0,55280000.0
031101020801,164800000.0,200000.0,0.0,0.0
031102050501,0.0,62400000.0,0.0,40000.0
031102060302,35800000.0,0.0,0.0,0.0
031300110801,4080000.0,71440000.0,0.0,120000.0
031102060505,5640000.0,40000.0,0.0,0.0
031102060504,19040000.0,0.0,0.0,0.0
031200031201,0.0,30000000.0,0.0,120000.0
031101020501,96360000.0,0.0,0.0,0.0
031200030903,0.0,160000.0,0.0,55200000.0
031300130202,320000.0,71720000.0,0.0,0.0
031300130301,0.0,55960000.0,0.0,40000.0
031200010903,6520000.0,0.0,0.0,0.0
031101020403,51400000.0,0.0,0.0,0.0
031300110604,0.0,87320000.0,0.0,280000.0
031102050502,0.0,72000000.0,0.0,120000.0
031200031101,40000.0,43560000.0,0.0,120000.0
031300130201,28520000.0,40000.0,0.0,0.0
031200031102,10760000.0,40000.0,0.0,0.0
031300120605,0.0,40000.0,42240000.0,0.0
031101020701,84520000.0,0.0,0.0,0.0
031102060506,0.0,13960000.0,0.0,0.0
031102060704,0.0,440000.0,67440000.0,0.0
030801030601,53640000.0,120000.0,0.0,0.0
031101020602,107200000.0,0.0,0.0,0.0
031101020604,520000.0,193200000.0,0.0,0.0
031101020603,126600000.0,280000.0,0.0,0.0
031102060503,26640000.0,0.0,0.0,0.0
031200010902,25720000.0,0.0,0.0,0.0
031300120604,280000.0,43120000.0,0.0,0.0
