HUC12,VALUE_0,VALUE_5,VALUE_10,VALUE_15,VALUE_20,VALUE_25,VALUE_30,VALUE_35,VALUE_40,VALUE_45,VALUE_50,VALUE_55,VALUE_60,VALUE_65,VALUE_70,VALUE_75,VALUE_80,VALUE_85,VALUE_90,VALUE_95,VALUE_100,MigrationSpace_0_5,MigrationSpace_1,MigrationSpace_1_5,MigrationSpace_2,MigrationSpace_2_5,MigrationSpace_3,MigrationSpace_3_5,MigrationSpace_4,MigrationSpace_4_5,MigrationSpace_5,MigrationSpace_5_5,MigrationSpace_6,MigrationSpace_6_5,MigrationSpace_7,MigrationSpace_7_5,MigrationSpace_8,MigrationSpace_8_5,MigrationSpace_9,MigrationSpace_9_5,MigrationSpace_10,PixelArea30m
031101010504,304010100.0,0.0,35392500.0,0.0,9521100.0,0.0,6455700.0,0.0,4822200.0,0.0,3437100.0,0.0,2058300.0,0.0,1359900.0,0.0,909900.0,0.0,654300.0,0.0,503100.0,0.0,35392500.0,35392500.0,44913600.0,44913600.0,51369300.0,51369300.0,56191500.0,56191500.0,59628600.0,59628600.0,61686900.0,61686900.0,63046800.0,63046800.0,63956700.0,63956700.0,64611000.0,64611000.0,65114100.0,369124200.0
031101010503,127701000.0,0.0,15176700.0,0.0,6701400.0,0.0,7344000.0,0.0,7141500.0,0.0,7155900.0,0.0,7559100.0,0.0,9588600.0,0.0,10874700.0,0.0,10600200.0,0.0,8428500.0,0.0,15176700.0,15176700.0,21878100.0,21878100.0,29222100.0,29222100.0,36363600.0,36363600.0,43519500.0,43519500.0,51078600.0,51078600.0,60667200.0,60667200.0,71541900.0,71541900.0,82142100.0,82142100.0,90570600.0,218271600.0
031102050804,42154200.0,0.0,10066500.0,0.0,2795400.0,0.0,4227300.0,0.0,5860800.0,0.0,7568100.0,0.0,6083100.0,0.0,4770000.0,0.0,4655700.0,0.0,2947500.0,0.0,2034900.0,0.0,10066500.0,10066500.0,12861900.0,12861900.0,17089200.0,17089200.0,22950000.0,22950000.0,30518100.0,30518100.0,36601200.0,36601200.0,41371200.0,41371200.0,46026900.0,46026900.0,48974400.0,48974400.0,51009300.0,93163500.0
031102050805,107631000.0,0.0,45624600.0,0.0,3399300.0,0.0,3244500.0,0.0,3249000.0,0.0,3218400.0,0.0,2540700.0,0.0,1632600.0,0.0,1435500.0,0.0,2219400.0,0.0,3471300.0,0.0,45624600.0,45624600.0,49023900.0,49023900.0,52268400.0,52268400.0,55517400.0,55517400.0,58735800.0,58735800.0,61276500.0,61276500.0,62909100.0,62909100.0,64344600.0,64344600.0,66564000.0,66564000.0,70035300.0,177666300.0
031101020903,113913900.0,0.0,38902500.0,0.0,7954200.0,0.0,6612300.0,0.0,6913800.0,0.0,6040800.0,0.0,5058900.0,0.0,2575800.0,0.0,1637100.0,0.0,2357100.0,0.0,5403600.0,0.0,38902500.0,38902500.0,46856700.0,46856700.0,53469000.0,53469000.0,60382800.0,60382800.0,66423600.0,66423600.0,71482500.0,71482500.0,74058300.0,74058300.0,75695400.0,75695400.0,78052500.0,78052500.0,83456100.0,197370000.0
031102050803,79742700.0,0.0,9865800.0,0.0,1750500.0,0.0,1593900.0,0.0,1806300.0,0.0,2335500.0,0.0,2997900.0,0.0,3660300.0,0.0,3836700.0,0.0,4124700.0,0.0,4854600.0,0.0,9865800.0,9865800.0,11616300.0,11616300.0,13210200.0,13210200.0,15016500.0,15016500.0,17352000.0,17352000.0,20349900.0,20349900.0,24010200.0,24010200.0,27846900.0,27846900.0,31971600.0,31971600.0,36826200.0,116568900.0
031102050802,117112500.0,0.0,18900.0,0.0,14400.0,0.0,15300.0,0.0,15300.0,0.0,52200.0,0.0,100800.0,0.0,257400.0,0.0,282600.0,0.0,450900.0,0.0,739800.0,0.0,18900.0,18900.0,33300.0,33300.0,48600.0,48600.0,63900.0,63900.0,116100.0,116100.0,216900.0,216900.0,474300.0,474300.0,756900.0,756900.0,1207800.0,1207800.0,1947600.0,119060100.0
031102050704,122427900.0,0.0,5202000.0,0.0,857700.0,0.0,952200.0,0.0,986400.0,0.0,972900.0,0.0,783000.0,0.0,697500.0,0.0,717300.0,0.0,786600.0,0.0,847800.0,0.0,5202000.0,5202000.0,6059700.0,6059700.0,7011900.0,7011900.0,7998300.0,7998300.0,8971200.0,8971200.0,9754200.0,9754200.0,10451700.0,10451700.0,11169000.0,11169000.0,11955600.0,11955600.0,12803400.0,135231300.0
031101020906,109065600.0,0.0,29763000.0,0.0,10431900.0,0.0,9046800.0,0.0,7396200.0,0.0,5853600.0,0.0,5255100.0,0.0,4291200.0,0.0,3855600.0,0.0,3485700.0,0.0,3491100.0,0.0,29763000.0,29763000.0,40194900.0,40194900.0,49241700.0,49241700.0,56637900.0,56637900.0,62491500.0,62491500.0,67746600.0,67746600.0,72037800.0,72037800.0,75893400.0,75893400.0,79379100.0,79379100.0,82870200.0,191935800.0
031300110704,375062400.0,0.0,18342000.0,0.0,7618500.0,0.0,9316800.0,0.0,14642100.0,0.0,19523700.0,0.0,17187300.0,0.0,15746400.0,0.0,14536800.0,0.0,13379400.0,0.0,9128700.0,0.0,18342000.0,18342000.0,25960500.0,25960500.0,35277300.0,35277300.0,49919400.0,49919400.0,69443100.0,69443100.0,86630400.0,86630400.0,102376800.0,102376800.0,116913600.0,116913600.0,130293000.0,130293000.0,139421700.0,514484100.0
