HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031300110704,10,353,14119999.999999994,17,89,72,42.69121813031161,24.373936689305832,15070.0,20,18,31,53
031300110706,13,131,5239999.999999998,26,86,60,71.2824427480916,9.773991667530291,9338.0,12,66,26,68
031300110804,20,202,8079999.999999997,21,83,62,54.306930693069305,24.113076266105047,10970.0,18,22,21,57
031300130504,21,26,1039999.9999999997,41,47,6,46.38461538461539,1.1792084397504168,1206.0,3,47,41,47
031300130305,28,122,4879999.999999998,66,93,27,82.28688524590164,11.18802016517397,10039.0,6,69,89,90
031401010704,30,227,9079999.999999996,18,98,80,63.72687224669603,32.15210724586055,14466.0,15,21,60,84
031300130503,32,256,10239999.999999996,40,100,60,77.3046875,23.6692900300652,19790.0,16,48,40,94
031300130403,38,285,11399999.999999996,40,92,52,65.1859649122807,15.687199369834788,18578.0,20,54,55,60
031200031204,49,28,1119999.9999999995,58,60,2,59.75,0.57476703355111,1673.0,3,60,58,60
030802010601,263,161,6439999.999999997,12,37,25,23.652173913043477,8.885930584629136,3808.0,12,12,36,21
030801031605,344,183,7319999.999999997,13,15,2,13.737704918032787,0.5196143802701013,2514.0,3,14,15,14
030801031606,367,50,1999999.9999999993,15,74,59,35.6,27.489634410082648,1780.0,5,15,69,15
030702050304,431,266,10639999.999999996,12,94,82,60.34586466165413,27.882418292111428,16052.0,23,12,37,74
030702040906,477,131,5239999.999999998,11,91,80,31.65648854961832,32.46296092386715,4147.0,10,13,85,13
030702030503,590,445,17799999.999999993,23,98,75,69.88539325842697,19.871336426174288,31099.0,29,71,25,73
030702030502,633,93,3719999.9999999986,22,59,37,39.473118279569896,12.030955948261985,3671.0,13,39,30,39
030701060502,752,331,13239999.999999994,19,100,81,68.81570996978851,29.6409408172581,22778.0,31,99,21,81
030602040602,1045,69,2759999.999999999,27,59,32,45.95652173913044,11.969084309421875,3171.0,10,58,35,39
030602040601,1078,135,5399999.999999998,11,93,82,53.39259259259259,38.660554362927,7208.0,12,12,36,87
030601100306,1105,36,1439999.9999999995,19,22,3,21.0,1.4142135623730951,756.0,2,22,19,22
030601100202,1171,8,319999.9999999999,18,22,4,19.25,1.0897247358851685,154.0,3,19,18,19
030601100302,1179,24,959999.9999999997,28,90,62,55.958333333333336,25.891567428197327,1343.0,7,37,36,38
030601100305,1180,146,5839999.999999998,26,90,64,43.65068493150685,19.797465060419725,6373.0,14,37,31,37
030502080609,1193,1,39999.999999999985,45,45,0,45.0,0.0,45.0,1,45,45,45
030601100304,1196,13,519999.9999999998,22,37,15,30.307692307692307,6.7753468873399365,394.0,4,22,31,34
030502100104,1277,115,4599999.999999998,19,60,41,45.19130434782609,14.587007710659869,5197.0,18,58,29,47
030502100102,1282,120,4799999.999999998,19,89,70,57.583333333333336,22.335914030000097,6910.0,23,31,30,53
030502080503,1292,1,39999.999999999985,53,53,0,53.0,0.0,53.0,1,53,53,53
030502100103,1312,49,1959999.9999999993,28,86,58,73.26530612244898,21.32907903922228,3590.0,9,84,39,84
030502100101,1314,6,239999.9999999999,82,86,4,83.66666666666667,1.6996731711973572,502.0,3,82,86,82
030502071106,1345,6,239999.9999999999,57,58,1,57.5,0.5,345.0,2,57,57,57
030502060309,1401,63,2519999.999999999,23,76,53,42.904761904761905,21.450359293778728,2703.0,12,23,30,30
030502060406,1415,21,839999.9999999997,22,90,68,39.523809523809526,27.707002806784196,830.0,5,22,23,22
030502071003,1466,2,79999.99999999997,57,57,0,57.0,0.0,114.0,1,57,57,57
030502060308,1468,66,2639999.999999999,23,89,66,57.86363636363637,26.101716165357004,3819.0,11,23,85,61
030502020207,1486,184,7359999.999999997,26,97,71,59.16304347826087,18.443967538556535,10886.0,20,55,30,57
030502020203,1495,11,439999.9999999998,34,95,61,65.63636363636364,18.366336435162737,722.0,5,55,34,55
030502060405,1501,37,1479999.9999999995,22,91,69,61.189189189189186,29.634565134213414,2264.0,9,23,61,80
030502020206,1530,58,2319999.999999999,27,81,54,46.293103448275865,11.223449314116392,2685.0,11,50,49,50
030502020204,1542,39,1559999.9999999995,44,97,53,71.61538461538461,19.249529311082522,2793.0,13,50,44,81
030502020205,1553,27,1079999.9999999995,26,94,68,56.22222222222222,14.229164972073002,1518.0,9,56,26,56
030502010708,1596,62,2479999.999999999,27,69,42,42.75806451612903,13.985805573660205,2651.0,8,27,34,44
030502090207,1651,119,4759999.999999998,19,89,70,36.168067226890756,20.354554474638515,4304.0,9,19,89,24
030502090204,1659,23,919999.9999999997,24,89,65,52.608695652173914,28.018222533752038,1210.0,7,24,44,45
030502010707,1692,61,2439999.999999999,27,69,42,50.16393442622951,13.540685901542227,3060.0,11,69,34,46
030502090206,1725,129,5159999.999999998,19,77,58,47.86821705426357,15.202702659031837,6175.0,15,27,73,46
030502090203,1747,57,2279999.999999999,19,77,58,49.0,23.510356060792937,2793.0,9,20,32,55
030502090205,1825,29,1159999.9999999995,28,50,22,35.758620689655174,9.471027226135117,1037.0,5,28,35,28
030502090102,1905,161,6439999.999999997,25,97,72,70.3167701863354,22.710826586161254,11321.0,30,32,46,75
030502090101,1909,148,5919999.999999998,13,97,84,78.16216216216216,20.846301782996374,11568.0,30,78,29,81
030502090202,1910,39,1559999.9999999995,26,94,68,41.69230769230769,22.146544380735552,1626.0,7,27,32,28
030501120304,1915,21,839999.9999999997,70,76,6,74.38095238095238,2.4971639242146533,1562.0,4,76,74,76
030501120404,1929,6,239999.9999999999,33,69,36,54.166666666666664,13.825298871593672,325.0,4,62,33,62
030501120303,1973,30,1199999.9999999995,70,76,6,73.26666666666667,2.0965580258022003,2198.0,4,73,70,73
030402070210,1986,37,1479999.9999999995,27,61,34,50.351351351351354,13.843168314539131,1863.0,8,59,28,58
