HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031300110704,10,228,9120000.0,0,2,2,1.7017543859649122,0.7124189650612965,388.0,2,2,0,2
031300110706,13,78,3120000.0,2,2,0,2.0,0.0,156.0,1,2,2,2
031300110804,20,78,3120000.0,0,2,2,1.4230769230769231,0.7428156890703063,111.0,3,2,0,2
031300130504,21,5,200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130305,28,20,800000.0,2,2,0,2.0,0.0,40.0,1,2,2,2
031401010704,30,212,8480000.0,0,2,2,1.6037735849056605,0.7971558556331173,340.0,2,2,0,2
031300130503,32,70,2800000.0,0,2,2,1.2285714285714286,0.9735271449943326,86.0,2,2,0,2
031300130403,38,49,1960000.0,0,2,2,1.5714285714285714,0.8081220356417685,77.0,3,2,1,2
031200031204,49,15,600000.0,0,2,2,1.3333333333333333,0.9428090415820635,20.0,2,2,0,2
030802010601,263,161,6440000.0,0,2,2,0.6459627329192547,0.9352313155139732,104.0,2,0,2,0
030801031605,344,183,7320000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
030801031606,367,45,1800000.0,0,1,1,0.06666666666666667,0.24944382578492943,3.0,2,0,1,0
030702050304,431,248,9920000.0,0,2,2,0.907258064516129,0.8153441176441387,225.0,3,0,2,1
030702040906,477,125,5000000.0,0,1,1,0.176,0.380820167533181,22.0,2,0,1,0
030702030503,590,425,17000000.0,1,2,1,1.828235294117647,0.3771758100614378,777.0,2,2,1,2
030702030502,633,83,3320000.0,0,2,2,1.6024096385542168,0.619750416848756,133.0,3,2,0,2
030701060502,752,260,10400000.0,0,2,2,0.9384615384615385,0.8481096278361674,244.0,3,0,1,1
030602040602,1045,66,2640000.0,2,2,0,2.0,0.0,132.0,1,2,2,2
030602040601,1078,69,2760000.0,0,2,2,0.5217391304347826,0.7344266353228943,36.0,3,0,2,0
030601100306,1105,3,120000.0,1,1,0,1.0,0.0,3.0,1,1,1,1
030601100202,1171,6,240000.0,1,1,0,1.0,0.0,6.0,1,1,1,1
030601100302,1179,23,920000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
030601100305,1180,134,5360000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
030601100304,1196,1,40000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
030502100104,1277,98,3920000.0,0,2,2,0.8775510204081632,0.8720759436416937,86.0,3,0,1,1
030502100102,1282,71,2840000.0,0,2,2,1.619718309859155,0.7757994002208682,115.0,3,2,1,2
030502080503,1292,1,40000.0,2,2,0,2.0,0.0,2.0,1,2,2,2
030502100103,1312,37,1480000.0,0,1,1,0.7567567567567568,0.4290407531456093,28.0,2,1,0,1
030502100101,1314,2,80000.0,0,1,1,0.5,0.5,1.0,2,0,0,0
030502071106,1345,6,240000.0,2,2,0,2.0,0.0,12.0,1,2,2,2
030502060309,1401,59,2360000.0,0,2,2,0.5932203389830508,0.6918078519307984,35.0,3,0,2,0
030502060406,1415,18,720000.0,0,2,2,1.5555555555555556,0.8314794192830981,28.0,2,2,0,2
030502071003,1466,2,80000.0,2,2,0,2.0,0.0,4.0,1,2,2,2
030502060308,1468,56,2240000.0,0,2,2,0.9464285714285714,0.7176261177646471,53.0,3,1,2,1
030502020207,1486,165,6600000.0,0,2,2,1.0545454545454545,0.9228056393054198,174.0,3,2,1,1
030502020203,1495,7,280000.0,0,2,2,0.2857142857142857,0.6998542122237652,2.0,2,0,2,0
030502060405,1501,20,800000.0,0,2,2,1.7,0.7141428428542851,34.0,2,2,0,2
030502020206,1530,58,2320000.0,0,1,1,0.1724137931034483,0.37773969483114905,10.0,2,0,1,0
030502020204,1542,19,760000.0,0,1,1,0.47368421052631576,0.49930699897395464,9.0,2,0,1,0
030502020205,1553,13,520000.0,0,2,2,1.5384615384615385,0.634323942402717,20.0,3,2,0,2
030502010708,1596,47,1880000.0,0,1,1,0.6595744680851063,0.4738522861982998,31.0,2,1,0,1
030502090207,1651,104,4160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
030502090204,1659,20,800000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
030502010707,1692,34,1360000.0,0,1,1,0.8235294117647058,0.3812200410828153,28.0,2,1,0,1
030502090206,1725,68,2720000.0,2,2,0,2.0,0.0,136.0,1,2,2,2
