Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,72,2879999.9999999986,5,5,0,5.0,0.0,360.0,1,5,5,5
2,564,22559999.99999999,4,5,1,4.6453900709219855,0.47839494905078134,2620.0,2,5,4,5
3,576,23039999.99999999,4,5,1,4.074652777777778,0.262830250442831,2347.0,2,4,5,4
4,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
5,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
6,577,23079999.99999999,3,4,1,3.6776429809358753,0.4673788306333699,2122.0,2,4,3,4
7,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
8,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
9,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
10,575,22999999.99999999,3,3,0,3.0,0.0,1725.0,1,3,3,3
11,576,23039999.99999999,3,4,1,3.095486111111111,0.2938852049627325,1783.0,2,3,4,3
12,575,22999999.99999999,3,4,1,3.0034782608695654,0.05887412479934244,1727.0,2,3,4,3
13,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
14,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
15,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
16,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
17,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
18,67,2679999.9999999986,5,5,0,5.0,0.0,335.0,1,5,5,5
19,517,20679999.99999999,5,5,0,5.0,0.0,2585.0,1,5,5,5
20,577,23079999.99999999,4,5,1,4.69844020797227,0.4589351630240634,2711.0,2,5,4,5
21,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
22,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
23,577,23079999.99999999,3,4,1,3.580589254766031,0.493462634873458,2066.0,2,4,3,4
24,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
25,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
26,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
27,579,23159999.99999999,3,3,0,3.0,0.0,1737.0,1,3,3,3
28,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
29,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
30,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
