HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,590,23599999.999999993,0,4,4,2.857627118644068,0.6535958917963405,1686.0,3,3,4,3
031101010503,2,15,599999.9999999998,0,3,3,1.0,1.4142135623730951,15.0,2,0,3,0
031102050804,3,902,36079999.999999985,0,5,5,2.289356984478936,1.4342491979071617,2065.0,4,3,5,3
031102050805,4,2704,108159999.99999996,0,5,5,4.323594674556213,1.1978553721196978,11691.0,4,5,0,5
031101020903,5,3349,133959999.99999996,0,5,5,0.947745595700209,1.4033887536258032,3174.0,4,0,5,0
031102050803,6,2281,91239999.99999997,0,5,5,4.638754932047347,0.865920118665766,10581.0,4,5,0,5
031102050802,7,392,15679999.999999994,0,5,5,2.193877551020408,1.5805460388500598,860.0,4,3,5,3
031102050704,8,2446,97839999.99999997,0,5,5,4.370809484873263,1.5188480321395683,10691.0,4,5,4,5
031101020906,9,4235,169399999.99999994,0,5,5,1.317827626918536,1.5452409336076784,5581.0,5,0,5,0
031300110704,10,4574,182959999.99999994,0,5,5,3.423480542195015,1.5056168114418846,15659.0,5,4,1,4
031101020905,11,4547,181879999.99999994,0,5,5,1.25819221464702,1.6049792176170736,5721.0,5,0,5,0
031102050703,12,662,26479999.99999999,0,5,5,1.7265861027190332,1.5130410368335068,1143.0,3,3,5,3
031300110706,13,5157,206279999.9999999,0,5,5,2.4471592010859027,1.9788904819904052,12620.0,4,0,5,3
031101020904,14,2195,87799999.99999997,0,5,5,1.1175398633257403,1.4983171600806808,2453.0,4,0,5,0
031102050702,15,1379,55159999.99999998,0,4,4,0.01885424220449601,0.22771970752245826,26.0,4,0,4,0
031101020804,16,1240,49599999.999999985,0,3,3,0.25483870967741934,0.7521318988982388,316.0,3,0,3,0
031101010201,17,14,559999.9999999998,2,3,1,2.0714285714285716,0.2575393768188557,29.0,2,2,3,2
031300110703,18,1920,76799999.99999997,0,4,4,3.771354166666667,0.6991901860242591,7241.0,3,4,0,4
031300110705,19,2892,115679999.99999996,0,5,5,3.233402489626556,1.0271981321021169,9351.0,6,3,2,3
