HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,6300,252000000.0,8,22,14,15.569682539682539,3.2846059744138953,98089.0,7,17,20,17
031101010503,2,5458,218320000.0,8,22,14,11.135580798827409,3.570615957510077,60778.0,6,8,22,10
031102050804,3,2331,93240000.0,8,12,4,9.026169026169025,1.7390219110038243,21040.0,3,8,10,8
031102050805,4,4439,177560000.0,8,22,14,13.43568371254787,3.8029105090313307,59641.0,6,17,10,12
031101020903,5,4933,197320000.0,8,22,14,12.718224204338131,3.9756080649275876,62739.0,6,8,10,12
031102050803,6,2921,116840000.0,8,12,4,8.968846285518659,1.6801971049644864,26198.0,3,8,10,8
031102050802,7,2986,119440000.0,8,12,4,8.116543871399866,0.5668454006364142,24236.0,3,8,12,8
031102050704,8,3374,134960000.0,8,12,4,8.362181387077653,1.1180226353773395,28214.0,3,8,10,8
031101020906,9,4807,192280000.0,8,20,12,10.97753276471812,3.5294114335560702,52769.0,6,8,20,8
031300110704,10,12861,514440000.0,8,22,14,16.158308063136616,5.655917333652799,207812.0,9,22,14,17
031101020905,11,9344,373760000.0,8,22,14,14.112371575342467,4.490262603177391,131866.0,7,17,20,16
031102050703,12,1623,64920000.0,8,12,4,8.064078866296981,0.4972727828070894,13088.0,3,8,10,8
031300110706,13,6407,256280000.0,8,22,14,14.909942250663336,4.776853507615528,95528.0,8,17,20,17
031101020904,14,2730,109200000.0,8,22,14,10.86996336996337,3.615333492555632,29675.0,6,8,22,8
031102050702,15,1955,78200000.0,8,12,4,8.02762148337596,0.30887009651398406,15694.0,3,8,10,8
031101020804,16,1240,49600000.0,8,12,4,8.846774193548388,1.6290921419845943,10970.0,3,8,10,8
031101010201,17,3866,154640000.0,8,12,4,8.550439730988101,1.2454432466455192,33056.0,3,8,10,8
031300110703,18,2120,84800000.0,8,20,12,9.287735849056604,2.7074740309627123,19690.0,6,8,20,8
031300110705,19,2892,115680000.0,8,20,12,10.437759336099585,2.1611908153017203,30186.0,7,12,20,12
031300110804,20,12146,485840000.0,8,22,14,16.18582249300181,4.191524606948127,196593.0,8,17,10,17
031300130504,21,4003,160120000.0,8,22,14,12.190357232075943,4.442795642661014,48798.0,8,8,18,12
031101020902,22,4078,163120000.0,8,12,4,8.707699852869053,1.4975522143741196,35510.0,3,8,10,8
031102050701,23,4320,172800000.0,8,12,4,8.302314814814816,1.0029097541482466,35866.0,3,8,10,8
031101020805,24,2203,88120000.0,8,17,9,10.480708125283703,3.2409607593059713,23089.0,5,8,10,8
031300110702,25,1579,63160000.0,8,12,4,9.070297656744776,1.7643282894406045,14322.0,3,8,10,8
031101020901,26,3353,134120000.0,8,12,4,8.84640620339994,1.615048084290167,29662.0,3,8,10,8
031101020506,27,3309,132360000.0,8,22,14,13.918404351767906,4.652375340137929,46056.0,6,17,10,16
031300130305,28,5676,227040000.0,8,22,14,14.403629316420014,5.46357476991019,81755.0,7,8,18,17
031102050604,29,3729,149160000.0,8,12,4,8.407615982837221,1.1850077713238865,31352.0,3,8,10,8
031401010704,30,9443,377720000.0,8,22,14,14.143916128349042,5.8548344930286085,133561.0,8,8,20,17
031300130402,31,1316,52640000.0,8,17,9,9.986322188449847,2.738578630872448,13142.0,5,8,10,8
031300130503,32,7433,297320000.0,8,22,14,16.239069016547827,5.296536546544982,120705.0,7,17,10,17
031300130502,33,1857,74280000.0,8,12,4,8.334948842218632,1.1031022539799333,15478.0,3,8,10,8
031101020802,34,1998,79920000.0,8,12,4,8.396396396396396,1.1867752367190327,16776.0,3,8,10,8
031101020803,35,3017,120680000.0,8,12,4,9.061982101425256,1.7520677066262085,27340.0,3,8,10,8
031102050603,36,4341,173640000.0,8,12,4,8.480995162404977,1.285332894555667,36816.0,3,8,10,8
031300110701,37,2755,110200000.0,8,12,4,8.2497277676951,0.9677536426293687,22728.0,2,8,12,8
031300130403,38,9125,365000000.0,8,22,14,17.32032876712329,3.9514960442600167,158048.0,8,17,20,17
031300130304,39,2684,107360000.0,8,17,9,8.522354694485841,1.5313001983414984,22874.0,5,8,10,8
031101020605,40,2918,116720000.0,8,12,4,8.64770390678547,1.469339327386499,25234.0,3,8,10,8
