HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,1643,65720000.0,0,4,4,1.83323189287888,1.6502283245717841,3012.0,5,0,3,2
031101010503,2,407,16280000.0,0,4,4,1.800982800982801,1.7628988348500023,733.0,5,0,2,1
031102050805,4,555,22200000.0,0,4,4,3.073873873873874,1.2331539956084123,1706.0,5,4,0,4
031101020903,5,771,30840000.0,0,4,4,2.4863813229571985,1.5450884501946283,1917.0,5,4,2,3
031101020906,9,635,25400000.0,0,4,4,1.5700787401574803,1.4567959103830053,997.0,5,1,2,1
031300110704,10,484,19360000.0,0,4,4,1.4132231404958677,1.1403161913802775,684.0,5,0,4,1
031101020905,11,1005,40200000.0,0,4,4,2.0766169154228855,1.398328959194448,2087.0,5,3,0,2
031300110706,13,448,17920000.0,0,4,4,0.6071428571428571,0.7688946479146781,272.0,5,0,4,0
031101020904,14,171,6840000.0,0,4,4,2.409356725146199,1.5011594529418009,412.0,5,4,2,3
031300110703,18,9,360000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110705,19,4,160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110804,20,972,38880000.0,0,4,4,2.204732510288066,1.4894202446169345,2143.0,5,4,1,2
031300130504,21,467,18680000.0,0,4,4,1.0556745182012848,1.178458019216287,493.0,5,0,4,1
031101020805,24,163,6520000.0,0,4,4,2.9447852760736195,1.3441604387802741,480.0,5,4,1,4
031101020506,27,358,14320000.0,0,4,4,1.7597765363128492,1.5035718944181193,630.0,5,0,3,2
031300130305,28,168,6720000.0,0,4,4,2.6845238095238093,1.108086515405536,451.0,5,4,0,3
031401010704,30,119,4760000.0,0,2,2,0.3949579831932773,0.6763531397599625,47.0,3,0,2,0
031300130402,31,94,3760000.0,0,4,4,2.978723404255319,1.487384706093325,280.0,5,4,2,4
031300130503,32,133,5320000.0,0,4,4,1.9323308270676691,1.4045869471332884,257.0,5,0,1,2
031300130403,38,162,6480000.0,0,4,4,1.2901234567901234,0.9407253490202574,209.0,5,1,4,1
031300130304,39,8,320000.0,0,1,1,0.75,0.4330127018922193,6.0,2,1,0,1
031101020505,43,384,15360000.0,0,4,4,1.8125,1.3331705629813464,696.0,5,2,4,2
031200031204,49,403,16120000.0,0,4,4,1.9851116625310175,1.329107865095988,800.0,5,1,0,2
031101020503,50,370,14800000.0,0,4,4,1.6486486486486487,1.1464685192980297,610.0,5,1,4,2
031401010703,55,185,7400000.0,0,4,4,2.1621621621621623,1.2239394419199083,400.0,5,2,0,2
031101020504,64,110,4400000.0,0,4,4,1.8454545454545455,1.019682335884908,203.0,5,1,4,2
031101020501,73,500,20000000.0,0,4,4,2.038,1.6960412730827044,1019.0,5,0,2,2
031200010903,77,813,32520000.0,0,4,4,2.997539975399754,1.3028472368043416,2437.0,5,4,0,4
031101020403,78,75,3000000.0,0,4,4,2.2266666666666666,1.5368654968980064,167.0,5,4,1,2
031200031101,81,186,7440000.0,0,4,4,2.967741935483871,1.0416241753386952,552.0,5,4,0,3
031200031102,83,36,1440000.0,0,4,4,2.2222222222222223,1.3966450099973928,80.0,5,4,0,2
031200010902,93,732,29280000.0,0,4,4,1.7486338797814207,1.5844827438030171,1280.0,5,0,3,1
031101020502,96,47,1880000.0,0,4,4,2.0638297872340425,1.478991250807044,97.0,5,4,2,2
031200010901,105,30,1200000.0,0,4,4,2.966666666666667,1.1100550536897804,89.0,5,4,0,3
031200011102,109,802,32080000.0,0,4,4,1.874064837905237,1.6236563785777751,1503.0,5,0,2,2
