HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,1643,65720000.0,0,3,3,2.209373097991479,1.3216617599998766,3630.0,2,3,0,3
031101010503,2,407,16280000.0,0,3,3,2.4692874692874693,1.1447627710064185,1005.0,2,3,0,3
031102050805,4,555,22200000.0,0,3,3,1.7153153153153153,1.1366299324225781,952.0,3,1,0,1
031101020903,5,771,30840000.0,0,3,3,2.867704280155642,0.6159423690930317,2211.0,2,3,0,3
031101020906,9,635,25400000.0,0,3,3,2.9338582677165355,0.44051159814576446,1863.0,2,3,0,3
031300110704,10,484,19360000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020905,11,1005,40200000.0,0,3,3,2.8029850746268656,0.7431217230707371,2817.0,2,3,0,3
031300110706,13,448,17920000.0,0,1,1,0.7879464285714286,0.4087625891308538,353.0,2,1,0,1
031101020904,14,171,6840000.0,3,3,0,3.0,0.0,513.0,1,3,3,3
031300110703,18,9,360000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110705,19,4,160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110804,20,972,38880000.0,0,2,2,1.4300411522633745,0.9028092862614945,1390.0,2,2,0,2
031300130504,21,467,18680000.0,0,2,2,0.7109207708779444,0.9573051756311558,332.0,2,0,2,0
031101020805,24,163,6520000.0,0,3,3,2.8098159509202456,0.5814319876907224,458.0,3,3,0,3
031101020506,27,358,14320000.0,0,2,2,1.9776536312849162,0.210222209186891,708.0,2,2,0,2
031300130305,28,168,6720000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031401010704,30,119,4760000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130402,31,94,3760000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130503,32,133,5320000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130403,38,162,6480000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130304,39,8,320000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020505,43,384,15360000.0,0,2,2,1.7213541666666667,0.5429109806398332,661.0,3,2,0,2
031200031204,49,403,16120000.0,0,1,1,0.5533498759305211,0.49714564338652106,223.0,2,1,0,1
