HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,763,30520000.0,0,1,1,0.00655307994757536,0.08068542055895876,5.0,2,0,1,0
031101010503,2,1346,53840000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050804,3,590,23600000.0,0,1,1,0.31864406779661014,0.46595066890674114,188.0,2,0,1,0
031102050805,4,1247,49880000.0,0,1,1,0.8331996792301524,0.3727974969885442,1039.0,2,1,0,1
031101020903,5,956,38240000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050803,6,666,26640000.0,0,1,1,0.6816816816816816,0.4658237505122685,454.0,2,1,0,1
031102050802,7,38,1520000.0,0,1,1,0.10526315789473684,0.30689220499185793,4.0,2,0,1,0
031102050704,8,277,11080000.0,0,1,1,0.9927797833935018,0.08466454440114493,275.0,2,1,0,1
031101020906,9,1054,42160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110704,10,1127,45080000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020905,11,1105,44200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050703,12,25,1000000.0,1,1,0,1.0,0.0,25.0,1,1,1,1
031300110706,13,1260,50400000.0,0,1,1,0.7547619047619047,0.43022827880334197,951.0,2,1,0,1
031101020904,14,572,22880000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050702,15,10,400000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020804,16,260,10400000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101010201,17,364,14560000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110703,18,264,10560000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110705,19,1517,60680000.0,0,1,1,0.6334871456822676,0.4818518257074482,961.0,2,1,0,1
031300110804,20,1593,63720000.0,0,1,1,0.9478970495919649,0.22223463493977016,1510.0,2,1,0,1
031300130504,21,323,12920000.0,0,1,1,0.8947368421052632,0.306892204991858,289.0,2,1,0,1
031101020902,22,677,27080000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050701,23,266,10640000.0,0,1,1,0.9285714285714286,0.25753937681885636,247.0,2,1,0,1
031101020805,24,534,21360000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110702,25,418,16720000.0,0,1,1,0.6028708133971292,0.4893031736572051,252.0,2,1,0,1
031101020901,26,684,27360000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020506,27,563,22520000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130305,28,564,22560000.0,0,1,1,0.6968085106382979,0.45963725930382865,393.0,2,1,0,1
031102050604,29,352,14080000.0,0,1,1,0.26420454545454547,0.44090872481240656,93.0,2,0,1,0
031401010704,30,543,21720000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130402,31,366,14640000.0,0,1,1,0.7295081967213115,0.444213898519319,267.0,2,1,0,1
031300130503,32,311,12440000.0,0,1,1,0.864951768488746,0.34177508200121426,269.0,2,1,0,1
031300130502,33,153,6120000.0,1,1,0,1.0,0.0,153.0,1,1,1,1
031101020802,34,193,7720000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020803,35,782,31280000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050603,36,500,20000000.0,0,1,1,0.728,0.44498988752554813,364.0,2,1,0,1
031300110701,37,172,6880000.0,0,1,1,0.040697674418604654,0.1975889007903073,7.0,2,0,1,0
031300130403,38,110,4400000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130304,39,275,11000000.0,1,1,0,1.0,0.0,275.0,1,1,1,1
031101020605,40,468,18720000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110803,41,2865,114600000.0,1,1,0,1.0,0.0,2865.0,1,1,1,1
031102050602,42,377,15080000.0,0,1,1,0.007957559681697613,0.08884951843206486,3.0,2,0,1,0
031101020505,43,1039,41560000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031401010702,44,179,7160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200031203,45,531,21240000.0,0,1,1,0.768361581920904,0.42187920231851905,408.0,2,1,0,1
031300130501,46,374,14960000.0,1,1,0,1.0,0.0,374.0,1,1,1,1
031300130401,47,374,14960000.0,1,1,0,1.0,0.0,374.0,1,1,1,1
031300110802,48,618,24720000.0,1,1,0,1.0,0.0,618.0,1,1,1,1
031200031204,49,375,15000000.0,0,1,1,0.68,0.466476151587624,255.0,2,1,0,1
031101020503,50,305,12200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102060701,51,29,1160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130303,52,161,6440000.0,1,1,0,1.0,0.0,161.0,1,1,1,1
031102050601,53,1019,40760000.0,0,1,1,0.4465161923454367,0.4971312526071658,455.0,2,0,1,0
031300130302,54,604,24160000.0,1,1,0,1.0,0.0,604.0,1,1,1,1
031401010703,55,381,15240000.0,0,1,1,0.03937007874015748,0.19447384307446408,15.0,2,0,1,0
031102060703,56,166,6640000.0,0,1,1,0.05421686746987952,0.22644513408689762,9.0,2,0,1,0
031300130203,57,954,38160000.0,1,1,0,1.0,0.0,954.0,1,1,1,1
031300120606,58,1592,63680000.0,0,1,1,0.9591708542713567,0.19789423080957272,1527.0,2,1,0,1
030801021101,59,143,5720000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200031202,60,1446,57840000.0,1,1,0,1.0,0.0,1446.0,1,1,1,1
031102050504,61,422,16880000.0,0,1,1,0.8791469194312796,0.3259564594938575,371.0,2,1,0,1
031102050503,62,469,18760000.0,0,1,1,0.01279317697228145,0.11238109981325747,6.0,2,0,1,0
031101020703,63,622,24880000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020504,64,385,15400000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110605,65,1353,54120000.0,1,1,0,1.0,0.0,1353.0,1,1,1,1
031101020801,66,1647,65880000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050501,67,442,17680000.0,0,1,1,0.16289592760180996,0.3692706925448537,72.0,2,0,1,0
031102060302,68,533,21320000.0,0,1,1,0.009380863039399626,0.09639949402375332,5.0,2,0,1,0
031300110801,69,1112,44480000.0,1,1,0,1.0,0.0,1112.0,1,1,1,1
031102060505,70,143,5720000.0,0,1,1,0.916083916083916,0.27726192449788833,131.0,2,1,0,1
031102060504,71,320,12800000.0,0,1,1,0.96875,0.17399263633843817,310.0,2,1,0,1
031200031201,72,408,16320000.0,1,1,0,1.0,0.0,408.0,1,1,1,1
