HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,763,30520000.0,0,2,2,0.8925294888597641,0.9308935504182821,681.0,3,0,1,1
031101010503,2,1346,53840000.0,0,2,2,0.1352154531946508,0.46207650987647464,182.0,3,0,1,0
031102050804,3,590,23600000.0,0,2,2,1.6033898305084746,0.6928120300984416,946.0,3,2,0,2
031102050805,4,1247,49880000.0,0,2,2,1.446672012830794,0.7198657145853545,1804.0,3,2,0,2
031101020903,5,956,38240000.0,0,2,2,1.707112970711297,0.5154431328681003,1632.0,3,2,0,2
031102050803,6,666,26640000.0,0,2,2,1.575075075075075,0.6135925889664934,1049.0,3,2,0,2
031102050802,7,38,1520000.0,0,1,1,0.2894736842105263,0.45351810367405493,11.0,2,0,1,0
031102050704,8,277,11080000.0,0,2,2,1.592057761732852,0.6270166801937564,441.0,3,2,0,2
031101020906,9,1054,42160000.0,0,2,2,1.4041745730550284,0.7009221574843543,1480.0,3,2,0,2
031300110704,10,1127,45080000.0,0,3,3,1.0922803904170364,0.8888557988956202,1231.0,4,1,3,1
031101020905,11,1105,44200000.0,0,2,2,1.3601809954751132,0.7335822746399869,1503.0,3,2,0,2
031102050703,12,25,1000000.0,0,2,2,1.84,0.463033476111609,46.0,3,2,0,2
031300110706,13,1260,50400000.0,0,3,3,1.6436507936507936,0.815036860764059,2071.0,4,2,3,2
031101020904,14,572,22880000.0,0,2,2,1.5541958041958042,0.6163845777391764,889.0,3,2,0,2
031102050702,15,10,400000.0,0,1,1,0.9,0.30000000000000004,9.0,2,1,0,1
031101020804,16,260,10400000.0,0,2,2,1.65,0.5586728780023109,429.0,3,2,0,2
031101010201,17,364,14560000.0,0,2,2,0.14560439560439561,0.49526041277715216,53.0,3,0,1,0
031300110703,18,264,10560000.0,0,3,3,1.8446969696969697,0.7702630792157563,487.0,4,2,0,2
031300110705,19,1517,60680000.0,0,3,3,1.961766644693474,0.7752697301651623,2976.0,4,2,0,2
031300110804,20,1593,63720000.0,0,3,3,1.9328311362209667,0.6805581566846682,3079.0,4,2,0,2
031300130504,21,323,12920000.0,0,3,3,0.9164086687306502,0.5529068527235218,296.0,4,1,3,1
031101020902,22,677,27080000.0,0,2,2,1.7149187592319055,0.5434983248786286,1161.0,3,2,0,2
031102050701,23,266,10640000.0,0,2,2,1.2932330827067668,0.6286631583965164,344.0,3,1,0,1
031101020805,24,534,21360000.0,0,2,2,1.4419475655430711,0.7133037217748263,770.0,3,2,0,2
031300110702,25,418,16720000.0,0,3,3,1.9736842105263157,0.5843053502940665,825.0,4,2,0,2
031101020901,26,684,27360000.0,0,2,2,1.6871345029239766,0.5811950579274189,1154.0,3,2,0,2
031101020506,27,563,22520000.0,0,2,2,1.1278863232682061,0.7848387789379724,635.0,3,2,0,1
031300130305,28,564,22560000.0,0,3,3,0.9113475177304965,0.7804883176468435,514.0,4,1,3,1
031102050604,29,352,14080000.0,0,2,2,1.4914772727272727,0.6656644660049483,525.0,3,2,0,2
031401010704,30,543,21720000.0,0,2,2,1.0865561694290975,0.5130558074692854,590.0,3,1,0,1
031300130402,31,366,14640000.0,0,3,3,1.5191256830601092,1.0234492737296548,556.0,4,1,0,1
031300130503,32,311,12440000.0,0,2,2,0.7652733118971061,0.5254456132685658,238.0,3,1,2,1
031300130502,33,153,6120000.0,0,2,2,1.1699346405228759,0.533711259152774,179.0,3,1,0,1
031101020802,34,193,7720000.0,0,2,2,1.4818652849740932,0.529867167328269,286.0,3,2,0,1
031101020803,35,782,31280000.0,0,2,2,1.5856777493606138,0.567400397191023,1240.0,3,2,0,2
031102050603,36,500,20000000.0,0,2,2,1.276,0.7013016469394607,638.0,3,1,0,1
031300110701,37,172,6880000.0,0,2,2,1.6686046511627908,0.5177683840417936,287.0,3,2,0,2
031300130403,38,110,4400000.0,0,1,1,0.6181818181818182,0.48583233512317775,68.0,2,1,0,1
031300130304,39,275,11000000.0,0,3,3,1.3490909090909091,1.0027004859193047,371.0,4,1,3,1
031101020605,40,468,18720000.0,0,2,2,1.6346153846153846,0.6738701065094623,765.0,3,2,0,2
031300110803,41,2865,114600000.0,0,3,3,2.3225130890052355,0.6899927676883185,6654.0,4,2,0,2
031102050602,42,377,15080000.0,0,2,2,1.3580901856763925,0.6321573204576441,512.0,3,1,0,1
031101020505,43,1039,41560000.0,0,2,2,1.7064485081809433,0.6122480979087366,1773.0,3,2,0,2
031401010702,44,179,7160000.0,0,2,2,1.2681564245810055,0.4908577125472357,227.0,3,1,0,1
031200031203,45,531,21240000.0,0,3,3,1.5574387947269304,0.8037085847443511,827.0,4,2,3,2
031300130501,46,374,14960000.0,0,2,2,1.1871657754010696,0.5194052432764953,444.0,3,1,0,1
031300130401,47,374,14960000.0,0,3,3,1.7513368983957218,0.8681443908077245,655.0,4,1,0,2
031300110802,48,618,24720000.0,0,2,2,1.3851132686084142,0.5280835505496844,856.0,3,1,0,1
031200031204,49,375,15000000.0,0,3,3,1.008,0.7915823814781798,378.0,4,1,3,1
031101020503,50,305,12200000.0,0,2,2,1.1344262295081968,0.6045958536057443,346.0,3,1,0,1
031102060701,51,29,1160000.0,0,2,2,1.4827586206896552,0.6757213083539801,43.0,3,2,0,2
031300130303,52,161,6440000.0,0,2,2,1.2173913043478262,0.4946377327221004,196.0,3,1,0,1
031102050601,53,1019,40760000.0,0,3,3,1.6967615309126596,0.7895908389078206,1729.0,4,2,0,2
031300130302,54,604,24160000.0,0,2,2,1.2549668874172186,0.5589949284469266,758.0,3,1,0,1
031401010703,55,381,15240000.0,0,2,2,1.2572178477690288,0.5244485941161762,479.0,3,1,0,1
031102060703,56,166,6640000.0,0,2,2,0.7771084337349398,0.4304173657324398,129.0,3,1,2,1
031300130203,57,954,38160000.0,0,2,2,1.29979035639413,0.4912867182081291,1240.0,3,1,0,1
031300120606,58,1592,63680000.0,0,3,3,2.1639447236180906,0.7009552111225064,3445.0,4,2,0,2
030801021101,59,143,5720000.0,0,1,1,0.17482517482517482,0.37981749969231526,25.0,2,0,1,0
031200031202,60,1446,57840000.0,0,3,3,1.6825726141078838,0.8969368611951576,2433.0,4,2,0,2
031102050504,61,422,16880000.0,0,2,2,1.1398104265402844,0.761563596150272,481.0,3,1,0,1
031102050503,62,469,18760000.0,0,3,3,1.4477611940298507,0.5803648386633906,679.0,4,1,0,1
031101020703,63,622,24880000.0,0,2,2,1.5192926045016077,0.7450463296692809,945.0,3,2,0,2
031101020504,64,385,15400000.0,0,2,2,1.3298701298701299,0.7714154531220953,512.0,3,2,0,2
031300110605,65,1353,54120000.0,0,3,3,2.2394678492239466,0.635493893309902,3030.0,4,2,0,2
031101020801,66,1647,65880000.0,0,3,3,1.7328476017000607,0.6857261604908761,2854.0,4,2,0,2
031102050501,67,442,17680000.0,0,3,3,1.6470588235294117,0.8808433542005866,728.0,4,1,0,1
031102060302,68,533,21320000.0,0,1,1,0.005628517823639775,0.07481201514963184,3.0,2,0,1,0
031300110801,69,1112,44480000.0,0,2,2,1.474820143884892,0.5290949956429071,1640.0,3,1,0,1
031102060505,70,143,5720000.0,0,2,2,1.3216783216783217,0.7154772342617434,189.0,3,2,0,1
031102060504,71,320,12800000.0,0,2,2,0.996875,0.7267153737021118,319.0,3,1,2,1
031200031201,72,408,16320000.0,0,3,3,1.6691176470588236,0.9979524163881041,681.0,4,2,0,2
031101020501,73,872,34880000.0,0,2,2,1.7178899082568808,0.6006503713590402,1498.0,3,2,0,2
031200030903,74,1013,40520000.0,0,3,3,1.7788746298124383,1.0703155779510662,1802.0,4,3,0,2
031300130202,75,1398,55920000.0,0,2,2,1.167381974248927,0.39564204897824923,1632.0,3,1,0,1
031300130301,76,990,39600000.0,0,2,2,1.4828282828282828,0.5956136643663237,1468.0,3,2,0,2
031200010903,77,379,15160000.0,0,2,2,0.9076517150395779,0.6963300138556913,344.0,3,1,2,1
031101020403,78,541,21640000.0,0,2,2,1.731977818853974,0.5959456111188997,937.0,3,2,0,2
031300110604,79,1632,65280000.0,0,3,3,1.7910539215686274,0.8305404377037231,2923.0,4,2,0,2
031102050502,80,479,19160000.0,0,2,2,1.0897703549060542,0.6825285708137926,522.0,3,1,0,1
031200031101,81,735,29400000.0,0,3,3,1.3537414965986394,0.735889679402301,995.0,4,2,3,1
031300130201,82,496,19840000.0,0,2,2,0.9798387096774194,0.7375285493336553,486.0,3,1,2,1
031200031102,83,888,35520000.0,0,2,2,1.239864864864865,0.6990250480308493,1101.0,3,1,0,1
031300120605,84,218,8720000.0,0,3,3,1.8944954128440368,0.8365870883542108,413.0,4,2,0,2
031101020701,85,364,14560000.0,0,2,2,0.8681318681318682,0.8181833429071969,316.0,3,0,2,1
031102060506,86,175,7000000.0,0,2,2,1.6,0.6324555320336759,280.0,3,2,0,2
031102060704,87,466,18640000.0,0,2,2,1.4742489270386265,0.6842667626101768,687.0,3,2,0,2
030801030601,88,259,10360000.0,0,1,1,0.05405405405405406,0.2261243314956961,14.0,2,0,1,0
031101020602,89,546,21840000.0,0,2,2,1.4725274725274726,0.6575678241705977,804.0,3,2,0,2
031101020604,90,1385,55400000.0,0,2,2,1.6707581227436823,0.5935061968971519,2314.0,3,2,0,2
031101020603,91,989,39560000.0,0,2,2,1.5369059656218402,0.705247507453422,1520.0,3,2,0,2
031102060503,92,360,14400000.0,0,2,2,0.7972222222222223,0.6416065387893767,287.0,3,1,2,1
031200010902,93,421,16840000.0,0,2,2,1.0190023752969122,0.7856310246437057,429.0,3,1,0,1
031300120604,94,210,8400000.0,0,2,2,1.180952380952381,0.5215535836225932,248.0,3,1,0,1
031102060101,95,1353,54120000.0,0,3,3,1.2150776053215078,0.9156649435670429,1644.0,4,1,3,1
031101020502,96,1028,41120000.0,0,2,2,1.4503891050583657,0.7169907419790266,1491.0,3,2,0,2
