HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,763,30520000.0,0,1,1,0.8322411533420708,0.37365199855738834,635.0,2,1,0,1
031101010503,2,1346,53840000.0,0,1,1,0.7013372956909361,0.45767159990965206,944.0,2,1,0,1
031102050804,3,590,23600000.0,0,1,1,0.8491525423728814,0.35790012874341526,501.0,2,1,0,1
031102050805,4,1247,49880000.0,0,1,1,0.7770649558941459,0.41621510089781105,969.0,2,1,0,1
031101020903,5,956,38240000.0,0,1,1,0.8692468619246861,0.33713017509379334,831.0,2,1,0,1
031102050803,6,666,26640000.0,0,1,1,0.7402402402402403,0.4385027103329142,493.0,2,1,0,1
031102050802,7,38,1520000.0,0,1,1,0.21052631578947367,0.40768245749551757,8.0,2,0,1,0
031102050704,8,277,11080000.0,0,1,1,0.5776173285198556,0.49393881231731607,160.0,2,1,0,1
031101020906,9,1054,42160000.0,0,1,1,0.8975332068311196,0.3032611901753442,946.0,2,1,0,1
031300110704,10,1127,45080000.0,0,1,1,0.7559893522626442,0.42949907046250035,852.0,2,1,0,1
031101020905,11,1105,44200000.0,0,1,1,0.8823529411764706,0.3221897397089213,975.0,2,1,0,1
031102050703,12,25,1000000.0,0,1,1,0.4,0.4898979485566356,10.0,2,0,1,0
031300110706,13,1260,50400000.0,0,1,1,0.803968253968254,0.39699282182363327,1013.0,2,1,0,1
031101020904,14,572,22880000.0,0,1,1,0.8496503496503497,0.3574138119734437,486.0,2,1,0,1
031102050702,15,10,400000.0,0,1,1,0.2,0.4,2.0,2,0,1,0
031101020804,16,260,10400000.0,0,1,1,0.8884615384615384,0.3147977654560062,231.0,2,1,0,1
031101010201,17,364,14560000.0,0,1,1,0.5274725274725275,0.49924468974068337,192.0,2,1,0,1
031300110703,18,264,10560000.0,0,1,1,0.7462121212121212,0.43517765495051297,197.0,2,1,0,1
031300110705,19,1517,60680000.0,0,1,1,0.8820039551746869,0.3226034380332854,1338.0,2,1,0,1
031300110804,20,1593,63720000.0,0,1,1,0.8462021343377275,0.36075487824837815,1348.0,2,1,0,1
031300130504,21,323,12920000.0,0,1,1,0.6594427244582043,0.4738966317851871,213.0,2,1,0,1
031101020902,22,677,27080000.0,0,1,1,0.8744460856720827,0.3313459354283002,592.0,2,1,0,1
031102050701,23,266,10640000.0,0,1,1,0.424812030075188,0.49431444362731863,113.0,2,0,1,0
031101020805,24,534,21360000.0,0,1,1,0.8014981273408239,0.3988720085565999,428.0,2,1,0,1
031300110702,25,418,16720000.0,0,1,1,0.9186602870813397,0.27335611209733385,384.0,2,1,0,1
031101020901,26,684,27360000.0,0,1,1,0.847953216374269,0.3590662323510819,580.0,2,1,0,1
031101020506,27,563,22520000.0,0,1,1,0.6767317939609236,0.4677241419932839,381.0,2,1,0,1
031300130305,28,564,22560000.0,0,1,1,0.7801418439716312,0.41415039207535975,440.0,2,1,0,1
031102050604,29,352,14080000.0,0,1,1,0.5909090909090909,0.49166608301781667,208.0,2,1,0,1
031401010704,30,543,21720000.0,0,1,1,0.7016574585635359,0.457530621276539,381.0,2,1,0,1
031300130402,31,366,14640000.0,0,1,1,0.7923497267759563,0.40562499584471334,290.0,2,1,0,1
031300130503,32,311,12440000.0,0,1,1,0.6945337620578779,0.4606046194075879,216.0,2,1,0,1
031300130502,33,153,6120000.0,0,1,1,0.9803921568627451,0.1386483884679504,150.0,2,1,0,1
031101020802,34,193,7720000.0,0,1,1,0.7772020725388601,0.4161237928551557,150.0,2,1,0,1
031101020803,35,782,31280000.0,0,1,1,0.7480818414322251,0.4341145009690373,585.0,2,1,0,1
031102050603,36,500,20000000.0,0,1,1,0.534,0.4988426605654332,267.0,2,1,0,1
031300110701,37,172,6880000.0,0,1,1,0.9476744186046512,0.2226827674675064,163.0,2,1,0,1
031300130403,38,110,4400000.0,0,1,1,0.44545454545454544,0.4970158884667871,49.0,2,0,1,0
031300130304,39,275,11000000.0,0,1,1,0.9309090909090909,0.25360866580600283,256.0,2,1,0,1
031101020605,40,468,18720000.0,0,1,1,0.9145299145299145,0.27957995271446373,428.0,2,1,0,1
031300110803,41,2865,114600000.0,0,1,1,0.8799301919720768,0.32504314979408644,2521.0,2,1,0,1
031102050602,42,377,15080000.0,0,1,1,0.649867374005305,0.47701128939340004,245.0,2,1,0,1
031101020505,43,1039,41560000.0,0,1,1,0.9095283926852743,0.28685622807360445,945.0,2,1,0,1
031401010702,44,179,7160000.0,0,1,1,0.9273743016759777,0.2595211094823895,166.0,2,1,0,1
031200031203,45,531,21240000.0,0,1,1,0.7853107344632768,0.4106066058894152,417.0,2,1,0,1
031300130501,46,374,14960000.0,0,1,1,0.8048128342245989,0.39634471876381444,301.0,2,1,0,1
031300130401,47,374,14960000.0,0,1,1,0.8262032085561497,0.37893464704045354,309.0,2,1,0,1
031300110802,48,618,24720000.0,0,1,1,0.7977346278317152,0.40168904813289347,493.0,2,1,0,1
031200031204,49,375,15000000.0,0,1,1,0.5786666666666667,0.4937727772524074,217.0,2,1,0,1
031101020503,50,305,12200000.0,0,1,1,0.580327868852459,0.49350525173053844,177.0,2,1,0,1
