HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,2760,110400000.0,0,1,1,0.9992753623188406,0.026909340040037616,2758.0,2,1,0,1
031101010503,2,4479,179160000.0,0,1,1,0.0013395847287340924,0.036575814980511843,6.0,2,0,1,0
031102050804,3,2130,85200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050805,4,2911,116440000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020903,5,3455,138200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050803,6,2559,102360000.0,0,4,4,1.993747557639703,0.12486798174581729,5102.0,3,2,4,2
031102050802,7,1700,68000000.0,0,4,4,0.00411764705882353,0.11106748470713448,7.0,4,0,1,0
031102050704,8,2106,84240000.0,2,4,2,3.9981006647673314,0.06160408258394874,8420.0,2,4,2,4
031101020906,9,4275,171000000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110704,10,4618,184720000.0,2,4,2,2.7388479861411867,0.9652976875852785,12648.0,2,2,4,2
031101020905,11,4815,192600000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050703,12,359,14360000.0,0,4,4,0.033426183844011144,0.29668026642215817,12.0,3,0,4,0
031300110706,13,2966,118640000.0,1,4,3,2.534389750505732,0.8923878740873143,7517.0,3,2,1,2
031101020904,14,2265,90600000.0,0,1,1,0.0013245033112582781,0.03636961647085028,3.0,2,0,1,0
031102050702,15,402,16080000.0,0,2,2,0.004975124378109453,0.09962678803234222,2.0,2,0,2,0
031101020804,16,1237,49480000.0,0,1,1,0.002425222312045271,0.04918679303209784,3.0,2,0,1,0
031101010201,17,993,39720000.0,1,1,0,1.0,0.0,993.0,1,1,1,1
031300110703,18,1906,76240000.0,1,4,3,2.016789087093389,0.22144089480356138,3844.0,3,2,1,2
031300110705,19,2439,97560000.0,1,4,3,1.0418204182041821,0.3410751140629221,2541.0,3,1,2,1
031300110804,20,4025,161000000.0,2,4,2,2.093167701863354,0.4211967899346341,8425.0,3,2,3,2
031300130504,21,2544,101760000.0,1,4,3,1.1627358490566038,0.6619212075022678,2958.0,4,1,2,1
031101020902,22,3820,152800000.0,0,2,2,0.0005235602094240838,0.03235500430467095,2.0,2,0,2,0
031102050701,23,3372,134880000.0,0,4,4,1.9970344009489918,0.09107624588822077,6734.0,3,2,4,2
031101020805,24,1576,63040000.0,0,1,1,0.993020304568528,0.08325250316450489,1565.0,2,1,0,1
031300110702,25,1578,63120000.0,1,2,1,1.003168567807351,0.056200782782817,1583.0,2,1,2,1
031101020901,26,3314,132560000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020506,27,1628,65120000.0,0,1,1,0.0006142506142506142,0.024776466867443128,1.0,2,0,1,0
031300130305,28,2773,110920000.0,1,3,2,2.1233321312657774,0.33640749159203287,5888.0,3,2,1,2
031102050604,29,1971,78840000.0,0,2,2,0.007102993404363267,0.11897703262993285,14.0,2,0,2,0
031401010704,30,4602,184080000.0,1,4,3,1.3083441981747066,0.9110194564201783,6021.0,2,1,4,1
031300130402,31,1211,48440000.0,1,2,1,1.999174236168456,0.028724239687733705,2421.0,2,2,1,2
031300130503,32,2043,81720000.0,0,3,3,1.083210964268233,0.4078609218932796,2213.0,4,1,2,1
031300130502,33,1857,74280000.0,0,3,3,0.009154550350026925,0.1588264254175118,17.0,3,0,1,0
031101020802,34,1984,79360000.0,0,1,1,0.003528225806451613,0.05929399150934521,7.0,2,0,1,0
031101020803,35,3008,120320000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050603,36,3198,127920000.0,0,2,2,1.9943714821763603,0.10295612932261626,6378.0,3,2,1,2
031300110701,37,2668,106720000.0,0,2,2,0.9992503748125937,0.03871289755225018,2666.0,3,1,2,1
031300130403,38,360,14400000.0,1,3,2,1.9833333333333334,0.1481365736219252,714.0,3,2,3,2
031300130304,39,2676,107040000.0,0,2,2,1.0,0.0611303588839418,2676.0,3,1,0,1
031101020605,40,2898,115920000.0,0,1,1,0.9986197377501725,0.03712623231556218,2894.0,2,1,0,1
031300110803,41,4591,183640000.0,1,4,3,3.9945545632759747,0.11886329417170742,18339.0,3,4,1,4
031102050602,42,1401,56040000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020505,43,2211,88440000.0,0,1,1,0.9968340117593849,0.0561779739673431,2204.0,2,1,0,1
031401010702,44,2006,80240000.0,0,4,4,0.013459621136590228,0.20781898115396585,27.0,4,0,1,0
031200031203,45,1955,78200000.0,1,4,3,1.008695652173913,0.14455536185469908,1972.0,3,1,4,1
031300130501,46,1686,67440000.0,0,3,3,1.9970344009489918,0.09427620259266553,3367.0,4,2,1,2
031300130401,47,1796,71840000.0,0,2,2,1.9977728285077951,0.0577563584850328,3588.0,3,2,0,2
031300110802,48,2420,96800000.0,2,4,2,3.0049586776859503,0.08610126621910337,7272.0,3,3,2,3
031200031204,49,1766,70640000.0,1,2,1,1.001132502831257,0.033633618131184706,1768.0,2,1,2,1
031101020503,50,1405,56200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102060701,51,102,4080000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130303,52,1922,76880000.0,0,2,2,0.01040582726326743,0.13646321054719626,20.0,3,0,1,0
031102050601,53,2154,86160000.0,0,1,1,0.9986072423398329,0.03729367086071324,2151.0,2,1,0,1
031300130302,54,1253,50120000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031401010703,55,3584,143360000.0,1,4,3,2.998325892857143,0.06247757489911732,10746.0,4,3,2,3
031102060703,56,1036,41440000.0,0,4,4,0.005791505791505791,0.1316851390065877,6.0,3,0,4,0
031300130203,57,1724,68960000.0,0,4,4,2.0046403712296983,0.11789648274628772,3456.0,3,2,0,2
031300120606,58,2313,92520000.0,0,4,4,3.9943795936013835,0.13936880551329014,9239.0,4,4,1,4
030801021101,59,948,37920000.0,0,3,3,1.001054852320675,0.07261645054639572,949.0,3,1,0,1
031200031202,60,2045,81800000.0,0,4,4,3.98679706601467,0.21053375035915614,8153.0,5,4,3,4
031102050504,61,1317,52680000.0,0,4,4,1.0068337129840548,0.14823306717585316,1326.0,4,1,0,1
031102050503,62,1003,40120000.0,0,2,2,0.004985044865403789,0.09459508489037224,5.0,3,0,1,0
031101020703,63,2149,85960000.0,0,1,1,0.0037226617031177293,0.06089994657601819,8.0,2,0,1,0
031101020504,64,2039,81560000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110605,65,1391,55640000.0,3,4,1,3.9985621854780735,0.037891255077213803,5562.0,2,4,3,4
031101020801,66,4125,165000000.0,0,1,1,0.00024242424242424242,0.01556809149866892,1.0,2,0,1,0
031102050501,67,1561,62440000.0,0,4,4,1.9980781550288276,0.11597077782835424,3119.0,4,2,1,2
031102060302,68,895,35800000.0,2,3,1,2.001117318435754,0.03340763438598822,1791.0,2,2,3,2
031300110801,69,1891,75640000.0,3,4,1,3.9989423585404547,0.03250419748415615,7562.0,2,4,3,4
031102060505,70,142,5680000.0,3,4,1,3.007042253521127,0.08362212737350551,427.0,2,3,4,3
031102060504,71,476,19040000.0,0,3,3,0.012605042016806723,0.1940521552732015,6.0,2,0,3,0
031200031201,72,753,30120000.0,0,4,4,1.0092961487383798,0.17452240638512118,760.0,4,1,0,1
031101020501,73,2479,99160000.0,0,1,1,0.0008067769261799112,0.02839235878139213,2.0,2,0,1,0
031200030903,74,1384,55360000.0,0,3,3,2.992052023121387,0.14945124152770792,4141.0,3,3,1,3
031300130202,75,1801,72040000.0,0,2,2,0.008883953359244865,0.13299993267366902,16.0,2,0,2,0
031300130301,76,1400,56000000.0,0,2,2,0.0014285714285714286,0.053433154883614414,2.0,2,0,2,0
031200010903,77,553,22120000.0,1,2,1,1.9981916817359855,0.04248585940134087,1105.0,2,2,1,2
031101020403,78,1290,51600000.0,0,1,1,0.9961240310077519,0.06213650985225422,1285.0,2,1,0,1
031300110604,79,2190,87600000.0,3,4,1,3.00365296803653,0.0603292952142984,6578.0,2,3,4,3
031102050502,80,1803,72120000.0,1,4,3,3.9839156960621187,0.1920978489599557,7183.0,3,4,1,4
031200031101,81,1093,43720000.0,0,4,4,1.0082342177493138,0.16267967627369004,1102.0,4,1,0,1
031300130201,82,714,28560000.0,2,4,2,2.0056022408963585,0.09149850403955849,1432.0,3,2,4,2
031200031102,83,270,10800000.0,1,2,1,1.9962962962962962,0.060745257284656184,539.0,2,2,1,2
031300120605,84,1057,42280000.0,2,4,2,3.9981078524124882,0.06148751867274055,4226.0,2,4,2,4
031101020701,85,2113,84520000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102060506,86,349,13960000.0,0,4,4,3.9656160458452723,0.3692608296524225,1384.0,2,4,0,4
031102060704,87,1697,67880000.0,0,4,4,2.0023571007660577,0.11889932158059356,3398.0,3,2,0,2
030801030601,88,1344,53760000.0,0,2,2,0.9985119047619048,0.05453417321966903,1342.0,3,1,2,1
031101020602,89,2680,107200000.0,0,1,1,0.9966417910447761,0.057852669669055994,2671.0,2,1,0,1
031101020604,90,4843,193720000.0,0,1,1,0.0020648358455502788,0.045393527054869945,10.0,2,0,1,0
031101020603,91,3172,126880000.0,0,1,1,0.0006305170239596469,0.02510218062723125,2.0,2,0,1,0
031102060503,92,666,26640000.0,0,2,2,1.993993993993994,0.10943463758731818,1328.0,2,2,0,2
031200010902,93,933,37320000.0,1,1,0,1.0,0.0,933.0,1,1,1,1
031300120604,94,1085,43400000.0,0,2,2,1.9889400921658986,0.14831552213744756,2158.0,2,2,0,2
031102060101,95,3481,139240000.0,0,3,3,2.993679977018098,0.13330803114439607,10421.0,3,3,1,3
031101020502,96,4178,167120000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031401010701,97,1060,42400000.0,0,1,1,0.0018867924528301887,0.043396226415094344,2.0,2,0,1,0
031200031003,98,1236,49440000.0,0,2,2,0.006472491909385114,0.11359177200507602,8.0,2,0,2,0
030801030502,99,437,17480000.0,3,4,1,3.990846681922197,0.09523410547681954,1744.0,2,4,3,4
031401010503,100,1187,47480000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110603,101,2446,97840000.0,1,4,3,3.9975470155355683,0.08574926390653492,9778.0,2,4,1,4
031102060104,102,1567,62680000.0,0,2,2,0.01021059349074665,0.13798770443672398,16.0,3,0,1,0
030801030603,103,2630,105200000.0,0,1,1,0.003041825095057034,0.05506879692846136,8.0,2,0,1,0
031102050406,104,994,39760000.0,2,4,2,2.0080482897384306,0.12661676235454516,1996.0,2,2,4,2
031200010901,105,530,21200000.0,1,2,1,1.0018867924528303,0.04339622641509358,531.0,2,1,2,1
031300130102,106,1013,40520000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
