HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,2582,103279999.99999996,98,100,2,99.96398140975988,0.2098007899383539,258107.0,3,100,98,100
031101010503,2,4610,184399999.99999994,99,100,1,99.87136659436008,0.3347937463469776,460407.0,2,100,99,100
031102050804,3,2331,93239999.99999997,99,100,1,99.999570999571,0.020707882255646914,233099.0,2,100,99,100
031102050805,4,2915,116599999.99999996,77,100,23,99.52246998284734,1.808620316646118,290108.0,9,100,77,100
031101020903,5,3435,137399999.99999994,79,100,21,99.67016011644833,0.8509420093809802,342367.0,7,100,79,100
031102050803,6,2921,116839999.99999996,98,100,2,99.51591920575146,0.5443399455800092,290686.0,3,100,98,100
031102050802,7,2986,119439999.99999996,98,100,2,99.04722036168788,0.22587326183011952,295755.0,3,99,98,99
031102050704,8,3374,134959999.99999994,98,99,1,98.30290456431536,0.45951429709246744,331674.0,2,98,99,98
031101020906,9,4296,171839999.99999994,97,100,3,99.86173184357541,0.3538392500427713,429006.0,4,100,98,100
031300110704,10,5230,209199999.9999999,74,100,26,98.14703632887189,4.161370404680597,513309.0,13,99,91,99
031101020905,11,4827,193079999.99999994,60,100,40,99.81437746012016,2.077416235398217,481804.0,5,100,75,100
031102050703,12,1623,64919999.99999998,98,99,1,98.99568699938386,0.06553166136077329,160670.0,2,99,98,99
031300110706,13,3279,131159999.99999996,95,100,5,99.806648368405,0.4196365879972255,327266.0,5,100,97,100
031101020904,14,2277,91079999.99999997,99,100,1,99.92226613965744,0.2677523245467299,227523.0,2,100,99,100
031102050702,15,1955,78199999.99999997,95,100,5,98.5002557544757,1.5186394961425076,192568.0,4,99,98,99
031101020804,16,1240,49599999.999999985,99,100,1,99.65725806451613,0.47462606454356043,123575.0,2,100,99,100
031101010201,17,3866,154639999.99999994,99,100,1,99.00439730988101,0.06616625685979424,382751.0,2,99,100,99
031300110703,18,1972,78879999.99999997,77,100,23,99.07048681541582,3.3836201861656403,195367.0,6,100,94,100
031300110705,19,2848,113919999.99999996,99,100,1,99.98735955056179,0.11171691222175884,284764.0,2,100,99,100
031300110804,20,4172,166879999.99999994,69,100,31,98.55273250239694,4.47319166099769,411162.0,12,100,87,100
031300130504,21,2846,113839999.99999996,94,100,6,99.17744202389318,1.9983647371303097,282259.0,3,100,99,100
031101020902,22,4078,163119999.99999994,75,100,25,98.61427170181462,1.4869259713497776,402149.0,7,100,80,99
031102050701,23,4320,172799999.99999994,96,100,4,98.65555555555555,0.4833971860764528,426192.0,4,99,100,99
031101020805,24,1979,79159999.99999997,93,100,7,98.91611925214755,2.1675725573174387,195755.0,4,100,98,100
031300110702,25,1579,63159999.99999998,100,100,0,100.0,0.0,157900.0,1,100,100,100
031101020901,26,3353,134119999.99999996,59,100,41,98.78705636743216,2.601243035255435,331233.0,11,99,59,99
031101020506,27,1917,76679999.99999997,99,100,1,99.92331768388107,0.2660867123946222,191553.0,2,100,99,100
031300130305,28,2849,113959999.99999996,78,100,22,98.21481221481221,3.548022596739882,279814.0,8,100,91,100
031102050604,29,3729,149159999.99999994,95,100,5,99.45025475998928,0.9471163072916338,370850.0,4,100,95,100
031401010704,30,5010,200399999.99999994,77,100,23,98.54071856287425,3.807603313981361,493689.0,8,100,79,99
031300130402,31,1316,52639999.99999998,90,100,10,98.830547112462,1.0566089612626526,130061.0,5,99,90,99
031300130503,32,2222,88879999.99999997,94,100,6,99.18631863186319,1.4845232297965756,220392.0,3,100,94,100
031300130502,33,1857,74279999.99999997,100,100,0,100.0,0.0,185700.0,1,100,100,100
031101020802,34,1998,79919999.99999997,99,100,1,99.01701701701701,0.12933459765247324,197836.0,2,99,100,99
031101020803,35,3017,120679999.99999996,99,100,1,99.73317865429235,0.442298219736156,300895.0,2,100,99,100
031102050603,36,4341,173639999.99999994,95,100,5,99.36074637180373,0.48546512102011646,431325.0,4,99,95,99
031300110701,37,2755,110199999.99999996,100,100,0,100.0,0.0,275500.0,1,100,100,100
031300130403,38,1328,53119999.99999998,90,99,9,94.51656626506023,2.6474065995688445,125518.0,4,96,98,96
031300130304,39,2684,107359999.99999996,99,100,1,99.78129657228018,0.413366953714269,267813.0,2,100,99,100
031101020605,40,2918,116719999.99999996,97,100,3,99.53255654557917,0.6477691797783982,290436.0,3,100,97,100
031300110803,41,4614,184559999.99999994,99,100,1,99.96553966189857,0.1824083967325468,461241.0,2,100,99,100
031102050602,42,1962,78479999.99999997,99,100,1,99.00152905198777,0.039073187564651155,194241.0,2,99,100,99
031101020505,43,3041,121639999.99999996,96,100,4,99.98092732653733,0.17288562493247522,304042.0,4,100,96,100
031401010702,44,2254,90159999.99999997,100,100,0,100.0,0.0,225400.0,1,100,100,100
031200031203,45,2063,82519999.99999997,99,100,1,99.38245273873001,0.48598625635710024,205026.0,2,99,100,99
031300130501,46,1694,67759999.99999997,100,100,0,100.0,0.0,169400.0,1,100,100,100
031300130401,47,1947,77879999.99999997,99,100,1,99.36106831022086,0.4803103013406727,193456.0,2,99,100,99
031300110802,48,2495,99799999.99999997,99,100,1,99.99799599198397,0.04472126974880782,249495.0,2,100,99,100
031200031204,49,2536,101439999.99999997,77,100,23,98.76695583596215,1.7675740940227307,250473.0,6,99,77,99
031101020503,50,2103,84119999.99999997,55,100,45,97.92962434617213,2.467244705173099,205946.0,12,99,87,99
031102060701,51,1828,73119999.99999997,99,100,1,99.00875273522976,0.09314571839255505,180988.0,2,99,100,99
031300130303,52,2104,84159999.99999997,99,100,1,99.72005703422053,0.4489709363542036,209811.0,2,100,99,100
031102050601,53,3551,142039999.99999994,99,99,0,99.0,0.0,351549.0,1,99,99,99
031300130302,54,1302,52079999.99999998,99,100,1,99.95545314900154,0.2063066384379608,130142.0,2,100,99,100
031401010703,55,4465,178599999.99999994,96,100,4,99.93729003359462,0.29419208532789737,446220.0,4,100,98,100
031102060703,56,1139,45559999.999999985,99,100,1,99.99297629499561,0.08351270904024745,113892.0,2,100,99,100
031300130203,57,1781,71239999.99999997,99,100,1,99.9994385176867,0.023688964739275988,178099.0,2,100,99,100
031300120606,58,2747,109879999.99999996,95,100,5,99.58645795413177,1.1413108902468725,273564.0,4,100,99,100
030801021101,59,1662,66479999.99999998,98,100,2,99.41456077015644,0.9096909822187568,165227.0,3,100,99,100
031200031202,60,2785,111399999.99999996,99,100,1,99.71059245960502,0.4534873933833134,277694.0,2,100,99,100
031102050504,61,3716,148639999.99999994,99,100,1,99.0002691065662,0.016402260441762694,367885.0,2,99,100,99
031102050503,62,1474,58959999.99999998,99,100,1,99.00271370420624,0.052022495278244554,145930.0,2,99,100,99
031101020703,63,2288,91519999.99999997,99,100,1,99.97552447552448,0.1545201384200605,228744.0,2,100,99,100
031101020504,64,2506,100239999.99999997,55,100,45,99.34118116520351,1.7003462048012545,248949.0,11,100,55,100
031300110605,65,1887,75479999.99999997,99,100,1,99.9952305246423,0.06889649818240273,188691.0,2,100,99,100
031101020801,66,4143,165719999.99999994,99,100,1,99.99975862901279,0.015534243712886371,414299.0,2,100,99,100
031102050501,67,1777,71079999.99999997,99,100,1,99.1328081035453,0.3393672217207533,176159.0,2,99,100,99
031102060302,68,2682,107279999.99999996,93,100,7,99.8676360924683,0.3938428111449412,267845.0,4,100,93,100
031300110801,69,3045,121799999.99999996,99,100,1,99.90049261083743,0.2993420596332824,304197.0,2,100,99,100
031102060505,70,2309,92359999.99999997,98,99,1,98.99956691208315,0.02080625751905795,228590.0,2,99,98,99
031102060504,71,3099,123959999.99999996,97,99,2,98.99903194578897,0.04015577860243056,306798.0,3,99,97,99
031200031201,72,1432,57279999.99999998,99,100,1,99.97276536312849,0.16276643212308833,143161.0,2,100,99,100
031101020501,73,3886,155439999.99999994,98,100,2,99.92846114256305,0.265590650486541,388322.0,3,100,98,100
031200030903,74,2264,90559999.99999997,99,100,1,99.99955830388693,0.021011925600698415,226399.0,2,100,99,100
031300130202,75,2312,92479999.99999997,99,100,1,99.98961937716263,0.10135514544175682,231176.0,2,100,99,100
031300130301,76,1537,61479999.99999998,100,100,0,100.0,0.0,153700.0,1,100,100,100
031200010903,77,1763,70519999.99999997,86,100,14,97.77651730005672,2.669330423521834,172380.0,10,98,86,98
031101020403,78,1507,60279999.99999998,98,100,2,98.95089581950896,0.7251141322167283,149119.0,3,99,100,99
031300110604,79,3337,133479999.99999996,100,100,0,100.0,0.0,333700.0,1,100,100,100
031102050502,80,2549,101959999.99999997,99,100,1,99.00039231071008,0.019802949339470906,252352.0,2,99,100,99
031200031101,81,2240,89599999.99999997,97,100,3,99.65803571428572,0.5370452217022802,223234.0,4,100,97,100
031300130201,82,1146,45839999.999999985,99,100,1,99.92408376963351,0.2648640336710475,114513.0,2,100,99,100
031200031102,83,2442,97679999.99999997,98,100,2,99.01842751842752,0.14044908910415638,241803.0,3,99,98,99
031300120605,84,1763,70519999.99999997,99,100,1,99.95916052183777,0.1979182032696421,176228.0,2,100,99,100
031101020701,85,2113,84519999.99999997,98,100,2,99.62328442972077,0.49709730367728594,210504.0,3,100,98,100
031102060506,86,2134,85359999.99999997,99,100,1,99.00281162136832,0.052950128932098904,211272.0,2,99,100,99
031102060704,87,3728,149119999.99999994,99,100,1,99.2094957081545,0.40694871472843513,369853.0,2,99,100,99
030801030601,88,2814,112559999.99999996,98,100,2,99.44705046197583,0.70221765650888,279844.0,3,100,98,100
031101020602,89,2682,107279999.99999996,99,100,1,99.969052945563,0.17317428867897322,268117.0,2,100,99,100
031101020604,90,4860,194399999.99999994,99,100,1,99.99979423868312,0.014342906971899914,485999.0,2,100,99,100
031101020603,91,3280,131199999.99999996,99,100,1,99.99908536585366,0.030229085172757908,327997.0,2,100,99,100
031102060503,92,2106,84239999.99999997,98,100,2,99.00189933523266,0.061604082593678944,208498.0,3,99,98,99
031200010902,93,1827,73079999.99999997,58,100,42,99.17733990147784,3.94353564503295,181197.0,8,100,93,100
