HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,2551,102039999.99999997,85,100,15,98.39121912975304,1.5729439310273285,250996.0,9,100,85,98
031101010503,2,4463,178519999.99999994,85,100,15,90.82679811785795,2.4798138633816174,405360.0,7,90,97,90
031102050804,3,2130,85199999.99999997,85,100,15,85.05211267605634,0.8517354536937913,181161.0,4,85,97,85
031102050805,4,2895,115799999.99999996,24,100,76,94.10224525043178,7.3592664885168,272426.0,16,100,36,97
031101020903,5,3408,136319999.99999994,24,100,76,95.8119131455399,2.7699572634397613,326527.0,13,95,24,95
031102050803,6,2559,102359999.99999997,63,98,35,88.89566236811254,5.572750295738195,227484.0,9,85,63,85
031102050802,7,1700,67999999.99999997,56,100,44,61.501176470588234,7.40210612505018,104552.0,9,63,69,63
031102050704,8,2106,84239999.99999997,63,94,31,72.54890788224121,4.429540313878443,152788.0,4,69,94,69
031101020906,9,4273,170919999.99999994,78,100,22,93.82939386847649,2.69611660165601,400933.0,12,92,90,92
031300110704,10,4616,184639999.99999994,33,100,67,93.8474870017331,11.120155078541014,433200.0,28,98,85,98
031101020905,11,4806,192239999.99999994,4,100,96,95.867873491469,4.801058882092744,460741.0,14,96,4,96
031102050703,12,359,14359999.999999994,11,78,67,77.55710306406685,4.648832299302457,27843.0,5,78,11,78
031300110706,13,2943,117719999.99999996,57,100,43,98.37546721032959,2.722535840757567,289519.0,14,100,70,99
031101020904,14,2263,90519999.99999997,86,100,14,95.32699955810871,2.272627209918529,215725.0,11,96,90,96
031102050702,15,402,16079999.999999994,11,82,71,32.83830845771144,14.606998429137793,13201.0,6,25,82,25
031101020804,16,1237,49479999.999999985,83,100,17,94.65319320937752,0.8329413781228778,117086.0,5,95,96,95
031101010201,17,993,39719999.999999985,90,91,1,90.00704934541793,0.08366392380919348,89377.0,2,90,91,90
031300110703,18,1906,76239999.99999997,38,100,62,96.18310598111228,5.818931725706402,183325.0,9,95,56,96
031300110705,19,2439,97559999.99999997,94,100,6,98.46371463714637,1.4352983963009585,240153.0,5,100,99,98
031300110804,20,4010,160399999.99999994,9,100,91,93.98952618453865,14.243654229530133,376898.0,19,100,39,99
031300130504,21,2544,101759999.99999997,79,100,21,95.64229559748428,3.9854535517618923,243314.0,11,96,99,96
031101020902,22,3820,152799999.99999994,18,100,82,89.7023560209424,7.5847149061997055,342663.0,12,95,18,94
031102050701,23,3372,134879999.99999994,53,93,40,70.11239620403322,5.167491281495038,236419.0,7,73,53,73
031101020805,24,1552,62079999.99999998,60,100,40,90.77899484536083,11.06794838549093,140889.0,14,97,85,95
031300110702,25,1578,63119999.99999998,96,100,4,98.99873257287706,0.18152547706688932,156220.0,4,99,97,99
031101020901,26,3314,132559999.99999996,2,99,97,92.02202776101387,8.715467974106648,304961.0,15,93,2,93
031101020506,27,1626,65039999.99999998,88,100,12,97.9870848708487,1.9398597453594126,159327.0,11,98,92,98
031300130305,28,2767,110679999.99999996,54,100,46,92.48644741597398,7.042779132074187,255910.0,13,96,54,96
031102050604,29,1971,78839999.99999997,48,98,50,74.21207508878742,17.20670513136877,146272.0,14,53,48,76
031401010704,30,4610,184399999.99999994,38,100,62,95.64620390455532,7.4567437859301595,440929.0,16,99,38,98
031300130402,31,1211,48439999.999999985,89,97,8,94.32617671345994,2.4873188198932175,114229.0,8,97,95,94
031300130503,32,2043,81719999.99999997,75,100,25,94.79784630445424,3.9015986609944164,193672.0,13,96,90,96
031300130502,33,1857,74279999.99999997,96,97,1,96.99946149703824,0.023199417555152726,180128.0,2,97,96,97
031101020802,34,1984,79359999.99999997,90,100,10,94.0554435483871,0.5517116007120658,186606.0,6,94,100,94
031101020803,35,3008,120319999.99999996,93,100,7,95.49501329787235,0.9442443927433671,287249.0,5,96,93,96
031102050603,36,3198,127919999.99999996,53,98,45,69.44621638524077,11.999664488980997,222089.0,5,78,93,78
031300110701,37,2668,106719999.99999996,95,100,5,98.52736131934033,0.9693586311604485,262871.0,6,99,96,99
031300130403,38,356,14239999.999999994,54,94,40,64.98876404494382,10.860705775090736,23136.0,5,74,90,74
031300130304,39,2676,107039999.99999996,89,98,9,95.70814648729447,1.1300128983511202,256115.0,6,96,98,96
031101020605,40,2898,115919999.99999996,84,100,16,93.84195997239476,2.824497101109053,271954.0,10,96,100,95
031300110803,41,4591,183639999.99999994,83,100,17,98.36724025266827,2.0120976382086804,451604.0,9,100,83,99
031102050602,42,1401,56039999.99999998,78,96,18,78.03640256959315,0.7885437155010528,109329.0,3,78,93,78
031101020505,43,2214,88559999.99999997,89,100,11,97.75383920505871,1.6479768284967786,216427.0,11,97,92,97
031401010702,44,2006,80239999.99999997,93,100,7,99.01345962113659,0.40104337390174005,198621.0,6,99,93,99
031200031203,45,1955,78199999.99999997,90,100,10,94.35498721227621,1.453391636991077,184464.0,9,94,90,94
031300130501,46,1686,67439999.99999997,95,97,2,96.0005931198102,0.06443203302746284,161857.0,3,96,95,96
031300130401,47,1796,71839999.99999997,89,97,8,94.91425389755011,1.4604654771420895,170466.0,5,94,95,94
031300110802,48,2420,96799999.99999997,93,100,7,96.50495867768595,1.189648968273311,233542.0,7,97,93,97
031200031204,49,1762,70479999.99999997,49,100,51,92.46708286038593,6.0820436297272105,162927.0,17,93,79,93
031101020503,50,1412,56479999.99999998,17,100,83,90.96742209631728,8.938034296968778,128446.0,24,94,85,94
031102060701,51,102,4079999.9999999986,88,98,10,91.00980392156863,0.8104113944287419,9283.0,3,91,98,91
031300130303,52,1922,76879999.99999997,93,100,7,96.22476586888658,1.6569629114208746,184944.0,7,96,93,96
031102050601,53,2154,86159999.99999997,78,91,13,88.00046425255339,0.6958557304894006,189553.0,3,88,78,88
031300130302,54,1253,50119999.999999985,93,100,7,98.05666400638468,1.5289118069022505,122865.0,5,97,93,98
031401010703,55,3584,143359999.99999994,57,100,43,97.21121651785714,3.7737754154369108,348405.0,15,99,57,99
031102060703,56,1036,41439999.999999985,73,99,26,93.58301158301158,5.602145635201961,96952.0,4,99,87,99
031300130203,57,1724,68959999.99999997,95,100,5,97.64907192575406,1.0582480474170268,168347.0,6,98,100,98
031300120606,58,2313,92519999.99999997,82,100,18,96.35840899265024,4.870651982317664,222877.0,10,100,87,98
030801021101,59,948,37919999.999999985,86,100,14,93.78691983122363,5.5875235683158015,88910.0,6,98,97,98
031200031202,60,2045,81799999.99999997,89,100,11,96.96625916870416,1.4184725906018725,198296.0,9,96,89,96
031102050504,61,1317,52679999.99999998,63,91,28,79.37737281700835,8.635601369761348,104540.0,4,73,63,73
031102050503,62,1003,40119999.999999985,73,96,23,90.58823529411765,2.7116199086309494,90860.0,5,91,96,91
031101020703,63,2149,85959999.99999997,93,100,7,96.46067938576081,0.7160746261517177,207294.0,6,97,100,97
031101020504,64,2041,81639999.99999997,0,100,100,94.30573248407643,6.75385178467924,192478.0,19,95,52,95
031300110605,65,1391,55639999.99999998,84,100,16,99.3982746225737,2.144552535628018,138263.0,7,100,87,100
031101020801,66,4125,164999999.99999994,88,96,8,95.9958787878788,0.13656383956295562,395983.0,4,96,88,96
031102050501,67,1561,62439999.99999998,70,96,26,94.15823190262653,1.9670437696138734,146981.0,7,95,96,95
031102060302,68,895,35799999.999999985,68,100,32,89.46815642458101,7.760150495149844,80074.0,11,89,77,89
031300110801,69,1891,75639999.99999997,93,100,7,98.03437334743522,1.7064852396966392,185383.0,7,99,96,99
031102060505,70,142,5679999.999999998,87,87,0,87.0,0.0,12354.0,1,87,87,87
031102060504,71,476,19039999.999999993,79,96,17,89.39495798319328,3.1011477609442673,42552.0,4,87,79,91
031200031201,72,753,30119999.99999999,92,100,8,97.95086321381142,1.2619584365185657,73757.0,7,98,95,98
031101020501,73,2477,99079999.99999997,81,100,19,93.57569640694389,4.946751458217833,231787.0,8,89,81,89
031200030903,74,1384,55359999.99999998,89,100,11,98.51878612716763,1.6468378265908865,136350.0,7,99,89,99
031300130202,75,1801,72039999.99999997,95,100,5,98.19322598556357,0.576591950239882,176846.0,5,98,100,98
