HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,97,3879999.9999999986,0,34,34,14.608247422680412,12.063882110152104,1417.0,17,19,15,12
031101010503,2,205,8199999.999999997,0,11907,11907,2098.092682926829,4527.213116384733,430109.0,19,1,9,4
031102050804,3,8,319999.9999999999,0,33,33,5.5,10.5,44.0,5,0,5,1
031102050805,4,61,2439999.999999999,0,4043,4043,271.4918032786885,770.6012049990114,16561.0,17,0,9,5
031101020903,5,12,479999.9999999998,0,4947,4947,1247.0833333333333,2136.178498250764,14965.0,9,4947,0,10
031102050803,6,67,2679999.999999999,0,30,30,8.611940298507463,10.202363237908498,577.0,15,1,5,3
031102050802,7,81,3239999.9999999986,0,138,138,67.17283950617283,63.69735349725676,5441.0,10,138,0,26
031102050704,8,44,1759999.9999999993,0,51,51,17.136363636363637,19.479115750290696,754.0,13,51,4,7
031101020906,9,13,519999.9999999998,0,18,18,6.6923076923076925,6.567807448042019,87.0,7,4,0,4
031300110704,10,29,1159999.9999999995,0,99,99,19.586206896551722,25.453835482786875,568.0,12,1,2,6
031101020905,11,14,559999.9999999998,0,3931,3931,1124.5,1774.9868309370636,15743.0,6,1,0,2
031102050703,12,1,39999.999999999985,27,27,0,27.0,0.0,27.0,1,27,27,27
031300110706,13,221,8839999.999999996,0,697,697,337.18552036199094,254.66885066836764,74518.0,25,697,4,339
031101020904,14,17,679999.9999999998,0,3931,3931,236.76470588235293,923.573018828109,4025.0,11,2,0,3
031102050702,15,5,199999.99999999994,0,7,7,2.0,2.5298221281347035,10.0,3,1,0,1
031101020804,16,5,199999.99999999994,1,21,20,7.4,7.49933330370107,37.0,5,1,1,3
031101010201,17,293,11719999.999999996,0,215,215,44.665529010238906,68.28776747835212,13087.0,27,1,40,10
031300110703,18,27,1079999.9999999995,0,124,124,89.29629629629629,53.81712161454914,2411.0,7,124,0,124
031300110705,19,113,4519999.999999998,3,697,694,459.6637168141593,303.5730470219988,51942.0,11,697,6,697
031300110804,20,35,1399999.9999999995,0,724,724,60.885714285714286,169.8800873605634,2131.0,15,0,2,11
031300130504,21,10,399999.9999999999,0,787,787,107.2,227.42154691233634,1072.0,6,45,0,45
031101020902,22,71,2839999.999999999,0,22,22,6.52112676056338,7.676301843857905,463.0,15,1,6,2
031102050701,23,86,3439999.9999999986,0,35,35,9.732558139534884,11.265737745229746,837.0,15,1,7,5
031101020805,24,26,1039999.9999999997,0,3931,3931,163.0,753.6950005447521,4238.0,8,28,3,5
031300110702,25,9,359999.9999999999,24,43,19,34.77777777777778,9.198765349252975,313.0,3,43,24,43
031101020901,26,42,1679999.9999999993,0,35,35,10.333333333333334,11.893709154856506,434.0,14,1,5,4
031101020506,27,13,519999.9999999998,1,14,13,5.230769230769231,5.0710922227229265,68.0,5,1,6,2
031300130305,28,16,639999.9999999998,0,27,27,7.5625,7.849910429425294,121.0,10,1,0,4
031102050604,29,40,1599999.9999999995,0,26,26,8.8,8.721238444166056,352.0,13,1,2,4
031401010704,30,45,1799999.9999999993,1,188,187,99.62222222222222,84.33485871845478,4483.0,9,188,7,67
031300130402,31,25,999999.9999999997,0,58,58,12.44,12.865706354491385,311.0,12,18,2,7
031300130503,32,6,239999.9999999999,0,22,22,6.0,7.505553499465135,36.0,6,0,0,2
031300130502,33,5,199999.99999999994,52,52,0,52.0,0.0,260.0,1,52,52,52
031101020802,34,9,359999.9999999999,0,20,20,4.444444444444445,6.057339186861783,40.0,6,1,0,2
031101020803,35,32,1279999.9999999995,0,92,92,43.125,43.37824195377217,1380.0,10,92,3,11
031102050603,36,27,1079999.9999999995,0,44,44,14.296296296296296,16.554768396234035,386.0,9,1,3,4
031300130403,38,33,1319999.9999999995,0,48,48,10.575757575757576,14.306240009658644,349.0,12,1,3,4
031300130304,39,2,79999.99999999997,17,71,54,44.0,27.0,88.0,2,17,17,17
031101020605,40,7,279999.9999999999,0,5,5,2.2857142857142856,2.1189138534559038,16.0,4,0,4,1
031300110803,41,62,2479999.999999999,0,176,176,90.30645161290323,81.03197073351564,5599.0,10,176,8,38
031102050602,42,50,1999999.9999999993,0,108,108,19.96,26.88788574804646,998.0,18,1,4,7
031101020505,43,25,999999.9999999997,0,59,59,32.04,25.141964919234137,801.0,8,59,5,44
031200031203,45,12,479999.9999999998,0,36,36,16.416666666666668,13.079617306667993,197.0,7,20,0,9
031300130501,46,36,1439999.9999999995,0,154,154,99.44444444444444,58.77898549483879,3580.0,9,154,2,114
