HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,109,4360000.0,0,1,1,0.4036697247706422,0.4906327323714106,44.0,2,0,1,0
031101010503,2,268,10720000.0,0,1,1,0.35447761194029853,0.47835471626545256,95.0,2,0,1,0
031102050804,3,16,640000.0,0,1,1,0.25,0.4330127018922193,4.0,2,0,1,0
031102050805,4,79,3160000.0,0,1,1,0.4177215189873418,0.4931837908551432,33.0,2,0,1,0
031101020903,5,13,520000.0,0,1,1,0.6923076923076923,0.46153846153846156,9.0,2,1,0,1
031102050803,6,83,3320000.0,0,1,1,0.3373493975903614,0.4728052257915321,28.0,2,0,1,0
031102050802,7,98,3920000.0,0,1,1,0.4897959183673469,0.499895865874118,48.0,2,0,1,0
031102050704,8,57,2280000.0,0,1,1,0.3508771929824561,0.4772445792538752,20.0,2,0,1,0
031101020906,9,14,560000.0,0,1,1,0.7142857142857143,0.4517539514526256,10.0,2,1,0,1
031300110704,10,36,1440000.0,0,1,1,0.4166666666666667,0.4930066485916347,15.0,2,0,1,0
031101020905,11,18,720000.0,0,1,1,0.16666666666666666,0.37267799624996495,3.0,2,0,1,0
031102050703,12,2,80000.0,0,1,1,0.5,0.5,1.0,2,0,0,0
031300110706,13,228,9120000.0,0,1,1,0.8421052631578947,0.3646422752776584,192.0,2,1,0,1
031101020904,14,17,680000.0,0,1,1,0.4117647058823529,0.4921529567847503,7.0,2,0,1,0
031102050702,15,7,280000.0,0,1,1,0.2857142857142857,0.45175395145262565,2.0,2,0,1,0
031101020804,16,5,200000.0,0,1,1,0.8,0.39999999999999997,4.0,2,1,0,1
031101010201,17,336,13440000.0,0,1,1,0.5089285714285714,0.4999202742560507,171.0,2,1,0,1
031300110703,18,27,1080000.0,0,1,1,0.7407407407407407,0.4382281320814531,20.0,2,1,0,1
031300110705,19,115,4600000.0,0,1,1,0.9130434782608695,0.28177133471338534,105.0,2,1,0,1
031300110804,20,46,1840000.0,0,1,1,0.5434782608695652,0.49810605379954787,25.0,2,1,0,1
031300130504,21,12,480000.0,0,1,1,0.5833333333333334,0.4930066485916346,7.0,2,1,0,1
031101020902,22,89,3560000.0,0,1,1,0.3258426966292135,0.46868884527222937,29.0,2,0,1,0
031102050701,23,121,4840000.0,0,1,1,0.3305785123966942,0.4704214701076928,40.0,2,0,1,0
031101020805,24,36,1440000.0,0,1,1,0.3888888888888889,0.48749802152178456,14.0,2,0,1,0
031300110702,25,9,360000.0,1,1,0,1.0,0.0,9.0,1,1,1,1
031101020901,26,51,2040000.0,0,1,1,0.47058823529411764,0.4991341984846218,24.0,2,0,1,0
031101020506,27,21,840000.0,0,1,1,0.38095238095238093,0.4856209060564557,8.0,2,0,1,0
031300130305,28,21,840000.0,0,1,1,0.47619047619047616,0.4994327848429293,10.0,2,0,1,0
031102050604,29,56,2240000.0,0,1,1,0.4107142857142857,0.4919634754984254,23.0,2,0,1,0
