HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,2,80000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110704,10,4,160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110703,18,3,120000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110804,20,28,1120000.0,0,1,1,0.07142857142857142,0.2575393768188564,2.0,2,0,1,0
031102050701,23,2,80000.0,1,1,0,1.0,0.0,2.0,1,1,1,1
031300130305,28,2,80000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130503,32,2,80000.0,1,1,0,1.0,0.0,2.0,1,1,1,1
031300110803,41,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
030801021101,59,8,320000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102060504,71,73,2920000.0,0,1,1,0.0821917808219178,0.27465668021593725,6.0,2,0,1,0
031200031101,81,4,160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102060704,87,5,200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102060101,95,23,920000.0,0,1,1,0.6086956521739131,0.48804226784007926,14.0,2,1,0,1
031200010901,105,1,40000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200011102,109,2,80000.0,1,1,0,1.0,0.0,2.0,1,1,1,1
031102060102,119,5,200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102060606,121,24,960000.0,1,1,0,1.0,0.0,24.0,1,1,1,1
031101020303,138,3,120000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200011001,150,109,4360000.0,0,1,1,0.9724770642201835,0.1636014174323577,106.0,2,1,0,1
031200011002,153,10,400000.0,0,1,1,0.6,0.48989794855663565,6.0,2,1,0,1
031102060207,162,6,240000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200010704,171,142,5680000.0,1,1,0,1.0,0.0,142.0,1,1,1,1
031200010605,173,31,1240000.0,1,1,0,1.0,0.0,31.0,1,1,1,1
030801030904,176,11,440000.0,0,1,1,0.5454545454545454,0.4979295977319692,6.0,2,1,0,1
031102050402,180,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
030801031204,186,20,800000.0,0,1,1,0.2,0.4,4.0,2,0,1,0
031200010504,188,4,160000.0,1,1,0,1.0,0.0,4.0,1,1,1,1
031102060601,190,4,160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110501,197,1,40000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200030803,212,2,80000.0,1,1,0,1.0,0.0,2.0,1,1,1,1
031200010602,213,3,120000.0,0,1,1,0.3333333333333333,0.4714045207910317,1.0,2,0,1,0
031200010603,216,2,80000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
030801031004,219,2,80000.0,0,1,1,0.5,0.5,1.0,2,0,0,0
030702040401,221,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
031101030501,223,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
030801031303,225,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
031102010703,230,16,640000.0,0,1,1,0.125,0.33071891388307384,2.0,2,0,1,0
031101030404,234,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
031200010404,236,5,200000.0,1,1,0,1.0,0.0,5.0,1,1,1,1
031200010601,241,86,3440000.0,0,1,1,0.023255813953488372,0.1507148999629735,2.0,2,0,1,0
031102050301,245,10,400000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
030801031304,246,13,520000.0,0,1,1,0.15384615384615385,0.36080121229410994,2.0,2,0,1,0
031200010403,248,16,640000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200010402,254,11,440000.0,1,1,0,1.0,0.0,11.0,1,1,1,1
031200010303,260,2,80000.0,1,1,0,1.0,0.0,2.0,1,1,1,1
031102010802,261,56,2240000.0,0,1,1,0.625,0.4841229182759271,35.0,2,1,0,1
030702040403,264,4,160000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101030405,266,3,120000.0,1,1,0,1.0,0.0,3.0,1,1,1,1
031200030602,267,3,120000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200030501,269,2,80000.0,1,1,0,1.0,0.0,2.0,1,1,1,1
031300110303,272,34,1360000.0,1,1,0,1.0,0.0,34.0,1,1,1,1
031102030906,273,5,200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102010704,274,72,2880000.0,1,1,0,1.0,0.0,72.0,1,1,1,1
031200010401,280,32,1280000.0,0,1,1,0.96875,0.17399263633843817,31.0,2,1,0,1
031200030301,281,261,10440000.0,0,1,1,0.9386973180076629,0.2398846872413567,245.0,2,1,0,1
031200010302,282,10,400000.0,1,1,0,1.0,0.0,10.0,1,1,1,1
030801031404,284,45,1800000.0,0,1,1,0.17777777777777778,0.3823255674241167,8.0,2,0,1,0
031200030403,287,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
031200030402,289,10,400000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
030801031403,296,32,1280000.0,0,1,1,0.4375,0.49607837082461076,14.0,2,0,1,0
031200030401,300,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
031101030305,302,2,80000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200010301,306,4,160000.0,1,1,0,1.0,0.0,4.0,1,1,1,1
031101030401,316,5,200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101030205,318,2,80000.0,1,1,0,1.0,0.0,2.0,1,1,1,1
030801031405,319,254,10160000.0,0,1,1,0.03543307086614173,0.18487176191927396,9.0,2,0,1,0
031200030106,322,1,40000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200010203,323,33,1320000.0,1,1,0,1.0,0.0,33.0,1,1,1,1
031300120407,325,4,160000.0,1,1,0,1.0,0.0,4.0,1,1,1,1
031200030207,326,3,120000.0,1,1,0,1.0,0.0,3.0,1,1,1,1
031200030208,327,3,120000.0,1,1,0,1.0,0.0,3.0,1,1,1,1
031200030105,330,363,14520000.0,1,1,0,1.0,0.0,363.0,1,1,1,1
030702040105,332,2,80000.0,1,1,0,1.0,0.0,2.0,1,1,1,1
031102010903,335,5,200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110101,338,8,320000.0,0,1,1,0.625,0.4841229182759271,5.0,2,1,0,1
