HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,741,29639999.99999999,0,7,7,4.221322537112011,2.0909492978418323,3128.0,6,6,3,5
031101010503,2,3666,146639999.99999994,0,7,7,3.968630660120022,1.5554308467132838,14549.0,7,4,7,4
031102050804,3,1975,78999999.99999997,0,6,6,3.009620253164557,1.4906998127529592,5944.0,7,4,6,3
031102050805,4,954,38159999.999999985,0,7,7,3.131027253668763,1.6151216741527665,2987.0,7,4,7,3
031101020903,5,1720,68799999.99999997,0,6,6,3.158139534883721,1.3991247360552392,5432.0,7,4,1,4
031102050803,6,2579,103159999.99999996,0,7,7,3.260566110895696,1.84751172207223,8409.0,8,4,7,3
031102050802,7,2945,117799999.99999996,0,7,7,2.227164685908319,1.5433769806135245,6559.0,8,2,7,2
031102050704,8,3247,129879999.99999996,0,7,7,2.205728364644287,1.5525467570529818,7162.0,8,2,7,2
031101020906,9,2828,113119999.99999996,0,7,7,2.2383309759547383,1.1483591581401429,6330.0,8,2,7,2
031300110704,10,4142,165679999.99999994,0,6,6,2.5772573635924676,1.5518386505705852,10675.0,7,3,6,3
031101020905,11,3304,132159999.99999996,0,6,6,2.51180387409201,1.2790853043374064,8299.0,7,2,6,2
031102050703,12,1623,64919999.99999998,0,7,7,1.7215033887861984,0.9261450363200597,2794.0,8,2,7,2
031300110706,13,1246,49839999.999999985,0,7,7,3.9165329052969504,1.70997437914378,4880.0,7,4,7,4
031101020904,14,2037,81479999.99999997,0,7,7,3.2641138929798723,1.4586270579709137,6649.0,8,3,1,3
031102050702,15,1952,78079999.99999997,0,5,5,1.5245901639344261,1.0109086543522297,2976.0,6,2,5,2
031101020804,16,1198,47919999.999999985,0,6,6,2.7587646076794656,1.2200614983608173,3305.0,7,3,1,3
031101010201,17,3658,146319999.99999994,0,7,7,4.011481683980317,1.733432690541755,14674.0,8,4,7,4
031300110703,18,1426,57039999.99999998,0,4,4,1.6809256661991585,1.047879438225186,2397.0,5,2,4,2
031300110705,19,749,29959999.99999999,0,6,6,2.663551401869159,1.5220738756288628,1995.0,7,4,6,3
031300110804,20,1898,75919999.99999997,0,7,7,3.110642781875659,2.1095853566843523,5904.0,8,4,1,4
031300130504,21,2208,88319999.99999997,0,7,7,3.589673913043478,1.7157946680598641,7926.0,7,4,7,4
031101020902,22,4045,161799999.99999994,0,6,6,2.68504326328801,1.2716112159991606,10861.0,7,3,6,3
