Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,72,2879999.9999999986,98,98,0,98.0,0.0,7056.0,1,98,98,98
2,564,22559999.99999999,92,98,6,95.02482269503547,1.1802545721527486,53594.0,6,95,97,95
3,576,23039999.99999999,92,97,5,93.82291666666667,1.8800568383104213,54042.0,4,92,97,93
4,576,23039999.99999999,92,96,4,94.22569444444444,0.8746623576951146,54274.0,5,94,92,94
5,577,23079999.99999999,92,96,4,93.85615251299826,1.0274066379075861,54155.0,5,94,95,94
6,577,23079999.99999999,86,92,6,89.49393414211438,2.344738114918413,51638.0,4,90,88,90
7,576,23039999.99999999,85,87,2,86.19270833333333,0.6341132464907195,49647.0,3,86,85,86
8,576,23039999.99999999,84,87,3,85.11979166666667,0.864755881376357,49029.0,4,85,87,85
9,576,23039999.99999999,83,86,3,84.02777777777777,0.7448382043222559,48400.0,4,84,86,84
10,575,22999999.99999999,82,84,2,82.7304347826087,0.5162025071182249,47570.0,3,83,84,83
11,576,23039999.99999999,81,87,6,82.90625,2.0920391019688584,47754.0,6,81,83,82
12,575,22999999.99999999,84,88,4,86.42260869565217,0.9889002120990802,49693.0,5,87,84,87
13,577,23079999.99999999,83,88,5,84.87868284228769,1.4040716966098468,48975.0,5,85,88,85
14,576,23039999.99999999,82,86,4,83.57118055555556,1.1388663933244216,48137.0,4,83,82,83
15,576,23039999.99999999,79,83,4,80.86284722222223,1.345107473604597,46577.0,4,82,83,82
16,577,23079999.99999999,76,83,7,79.54939341421144,1.3417972683494879,45900.0,6,80,76,80
17,576,23039999.99999999,75,82,7,78.58854166666667,1.768495699720685,45267.0,6,79,82,79
18,67,2679999.9999999986,98,98,0,98.0,0.0,6566.0,1,98,98,98
19,517,20679999.99999999,95,99,4,97.47001934235976,0.9000164406480906,50392.0,5,97,95,97
20,577,23079999.99999999,96,98,2,96.74176776429809,0.5274499604681577,55820.0,3,97,98,97
21,576,23039999.99999999,95,96,1,95.86805555555556,0.3384303591942248,55220.0,2,96,95,96
22,577,23079999.99999999,92,96,4,94.41421143847487,1.2992488605888086,54477.0,4,95,92,95
23,577,23079999.99999999,86,94,8,90.34662045060658,1.6382959771142003,52130.0,6,92,86,91
24,576,23039999.99999999,86,89,3,87.81597222222223,1.0107864920747753,50582.0,4,87,86,88
25,577,23079999.99999999,86,88,2,86.85615251299826,0.717521077509432,50116.0,3,87,88,87
26,576,23039999.99999999,82,87,5,84.59895833333333,1.051090187185297,48729.0,6,85,87,85
27,579,23159999.99999999,81,85,4,81.98963730569949,0.8677067863458456,47472.0,5,82,85,82
28,576,23039999.99999999,81,87,6,83.73784722222223,1.8537756753274734,48233.0,6,84,81,83
29,576,23039999.99999999,83,88,5,86.36805555555556,1.1117836506272747,49748.0,6,86,83,86
30,577,23079999.99999999,84,88,4,86.50259965337955,1.0761685845588072,49912.0,4,87,88,87
31,576,23039999.99999999,82,86,4,84.08159722222223,1.090652304302464,48431.0,5,84,83,84
32,578,23119999.99999999,79,84,5,81.31314878892734,1.1678508262000766,46999.0,6,81,80,81
