Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,72,2879999.9999999986,94,95,1,94.30555555555556,0.46064233199341553,6790.0,2,94,95,94
2,564,22559999.99999999,79,95,16,90.37411347517731,5.7903781244407355,50971.0,4,95,79,94
3,576,23039999.99999999,79,84,5,83.77430555555556,1.0380434672829344,48254.0,2,84,79,84
4,576,23039999.99999999,70,84,14,80.47569444444444,6.076145828472065,46354.0,2,84,70,84
5,577,23079999.99999999,70,70,0,70.0,0.0,40390.0,1,70,70,70
6,577,23079999.99999999,53,70,17,67.7313691507799,5.781006703568873,39081.0,2,70,53,70
7,576,23039999.99999999,53,53,0,53.0,0.0,30528.0,1,53,53,53
8,576,23039999.99999999,35,53,18,52.5,2.958039891549808,30240.0,2,53,35,53
9,576,23039999.99999999,35,53,18,35.25,2.1065374432940898,20304.0,2,35,53,35
10,575,22999999.99999999,35,51,16,35.111304347826085,1.3298424370475181,20189.0,2,35,51,35
11,576,23039999.99999999,25,51,26,27.71527777777778,5.346225556466664,15964.0,4,25,51,25
12,575,22999999.99999999,25,38,13,28.68521739130435,5.858924719245374,16494.0,2,25,38,25
13,577,23079999.99999999,3,38,35,13.386481802426344,11.321274474775548,7724.0,4,3,38,15
14,576,23039999.99999999,3,15,12,10.208333333333334,5.877068193883372,5880.0,2,15,3,15
15,576,23039999.99999999,1,15,14,6.802083333333333,5.042430641152472,3918.0,4,5,3,5
16,577,23079999.99999999,1,5,4,4.674176776429809,1.0941353304153432,2697.0,2,5,1,5
17,576,23039999.99999999,1,5,4,2.8472222222222223,1.9941562001551645,1640.0,2,1,5,1
18,67,2679999.9999999986,94,94,0,94.0,0.0,6298.0,1,94,94,94
19,517,20679999.99999999,94,94,0,94.0,0.0,48598.0,1,94,94,94
20,577,23079999.99999999,79,84,5,79.01733102253033,0.29386178436400123,45593.0,2,79,84,79
21,576,23039999.99999999,63,84,21,73.11284722222223,7.881904483195315,42113.0,4,79,70,79
22,577,23079999.99999999,63,70,7,64.92894280762565,3.1275836197117544,37464.0,2,63,70,63
23,577,23079999.99999999,41,70,29,60.15424610051993,10.117616129672403,34709.0,4,63,53,63
24,576,23039999.99999999,41,53,12,48.125,5.893587617063142,27720.0,2,53,41,53
25,577,23079999.99999999,24,53,29,46.878682842287695,8.49931262374714,27049.0,4,53,24,53
26,576,23039999.99999999,24,35,11,33.98784722222222,3.1795011102360693,19577.0,2,35,24,35
27,579,23159999.99999999,25,35,10,34.41278065630397,2.3510352782018167,19925.0,2,35,25,35
28,576,23039999.99999999,25,25,0,25.0,0.0,14400.0,1,25,25,25
29,576,23039999.99999999,25,25,0,25.0,0.0,14400.0,1,25,25,25
30,577,23079999.99999999,3,25,22,4.37261698440208,5.32104278041219,2523.0,2,3,25,3
31,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
32,578,23119999.99999999,1,3,2,1.3633217993079585,0.7711296056847671,788.0,2,1,3,1
33,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
34,576,23039999.99999999,1,5,4,1.6736111111111112,0.5872471218309763,964.0,3,2,5,2
35,49,1959999.9999999988,99,99,0,99.0,0.0,4851.0,1,99,99,99
36,406,16239999.99999999,94,99,5,94.77832512315271,1.1639592500059655,38480.0,3,95,99,95
37,575,22999999.99999999,94,95,1,94.2591304347826,0.43815733766746534,54199.0,2,94,95,94
38,576,23039999.99999999,79,79,0,79.0,0.0,45504.0,1,79,79,79
39,576,23039999.99999999,63,79,16,69.83333333333333,7.914473380389177,40224.0,2,63,79,63
40,576,23039999.99999999,63,63,0,63.0,0.0,36288.0,1,63,63,63
41,576,23039999.99999999,41,63,22,53.03125,10.95155347142587,30546.0,2,63,41,63
42,578,23119999.99999999,41,41,0,41.0,0.0,23698.0,1,41,41,41
43,576,23039999.99999999,24,41,17,35.27430555555556,8.034502391835703,20318.0,2,41,24,41
44,576,23039999.99999999,24,24,0,24.0,0.0,13824.0,1,24,24,24
45,577,23079999.99999999,15,35,20,22.755632582322356,4.487329397288582,13130.0,4,24,25,24
46,577,23079999.99999999,15,25,10,17.253032928942808,4.177819037551465,9955.0,2,15,25,15
47,577,23079999.99999999,1,25,24,17.256499133448873,6.985257827170328,9957.0,4,15,3,15
48,576,23039999.99999999,1,3,2,2.0833333333333335,0.9965217285917832,1200.0,2,3,1,3
49,576,23039999.99999999,1,3,2,2.3993055555555554,0.9168179062946304,1382.0,2,3,1,3
50,576,23039999.99999999,1,3,2,1.0625,0.34798527267687634,612.0,2,1,3,1
51,575,22999999.99999999,1,1,0,1.0,0.0,575.0,1,1,1,1
52,577,23079999.99999999,1,2,1,1.8596187175043328,0.34738217861677745,1073.0,2,2,1,2
53,71,2839999.9999999986,99,99,0,99.0,0.0,7029.0,1,99,99,99
54,510,20399999.99999999,95,99,4,98.96078431372548,0.39411276945617546,50470.0,2,99,95,99
55,575,22999999.99999999,95,99,4,95.14608695652174,0.7503375421912781,54709.0,2,95,99,95
56,577,23079999.99999999,95,95,0,95.0,0.0,54815.0,1,95,95,95
57,576,23039999.99999999,79,85,6,84.65625,1.394394469832694,48762.0,2,85,79,85
58,577,23079999.99999999,63,85,22,72.48873483535529,7.302355544134074,41826.0,4,70,79,70
59,576,23039999.99999999,63,70,7,67.375,3.3888604279314896,38808.0,2,70,63,70
60,577,23079999.99999999,41,70,29,54.43847487001733,10.836428858020945,31411.0,4,41,70,54
61,577,23079999.99999999,41,54,13,45.03292894280762,6.013614586815813,25984.0,2,41,54,41
62,576,23039999.99999999,24,54,30,34.177083333333336,9.858366573274477,19686.0,4,24,33,33
63,576,23039999.99999999,24,33,9,24.140625,1.1161763343553741,13905.0,2,24,33,24
64,575,22999999.99999999,15,24,9,20.57217391304348,4.370405370236154,11829.0,2,24,15,24
65,576,23039999.99999999,15,15,0,15.0,0.0,8640.0,1,15,15,15
66,576,23039999.99999999,1,15,14,11.32986111111111,6.157274151823182,6526.0,2,15,1,15
67,575,22999999.99999999,1,1,0,1.0,0.0,575.0,1,1,1,1
68,577,23079999.99999999,1,1,0,1.0,0.0,577.0,1,1,1,1
69,576,23039999.99999999,1,1,0,1.0,0.0,576.0,1,1,1,1
70,579,23159999.99999999,1,1,0,1.0,0.0,579.0,1,1,1,1
71,576,23039999.99999999,1,2,1,1.1736111111111112,0.37877472620262875,676.0,2,1,2,1
72,322,12879999.999999993,98,99,1,98.29813664596273,0.45743981713122606,31652.0,2,98,99,98
73,576,23039999.99999999,77,95,18,94.36458333333333,2.1292594157880864,54354.0,4,95,77,95
74,577,23079999.99999999,77,95,18,84.97227036395147,1.6482522258564638,49029.0,3,85,95,85
75,577,23079999.99999999,85,85,0,85.0,0.0,49045.0,1,85,85,85
