Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,72,2879999.9999999986,0,0,0,0.0,0.0,0.0,1,0,0,0
2,564,22559999.99999999,0,1,1,0.01773049645390071,0.13197017068034322,10.0,2,0,1,0
3,576,23039999.99999999,0,1,1,0.008680555555555556,0.09276423616244824,5.0,2,0,1,0
4,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
5,577,23079999.99999999,0,1,1,0.019064124783362217,0.1367504439832157,11.0,2,0,1,0
6,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
7,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
8,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
9,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
10,575,22999999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
11,576,23039999.99999999,0,2,2,0.1909722222222222,0.5877704099254663,110.0,2,0,2,0
12,575,22999999.99999999,0,2,2,0.006956521739130435,0.11774824959868352,4.0,2,0,2,0
13,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
14,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
15,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
16,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
17,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
18,67,2679999.9999999986,0,0,0,0.0,0.0,0.0,1,0,0,0
19,517,20679999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
20,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
21,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
22,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
23,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
24,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
25,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
26,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
27,579,23159999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
28,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
29,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
30,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
31,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
32,578,23119999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
33,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
34,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
35,49,1959999.9999999988,0,0,0,0.0,0.0,0.0,1,0,0,0
36,406,16239999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
37,575,22999999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
38,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
39,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
40,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
41,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
42,578,23119999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
43,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
44,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
45,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
46,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
47,577,23079999.99999999,0,2,2,0.010398613518197574,0.14383704624780885,6.0,2,0,2,0
48,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
49,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
50,576,23039999.99999999,0,2,2,0.013888888888888888,0.1660869547652972,8.0,2,0,2,0
51,575,22999999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
52,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
53,71,2839999.9999999986,0,0,0,0.0,0.0,0.0,1,0,0,0
54,510,20399999.99999999,0,2,2,0.058823529411764705,0.3379154497963546,30.0,2,0,2,0
55,575,22999999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
56,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
57,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
58,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
59,576,23039999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
60,577,23079999.99999999,0,0,0,0.0,0.0,0.0,1,0,0,0
61,577,23079999.99999999,0,2,2,0.13518197573656845,0.5020854358663421,78.0,2,0,2,0
62,576,23039999.99999999,0,2,2,0.06597222222222222,0.35720037841456187,38.0,2,0,2,0
