HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,8,320000.0,1,1,0,1.0,0.0,8.0,1,1,1,1
031101020906,9,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
031300110704,10,66,2640000.0,0,1,1,0.12121212121212122,0.3263736246748184,8.0,2,0,1,0
031101020905,11,1,40000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110706,13,22,880000.0,0,1,1,0.5,0.5,11.0,2,0,0,0
031300110703,18,6,240000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110705,19,2,80000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110804,20,57,2280000.0,0,1,1,0.14035087719298245,0.3473506995302339,8.0,2,0,1,0
031300130504,21,5,200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031401010704,30,3,120000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130403,38,5,200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200031204,49,3,120000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031200010903,77,6,240000.0,0,1,1,0.5,0.5,3.0,2,0,0,0
030802010601,263,446,17840000.0,1,1,0,1.0,0.0,446.0,1,1,1,1
030801031605,344,11,440000.0,1,1,0,1.0,0.0,11.0,1,1,1,1
030801031606,367,50,2000000.0,1,1,0,1.0,0.0,50.0,1,1,1,1
030702050304,431,161,6440000.0,1,1,0,1.0,0.0,161.0,1,1,1,1
030702040906,477,105,4200000.0,1,1,0,1.0,0.0,105.0,1,1,1,1
030702040905,497,28,1120000.0,1,1,0,1.0,0.0,28.0,1,1,1,1
030702040907,504,170,6800000.0,1,1,0,1.0,0.0,170.0,1,1,1,1
030702030401,524,113,4520000.0,1,1,0,1.0,0.0,113.0,1,1,1,1
030702030402,576,491,19640000.0,1,1,0,1.0,0.0,491.0,1,1,1,1
030702011201,581,94,3760000.0,1,1,0,1.0,0.0,94.0,1,1,1,1
030702030503,590,1273,50920000.0,1,1,0,1.0,0.0,1273.0,1,1,1,1
030702011202,609,229,9160000.0,1,1,0,1.0,0.0,229.0,1,1,1,1
030702030502,633,278,11120000.0,1,1,0,1.0,0.0,278.0,1,1,1,1
030702030302,643,332,13280000.0,1,1,0,1.0,0.0,332.0,1,1,1,1
030702030301,653,184,7360000.0,1,1,0,1.0,0.0,184.0,1,1,1,1
030702030102,700,140,5600000.0,1,1,0,1.0,0.0,140.0,1,1,1,1
030702030201,706,627,25080000.0,1,1,0,1.0,0.0,627.0,1,1,1,1
030702030101,743,31,1240000.0,1,1,0,1.0,0.0,31.0,1,1,1,1
030701060502,752,987,39480000.0,0,1,1,0.9989868287740629,0.0318142218198731,986.0,2,1,0,1
030602040501,848,708,28320000.0,1,1,0,1.0,0.0,708.0,1,1,1,1
030602040502,871,958,38320000.0,0,1,1,0.9947807933194155,0.07205530211032263,953.0,2,1,0,1
030602040401,899,391,15640000.0,1,1,0,1.0,0.0,391.0,1,1,1,1
030602040301,982,418,16720000.0,1,1,0,1.0,0.0,418.0,1,1,1,1
030602040201,1000,1095,43800000.0,1,1,0,1.0,0.0,1095.0,1,1,1,1
030602040602,1045,610,24400000.0,1,1,0,1.0,0.0,610.0,1,1,1,1
030602040601,1078,338,13520000.0,1,1,0,1.0,0.0,338.0,1,1,1,1
030601100303,1143,549,21960000.0,1,1,0,1.0,0.0,549.0,1,1,1,1
030602040101,1165,539,21560000.0,1,1,0,1.0,0.0,539.0,1,1,1,1
030601100202,1171,1098,43920000.0,1,1,0,1.0,0.0,1098.0,1,1,1,1
030601100302,1179,1009,40360000.0,1,1,0,1.0,0.0,1009.0,1,1,1,1
030601100305,1180,6,240000.0,1,1,0,1.0,0.0,6.0,1,1,1,1
030601100301,1185,994,39760000.0,1,1,0,1.0,0.0,994.0,1,1,1,1
030601100304,1196,984,39360000.0,0,1,1,0.9979674796747967,0.045037641882439756,982.0,2,1,0,1
030601100201,1218,317,12680000.0,1,1,0,1.0,0.0,317.0,1,1,1,1
030502080606,1238,1413,56520000.0,1,1,0,1.0,0.0,1413.0,1,1,1,1
030502080607,1276,1300,52000000.0,1,1,0,1.0,0.0,1300.0,1,1,1,1
030502100104,1277,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
030502080608,1279,633,25320000.0,1,1,0,1.0,0.0,633.0,1,1,1,1
030601100103,1280,26,1040000.0,1,1,0,1.0,0.0,26.0,1,1,1,1
030502100102,1282,830,33200000.0,1,1,0,1.0,0.0,830.0,1,1,1,1
030502080503,1292,896,35840000.0,1,1,0,1.0,0.0,896.0,1,1,1,1
030502080501,1297,422,16880000.0,1,1,0,1.0,0.0,422.0,1,1,1,1
030502100103,1312,1,40000.0,1,1,0,1.0,0.0,1.0,1,1,1,1
030502100101,1314,331,13240000.0,1,1,0,1.0,0.0,331.0,1,1,1,1
030502080604,1320,843,33720000.0,1,1,0,1.0,0.0,843.0,1,1,1,1
030502080502,1329,712,28480000.0,1,1,0,1.0,0.0,712.0,1,1,1,1
030502071106,1345,10,400000.0,1,1,0,1.0,0.0,10.0,1,1,1,1
030502071103,1346,1236,49440000.0,1,1,0,1.0,0.0,1236.0,1,1,1,1
030502080605,1349,1057,42280000.0,1,1,0,1.0,0.0,1057.0,1,1,1,1
030502080603,1362,509,20360000.0,1,1,0,1.0,0.0,509.0,1,1,1,1
030502071104,1369,51,2040000.0,1,1,0,1.0,0.0,51.0,1,1,1,1
030502080406,1374,142,5680000.0,1,1,0,1.0,0.0,142.0,1,1,1,1
030502071102,1378,857,34280000.0,1,1,0,1.0,0.0,857.0,1,1,1,1
