HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,546,21840000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101010503,2,2580,103200000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050804,3,1725,69000000.0,0,1,1,0.07942028985507246,0.2703936157057129,137.0,2,0,1,0
031102050805,4,1011,40440000.0,0,1,1,0.39861523244312563,0.4896132442116313,403.0,2,0,1,0
031101020903,5,1750,70000000.0,0,1,1,0.008571428571428572,0.0921843760280096,15.0,2,0,1,0
031102050803,6,2172,86880000.0,0,1,1,0.2923572744014733,0.45484557654880514,635.0,2,0,1,0
031102050802,7,2850,114000000.0,0,1,1,0.024912280701754386,0.15585781652516303,71.0,2,0,1,0
031102050704,8,3040,121600000.0,0,1,1,0.1730263157894737,0.3782700223832111,526.0,2,0,1,0
031101020906,9,2550,102000000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110704,10,3283,131320000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020905,11,2686,107440000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050703,12,1596,63840000.0,0,1,1,0.03320802005012531,0.17917937229066236,53.0,2,0,1,0
031300110706,13,1244,49760000.0,0,1,1,0.34485530546623794,0.4753210743886975,429.0,2,0,1,0
031101020904,14,1515,60600000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050702,15,1938,77520000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020804,16,975,39000000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101010201,17,3166,126640000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110703,18,1650,66000000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110705,19,1161,46440000.0,0,1,1,0.34194659776055125,0.4743618049975515,397.0,2,0,1,0
031300110804,20,1446,57840000.0,0,1,1,0.9495159059474412,0.21894165958138542,1373.0,2,1,0,1
031300130504,21,1968,78720000.0,0,1,1,0.9847560975609756,0.12252153230128114,1938.0,2,1,0,1
031101020902,22,3312,132480000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031102050701,23,3933,157320000.0,0,1,1,0.23976608187134502,0.4269406373905025,943.0,2,0,1,0
031101020805,24,1253,50120000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300110702,25,1152,46080000.0,0,1,1,0.296875,0.4568809849129202,342.0,2,0,1,0
031101020901,26,2618,104720000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031101020506,27,968,38720000.0,0,0,0,0.0,0.0,0.0,1,0,0,0
031300130305,28,1988,79520000.0,0,1,1,0.9069416498993964,0.290514188254476,1803.0,2,1,0,1
031102050604,29,3321,132840000.0,0,1,1,0.036133694670280034,0.18662274989870611,120.0,2,0,1,0
