HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,546,21840000.0,0,2,2,0.8809523809523809,0.6423142464082668,481.0,3,1,2,1
031101010503,2,2580,103200000.0,0,2,2,1.4348837209302325,0.4965229742907753,3702.0,3,1,0,1
031102050804,3,1725,69000000.0,1,2,1,1.08,0.2712931993250105,1863.0,2,1,2,1
031102050805,4,1011,40440000.0,0,2,2,0.820969337289812,0.5838202998202034,830.0,3,1,2,1
031101020903,5,1750,70000000.0,0,1,1,0.7154285714285714,0.4512100737043056,1252.0,2,1,0,1
031102050803,6,2172,86880000.0,0,2,2,0.9884898710865562,0.48204991544855724,2147.0,3,1,2,1
031102050802,7,2850,114000000.0,0,2,2,0.9564912280701754,0.3887022548243184,2726.0,3,1,2,1
031102050704,8,3040,121600000.0,0,2,2,0.8598684210526316,0.40242028769700283,2614.0,3,1,2,1
031101020906,9,2550,102000000.0,0,1,1,0.38784313725490194,0.48725849211601974,989.0,2,0,1,0
031300110704,10,3283,131320000.0,0,1,1,0.3167834297898264,0.4652221925063555,1040.0,2,0,1,0
031101020905,11,2686,107440000.0,0,1,1,0.379746835443038,0.4853237851311598,1020.0,2,0,1,0
031102050703,12,1596,63840000.0,0,2,2,0.9699248120300752,0.2408167896479462,1548.0,3,1,2,1
031300110706,13,1244,49760000.0,0,1,1,0.6543408360128617,0.4755827018919537,814.0,2,1,0,1
031101020904,14,1515,60600000.0,0,1,1,0.3432343234323432,0.4747889243129886,520.0,2,0,1,0
031102050702,15,1938,77520000.0,0,2,2,0.20743034055727555,0.41052522620398424,402.0,3,0,2,0
031101020804,16,975,39000000.0,0,1,1,0.36,0.48,351.0,2,0,1,0
031101010201,17,3166,126640000.0,0,2,2,0.6178142766898295,0.6733711482877754,1956.0,3,0,2,1
031300110703,18,1650,66000000.0,0,1,1,0.3484848484848485,0.47649046040958754,575.0,2,0,1,0
031300110705,19,1161,46440000.0,0,1,1,0.11714039621016366,0.32158750564331556,136.0,2,0,1,0
031300110804,20,1446,57840000.0,0,2,2,0.9024896265560166,0.8750621544193843,1305.0,3,0,1,1
031300130504,21,1968,78720000.0,0,2,2,0.8216463414634146,0.6956594030176982,1617.0,3,1,2,1
031101020902,22,3312,132480000.0,0,1,1,0.5018115942028986,0.49999671811567326,1662.0,2,1,0,1
031102050701,23,3933,157320000.0,0,2,2,0.19755911517925248,0.4019709158817062,777.0,3,0,2,0
031101020805,24,1253,50120000.0,0,1,1,0.3750997605746209,0.4841486653823213,470.0,2,0,1,0
031300110702,25,1152,46080000.0,0,1,1,0.07552083333333333,0.2642298943457614,87.0,2,0,1,0
031101020901,26,2618,104720000.0,0,1,1,0.5645530939648586,0.49581538707422557,1478.0,2,1,0,1
031101020506,27,968,38720000.0,0,1,1,0.3605371900826446,0.4801563543784,349.0,2,0,1,0
031300130305,28,1988,79520000.0,0,2,2,0.5105633802816901,0.6915624601762246,1015.0,3,0,2,0
031102050604,29,3321,132840000.0,0,1,1,0.18458295694068053,0.38795887533051154,613.0,2,0,1,0
031401010704,30,4003,160120000.0,0,1,1,0.2533100174868848,0.4349069469756478,1014.0,2,0,1,0
031300130402,31,790,31600000.0,0,1,1,0.6177215189873417,0.4859440749379634,488.0,2,1,0,1
031300130503,32,1780,71200000.0,0,2,2,0.5241573033707865,0.706296415778137,933.0,3,0,2,0
031300130502,33,1699,67960000.0,0,2,2,0.5762213066509712,0.6422808005187057,979.0,3,0,2,0
031101020802,34,1795,71800000.0,0,1,1,0.2607242339832869,0.4390297345250264,468.0,2,0,1,0
031101020803,35,2197,87880000.0,0,1,1,0.22576240327719618,0.41808341338027366,496.0,2,0,1,0
031102050603,36,3797,151880000.0,0,1,1,0.11008691071898867,0.31299805559673705,418.0,2,0,1,0
031300110701,37,2583,103320000.0,0,1,1,0.2659698025551684,0.44184823942608753,687.0,2,0,1,0
031300130403,38,946,37840000.0,0,1,1,0.25898520084566595,0.43807746642414286,245.0,2,0,1,0
031300130304,39,2373,94920000.0,0,2,2,0.4108723135271808,0.4971047631200541,975.0,3,0,2,0
031101020605,40,2441,97640000.0,0,1,1,0.23924621056943876,0.4266233248400778,584.0,2,0,1,0
031300110803,41,1680,67200000.0,0,2,2,1.0035714285714286,0.8884103551758464,1686.0,3,2,1,1
031102050602,42,1524,60960000.0,0,1,1,0.23556430446194226,0.42435099024899614,359.0,2,0,1,0
031101020505,43,1603,64120000.0,0,1,1,0.3686837180286962,0.48244795998038276,591.0,2,0,1,0
031401010702,44,2075,83000000.0,0,1,1,0.15036144578313254,0.35742535081487803,312.0,2,0,1,0
031200031203,45,1519,60760000.0,0,1,1,0.5622119815668203,0.4961145728050423,854.0,2,1,0,1
031300130501,46,1283,51320000.0,0,2,2,1.133281371784879,0.7758076702706718,1454.0,3,1,0,1
031300130401,47,1568,62720000.0,0,1,1,0.8054846938775511,0.39582711100496754,1263.0,2,1,0,1
031300110802,48,1860,74400000.0,0,2,2,1.4446236559139785,0.6765250539985267,2687.0,3,2,0,2
031200031204,49,1480,59200000.0,0,2,2,0.577027027027027,0.5618616010451322,854.0,3,1,2,1
031101020503,50,1447,57880000.0,0,1,1,0.4360746371803732,0.49589671100782573,631.0,2,0,1,0
031102060701,51,1793,71720000.0,0,1,1,0.31065253764640266,0.46276077891309353,557.0,2,0,1,0
031300130303,52,1942,77680000.0,0,2,2,0.9505664263645726,0.5922840535312898,1846.0,3,1,2,1
031102050601,53,2394,95760000.0,0,1,1,0.3053467000835422,0.4605541149871897,731.0,2,0,1,0
031300130302,54,698,27920000.0,0,2,2,1.2063037249283668,0.5743967355033439,842.0,3,1,0,1
031401010703,55,3804,152160000.0,0,1,1,0.12302839116719243,0.328469794857921,468.0,2,0,1,0
031102060703,56,965,38600000.0,0,1,1,0.41036269430051814,0.491899535908439,396.0,2,0,1,0
031300130203,57,810,32400000.0,0,2,2,1.6098765432098765,0.49779884337162217,1304.0,3,2,0,2
031300120606,58,1145,45800000.0,0,1,1,0.11790393013100436,0.32249433078841494,135.0,2,0,1,0
030801021101,59,1514,60560000.0,0,1,1,0.5191545574636723,0.4996329682160405,786.0,2,1,0,1
031200031202,60,1311,52440000.0,0,2,2,0.7993897787948131,0.612755036847163,1048.0,3,1,2,1
031102050504,61,3260,130400000.0,0,1,1,0.10214723926380367,0.3028418411887415,333.0,2,0,1,0
031102050503,62,902,36080000.0,0,1,1,0.753880266075388,0.43074912710009083,680.0,2,1,0,1
031101020703,63,1649,65960000.0,0,1,1,0.25894481503941785,0.4380552451502202,427.0,2,0,1,0
031101020504,64,1976,79040000.0,0,1,1,0.36791497975708504,0.4822380609485617,727.0,2,0,1,0
031300110605,65,524,20960000.0,0,2,2,1.4713740458015268,0.5705404741197793,771.0,3,2,0,2
031101020801,66,2407,96280000.0,0,1,1,0.35230577482343167,0.4776886180866079,848.0,2,0,1,0
031102050501,67,1199,47960000.0,0,1,1,0.7581317764804003,0.4282148829397136,909.0,2,1,0,1
031102060302,68,2115,84600000.0,0,1,1,0.07565011820330969,0.26443747430940073,160.0,2,0,1,0
031300110801,69,1810,72400000.0,1,2,1,1.7513812154696133,0.4322123141570812,3170.0,2,2,1,2
031102060505,70,2165,86600000.0,0,1,1,0.07390300230946882,0.26161297475300316,160.0,2,0,1,0
031102060504,71,2773,110920000.0,0,1,1,0.01730977280923188,0.13042294496952847,48.0,2,0,1,0
031200031201,72,1023,40920000.0,0,2,2,1.2854349951124144,0.6458022823630712,1315.0,3,1,0,1
031101020501,73,2509,100360000.0,0,1,1,0.3260263053009167,0.46875703040354516,818.0,2,0,1,0
031200030903,74,1239,49560000.0,0,2,2,1.5318805488297014,0.5257614627137678,1898.0,3,2,0,2
031300130202,75,911,36440000.0,0,2,2,1.5817782656421515,0.49769779448165,1441.0,3,2,0,2
031300130301,76,546,21840000.0,0,2,2,1.3681318681318682,0.585235769316708,747.0,3,1,0,1
031200010903,77,771,30840000.0,0,2,2,0.556420233463035,0.6029496452985973,429.0,3,0,2,0
031101020403,78,882,35280000.0,0,1,1,0.6848072562358276,0.46459259361572386,604.0,2,1,0,1
031300110604,79,1648,65920000.0,0,2,2,1.4945388349514563,0.5942436499300078,2463.0,3,2,0,2
031102050502,80,2032,81280000.0,0,1,1,0.203248031496063,0.40241554292675924,413.0,2,0,1,0
031200031101,81,1258,50320000.0,0,2,2,0.7432432432432432,0.5806002373288369,935.0,3,1,2,1
031300130201,82,638,25520000.0,1,2,1,1.8244514106583072,0.3804356478063463,1164.0,2,2,1,2
031200031102,83,1437,57480000.0,0,2,2,0.9283228949199722,0.6173197607161166,1334.0,3,1,2,1
031300120605,84,1216,48640000.0,0,1,1,0.03618421052631579,0.18674826220049023,44.0,2,0,1,0
031101020701,85,1735,69400000.0,0,1,1,0.09164265129682997,0.28852084111917736,159.0,2,0,1,0
031102060506,86,1955,78200000.0,0,1,1,0.09514066496163683,0.29340913215558645,186.0,2,0,1,0
031102060704,87,3245,129800000.0,0,1,1,0.14915254237288136,0.3562387703164651,484.0,2,0,1,0
030801030601,88,2447,97880000.0,0,1,1,0.48957907642010623,0.49989139255616516,1198.0,2,0,1,0
031101020602,89,2124,84960000.0,0,1,1,0.051318267419962336,0.22064610318103414,109.0,2,0,1,0
031101020604,90,3459,138360000.0,0,1,1,0.1566926857473258,0.3635107811064421,542.0,2,0,1,0
