HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,561,22440000.0,0,1,1,0.4028520499108734,0.4904714831603164,226.0,2,0,1,0
031101010503,2,2580,103200000.0,0,1,1,0.05271317829457364,0.22346028534989865,136.0,2,0,1,0
031102050804,3,1725,69000000.0,0,1,1,0.1344927536231884,0.34118096788367425,232.0,2,0,1,0
031102050805,4,1013,40520000.0,0,1,1,0.5478775913129319,0.49770245754875664,555.0,2,1,0,1
031101020903,5,1753,70120000.0,0,1,1,0.21734169994295494,0.412437007807085,381.0,2,0,1,0
031102050803,6,2172,86880000.0,0,1,1,0.20810313075506445,0.40595100409409635,452.0,2,0,1,0
031102050802,7,2850,114000000.0,0,1,1,0.10631578947368421,0.30824137032895416,303.0,2,0,1,0
031102050704,8,3040,121600000.0,0,1,1,0.18223684210526317,0.3860396035185568,554.0,2,0,1,0
031101020906,9,2553,102120000.0,0,1,1,0.3975714845280063,0.48939595341420994,1015.0,2,0,1,0
031300110704,10,3342,133680000.0,0,1,1,0.42010771992818674,0.4935759552337684,1404.0,2,0,1,0
031101020905,11,2695,107800000.0,0,1,1,0.3803339517625232,0.4854688835540604,1025.0,2,0,1,0
031102050703,12,1596,63840000.0,0,1,1,0.13784461152882205,0.3447368193293113,220.0,2,0,1,0
031300110706,13,1262,50480000.0,0,1,1,0.8074484944532488,0.39430371955946675,1019.0,2,1,0,1
031101020904,14,1515,60600000.0,0,1,1,0.35445544554455444,0.47834797236777943,537.0,2,0,1,0
031102050702,15,1938,77520000.0,0,1,1,0.1021671826625387,0.30286803966304887,198.0,2,0,1,0
031101020804,16,975,39000000.0,0,1,1,0.16307692307692306,0.3694358404874741,159.0,2,0,1,0
031101010201,17,3166,126640000.0,0,1,1,0.2488945041061276,0.4323725591800345,788.0,2,0,1,0
031300110703,18,1657,66280000.0,0,1,1,0.3723596861798431,0.48343350141244024,617.0,2,0,1,0
031300110705,19,1161,46440000.0,0,1,1,0.11972437553832903,0.32463895243837604,139.0,2,0,1,0
031300110804,20,1456,58240000.0,0,1,1,0.6531593406593407,0.4759645116695109,951.0,2,1,0,1
031300130504,21,2023,80920000.0,0,1,1,0.7098368759268413,0.453837510020121,1436.0,2,1,0,1
031101020902,22,3312,132480000.0,0,1,1,0.21165458937198067,0.40848124090312754,701.0,2,0,1,0
031102050701,23,3933,157320000.0,0,1,1,0.09331299262649377,0.29087055202199774,367.0,2,0,1,0
031101020805,24,1261,50440000.0,0,1,1,0.06106264869151467,0.23944519545459944,77.0,2,0,1,0
031300110702,25,1152,46080000.0,0,1,1,0.171875,0.37727176461405115,198.0,2,0,1,0
031101020901,26,2618,104720000.0,0,1,1,0.5515660809778457,0.4973338308345676,1444.0,2,1,0,1
031101020506,27,972,38880000.0,0,1,1,0.35288065843621397,0.4778659847047476,343.0,2,0,1,0
031300130305,28,2027,81080000.0,0,1,1,0.6783423778983719,0.467112402153437,1375.0,2,1,0,1
031102050604,29,3321,132840000.0,0,1,1,0.2646793134598013,0.4411622994842709,879.0,2,0,1,0
031401010704,30,4078,163120000.0,0,1,1,0.3719960765080922,0.4833373517230774,1517.0,2,0,1,0
031300130402,31,805,32200000.0,0,1,1,0.5416149068322982,0.4982651899634763,436.0,2,1,0,1
031300130503,32,1826,73040000.0,0,1,1,0.6538882803943045,0.4757293318235527,1194.0,2,1,0,1
031300130502,33,1699,67960000.0,0,1,1,0.6680400235432608,0.47091671289898,1135.0,2,1,0,1
031101020802,34,1795,71800000.0,0,1,1,0.0596100278551532,0.2367629034166059,107.0,2,0,1,0
031101020803,35,2197,87880000.0,0,1,1,0.21939007737824306,0.41383338594923874,482.0,2,0,1,0
031102050603,36,3797,151880000.0,0,1,1,0.21227284698446142,0.4089169664095302,806.0,2,0,1,0
031300110701,37,2583,103320000.0,0,1,1,0.3155245838172667,0.46472445688193276,815.0,2,0,1,0
031300130403,38,996,39840000.0,0,1,1,0.12248995983935743,0.3278508343407258,122.0,2,0,1,0
031300130304,39,2386,95440000.0,0,1,1,0.6257334450963956,0.48393295071134773,1493.0,2,1,0,1
031101020605,40,2441,97640000.0,0,1,1,0.07742728390004097,0.2672682166062838,189.0,2,0,1,0
