HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031403010101,888,10,400000.0,4,4,0,4.0,0.0,40.0,1,4,4,4
031501100701,947,323,12920000.0,0,4,4,3.975232198142415,0.3137798008500289,1284.0,2,4,0,4
030701031403,1399,110,4400000.0,0,4,4,3.6,1.1999999999999995,396.0,2,4,0,4
030701031602,1400,430,17200000.0,0,5,5,3.1209302325581394,1.548976877563228,1342.0,6,4,2,3
030701031501,1402,88,3520000.0,0,4,4,3.6818181818181817,1.0823528090718788,324.0,2,4,0,4
031300051001,1410,551,22040000.0,0,4,4,3.7459165154264973,0.9755898324403541,2064.0,2,4,0,4
030701031604,1421,242,9680000.0,0,4,4,3.9008264462809916,0.6219797594124555,944.0,2,4,0,4
031300050904,1424,735,29400000.0,0,4,4,3.5564625850340135,1.2263583626469607,2614.0,3,4,3,4
030701031306,1440,59,2360000.0,4,4,0,4.0,0.0,236.0,1,4,4,4
030701031601,1441,1894,75760000.0,0,5,5,3.0570221752903906,1.5502565794156322,5790.0,6,4,1,4
030701031402,1446,35,1400000.0,0,4,4,3.8857142857142857,0.6663945022680355,136.0,2,4,0,4
030701031401,1449,1078,43120000.0,0,4,4,3.50278293135436,1.3197134011708738,3776.0,2,4,0,4
031300050903,1461,265,10600000.0,0,4,4,3.6830188679245284,1.0804848403425373,976.0,2,4,0,4
030701031307,1467,347,13880000.0,0,5,5,3.622478386167147,0.9833552346656683,1257.0,6,4,5,4
030701031603,1475,1435,57400000.0,0,5,5,3.3372822299651568,1.3400180457198916,4789.0,6,4,5,4
030701020501,1476,491,19640000.0,0,4,4,3.4460285132382893,1.381666218339966,1692.0,2,4,0,4
031300020703,1479,20,800000.0,0,3,3,2.2,0.8717797887081344,44.0,3,2,0,2
030701031203,1487,804,32160000.0,0,5,5,3.638059701492537,0.9474208069756853,2925.0,6,4,5,4
031300050501,1489,18,720000.0,0,4,4,3.611111111111111,0.9509579315902048,65.0,3,4,0,4
031300050402,1496,37,1480000.0,0,4,4,3.7837837837837838,0.9044973259827851,140.0,2,4,0,4
031300020702,1500,789,31560000.0,0,4,4,3.5665399239543727,1.1029150532532033,2814.0,4,4,2,4
030701031201,1503,1179,47160000.0,0,4,4,3.5589482612383376,1.252868835426105,4196.0,2,4,0,4
030701031202,1507,51,2040000.0,0,4,4,3.6862745098039214,1.075396800062909,188.0,2,4,0,4
030701011703,1520,403,16120000.0,0,4,4,3.880893300248139,0.6798826318429254,1564.0,2,4,0,4
031300050601,1522,654,26160000.0,0,4,4,3.7003058103975537,1.0530717692200844,2420.0,2,4,0,4
031300050304,1534,119,4760000.0,0,4,4,3.495798319327731,1.3276247165130417,416.0,2,4,0,4
031300050902,1535,955,38200000.0,0,4,4,3.4848167539267014,1.3398952224926295,3328.0,2,4,0,4
030701031204,1537,194,7760000.0,0,4,4,3.9587628865979383,0.4040395452013482,768.0,2,4,0,4
031300020701,1541,960,38400000.0,0,4,4,3.609375,1.1458783135110813,3465.0,3,4,3,4
031300050108,1554,237,9480000.0,0,4,4,3.9156118143459917,0.574831607288655,928.0,2,4,0,4
031300050901,1557,1316,52640000.0,0,4,4,2.662613981762918,1.8870460278361765,3504.0,2,4,0,4
030701031105,1563,703,28120000.0,0,4,4,3.52773826458037,1.2907423425831202,2480.0,2,4,0,4
031300020501,1572,1714,68560000.0,0,4,4,3.7263710618436408,0.9319519508764994,6387.0,5,4,1,4
031300050303,1578,424,16960000.0,0,4,4,3.6132075471698113,1.1821850150269884,1532.0,2,4,0,4
031300050305,1590,843,33720000.0,0,4,4,3.634638196915777,1.152370585004641,3064.0,2,4,0,4
030701031005,1594,160,6400000.0,0,4,4,2.93125,1.3468568734279083,469.0,5,4,1,3
030701031104,1595,1161,46440000.0,0,4,4,3.0697674418604652,1.6898513604265069,3564.0,2,4,0,4
031300020503,1603,1414,56560000.0,0,5,5,3.371994342291372,1.2210816083165115,4768.0,6,4,5,4
030701031302,1606,58,2320000.0,1,5,4,2.0344827586206895,1.202949209828442,118.0,4,1,5,2
031300050206,1608,1945,77800000.0,0,4,4,3.59280205655527,1.2095377665179796,6988.0,2,4,0,4
030701031004,1609,1617,64680000.0,0,5,5,3.507111935683364,1.1707019741988562,5671.0,6,4,1,4
030701031006,1611,344,13760000.0,0,4,4,3.802325581395349,0.8669616477376133,1308.0,2,4,0,4
031300050107,1619,2285,91400000.0,0,4,4,2.975929978118162,1.745726404053706,6800.0,2,4,0,4
030701031106,1620,473,18920000.0,0,4,4,3.890063424947146,0.6539573760399563,1840.0,2,4,0,4
031300020502,1627,1133,45320000.0,0,4,4,3.1844660194174756,1.611533508446325,3608.0,2,4,0,4
030701011701,1629,479,19160000.0,0,5,5,2.9457202505219207,1.243428426405835,1411.0,6,4,5,3
031300050302,1641,1950,78000000.0,0,4,4,3.2056410256410257,1.558851968879983,6251.0,5,4,1,4
030701031001,1647,1631,65240000.0,0,4,4,3.484978540772532,1.3397159152018319,5684.0,2,4,0,4
030701031102,1650,2140,85600000.0,0,5,5,3.5168224299065423,1.1665898847165899,7526.0,6,4,5,4
030701011606,1654,385,15400000.0,0,4,4,3.8857142857142857,0.6663945022680352,1496.0,2,4,0,4
031300050106,1658,634,25360000.0,0,4,4,3.6293375394321767,1.1454851174091847,2301.0,3,4,3,4
031300020403,1662,2063,82520000.0,0,4,4,2.8133785748909355,1.8271330805139485,5804.0,2,4,0,4
030701031003,1666,521,20840000.0,0,5,5,3.3877159309021114,1.6761173154637066,1765.0,6,5,0,4
031300050301,1668,1134,45360000.0,0,4,4,1.7777777777777777,1.987615979999813,2016.0,2,0,4,0
030701031101,1681,1881,75240000.0,0,5,5,3.24455077086656,1.42423518100936,6103.0,6,4,5,4
031300050205,1682,2544,101760000.0,0,5,5,2.9398584905660377,1.6312830093839144,7479.0,6,4,5,4
030701031103,1683,1636,65440000.0,0,5,5,2.4834963325183375,1.9170695088651037,4063.0,6,4,5,4
031300050105,1687,1302,52080000.0,0,4,4,2.93394777265745,1.7685422126565677,3820.0,2,4,0,4
030701011503,1689,558,22320000.0,0,5,5,2.772401433691756,1.5726692272532068,1547.0,6,4,5,3
030701030903,1693,854,34160000.0,0,4,4,3.873536299765808,0.6999012312175514,3308.0,2,4,0,4
030701011604,1694,1211,48440000.0,0,4,4,3.541701073492981,1.2030253961873296,4289.0,3,4,3,4
031300020401,1695,365,14600000.0,0,4,4,3.797260273972603,0.8679960549654252,1386.0,3,4,3,4
030701030901,1698,1464,58560000.0,0,5,5,2.9378415300546448,1.6992733056330296,4301.0,6,4,5,4
031300050202,1703,1529,61160000.0,0,4,4,2.8574231523871814,1.7775061062153075,4369.0,5,4,1,4
030701011501,1704,424,16960000.0,0,5,5,3.3419811320754715,1.7506149430669455,1417.0,6,5,4,3
030701030902,1707,2075,83000000.0,0,4,4,3.584578313253012,1.1797297027615599,7438.0,4,4,2,4
030701011605,1710,562,22480000.0,0,4,4,3.6654804270462633,1.10732784085193,2060.0,2,4,0,4
031300050203,1711,2010,80400000.0,0,5,5,1.9019900497512439,1.9393403042842663,3823.0,6,0,5,1
031300050104,1722,2664,106560000.0,0,5,5,2.46021021021021,1.8475881407374453,6554.0,6,4,5,4
031300020404,1724,429,17160000.0,0,4,4,3.878787878787879,0.6856793029687739,1664.0,2,4,0,4
030701011803,1727,542,21680000.0,0,5,5,2.9870848708487086,1.495941369009095,1619.0,6,4,5,4
030701030302,1729,1625,65000000.0,0,5,5,2.5206153846153847,1.866557404522748,4096.0,6,4,5,4
031300020402,1732,2959,118360000.0,0,5,5,3.5582967218654953,1.1799401717378606,10529.0,6,4,5,4
