HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,2231,89239999.99999997,1,4,3,1.3908561183325863,0.49069031991223705,3103.0,3,1,4,1
031101010503,2,856,34239999.999999985,1,2,1,1.0058411214953271,0.07620369279112316,861.0,2,1,2,1
031102050804,3,2130,85199999.99999997,2,4,2,2.006572769953052,0.11446544719367131,4274.0,2,2,4,2
031102050805,4,2759,110359999.99999996,1,4,3,3.6342877854295033,0.8027671370298913,10027.0,3,4,1,4
031101020903,5,3300,131999999.99999996,1,4,3,1.9103030303030304,0.2889110678778714,6304.0,3,2,4,2
031102050803,6,2559,102359999.99999997,2,4,2,3.995310668229777,0.09672990079594658,10224.0,2,4,2,4
031102050802,7,1397,55879999.99999998,1,4,3,1.712956335003579,0.45710449249880286,2393.0,3,2,4,2
031102050704,8,2106,84239999.99999997,2,4,2,2.0018993352326686,0.06160408258395575,4216.0,2,2,4,2
031101020906,9,4184,167359999.99999994,1,1,0,1.0,0.0,4184.0,1,1,1,1
031300110704,10,3423,136919999.99999994,1,1,0,1.0,0.0,3423.0,1,1,1,1
031101020905,11,4313,172519999.99999994,1,1,0,1.0,0.0,4313.0,1,1,1,1
031102050703,12,357,14279999.999999994,2,4,2,2.022408963585434,0.21051310059446426,722.0,2,2,4,2
031300110706,13,2594,103759999.99999996,1,2,1,1.8369313801079414,0.3694282678661146,4765.0,2,2,1,2
031101020904,14,2234,89359999.99999997,1,1,0,1.0,0.0,2234.0,1,1,1,1
031102050702,15,1,39999.999999999985,2,2,0,2.0,0.0,2.0,1,2,2,2
031101020804,16,1237,49479999.999999985,1,1,0,1.0,0.0,1237.0,1,1,1,1
031101010201,17,993,39719999.999999985,1,1,0,1.0,0.0,993.0,1,1,1,1
031300110703,18,1887,75479999.99999997,1,2,1,1.0021197668256492,0.04599210165076182,1891.0,2,1,2,1
031300110705,19,2409,96359999.99999997,1,2,1,1.9966791199667913,0.05753131137922828,4810.0,2,2,1,2
031300110804,20,3411,136439999.99999994,1,4,3,2.62532981530343,0.9276323410571953,8955.0,3,2,1,2
031300130504,21,1733,69319999.99999997,1,2,1,1.0028851702250432,0.05363623791631855,1738.0,2,1,2,1
031101020902,22,3820,152799999.99999994,1,4,3,1.9979057591623037,0.06050236046041626,7632.0,3,2,4,2
031102050701,23,3372,134879999.99999994,2,4,2,3.9958481613285883,0.09102988288726575,13474.0,2,4,2,4
031101020805,24,1538,61519999.99999998,1,1,0,1.0,0.0,1538.0,1,1,1,1
031300110702,25,1578,63119999.99999998,1,2,1,1.996831432192649,0.05620078278281572,3151.0,2,2,1,2
031101020901,26,3314,132559999.99999996,1,1,0,1.0,0.0,3314.0,1,1,1,1
031101020506,27,1568,62719999.99999998,1,1,0,1.0,0.0,1568.0,1,1,1,1
