HUC12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
031101010504,1,2185,87399999.99999997,1,6,5,1.3926773455377575,0.5244951097487857,3043.0,3,1,6,1
031101010503,2,853,34119999.999999985,1,6,5,1.0550996483001172,0.4649626748623127,900.0,3,1,6,1
031102050804,3,2124,84959999.99999997,2,6,4,5.991525423728813,0.17607279143783322,12726.0,3,6,3,6
031102050805,4,2730,109199999.99999996,1,6,5,5.158241758241759,1.8192740532275748,14082.0,4,6,3,6
031101020903,5,3272,130879999.99999996,1,6,5,2.5430929095354524,0.6661396423818801,8321.0,4,3,6,3
031102050803,6,2559,102359999.99999997,3,6,3,5.981242672919109,0.2364744043727675,15306.0,2,6,3,6
031102050802,7,1393,55719999.99999998,2,6,4,4.897343862167983,1.7873930717750495,6822.0,2,6,2,6
031102050704,8,2106,84239999.99999997,2,6,4,5.993827160493828,0.14275766110306487,12623.0,3,6,2,6
031101020906,9,4145,165799999.99999994,1,2,1,1.9741857659831121,0.15858076598064824,8183.0,2,2,1,2
031300110704,10,3382,135279999.99999994,1,6,5,5.2894736842105265,1.729796382321542,17889.0,3,6,2,6
031101020905,11,3935,157399999.99999994,1,2,1,1.2127064803049554,0.4092217412861067,4772.0,2,1,2,1
031102050703,12,356,14239999.999999994,6,6,0,6.0,0.0,2136.0,1,6,6,6
031300110706,13,2599,103959999.99999996,1,6,5,5.213158907272028,1.7561971803069933,13549.0,3,6,2,6
031101020904,14,2164,86559999.99999997,1,4,3,1.017097966728281,0.19030010256088375,2201.0,3,1,4,1
031102050702,15,13,519999.9999999998,6,6,0,6.0,0.0,78.0,1,6,6,6
031101020804,16,1237,49479999.999999985,1,4,3,3.9878738884397738,0.19034519195164093,4933.0,2,4,1,4
031101010201,17,993,39719999.999999985,4,4,0,4.0,0.0,3972.0,1,4,4,4
031300110703,18,1887,75479999.99999997,1,6,5,5.883942766295707,0.7249009821528831,11103.0,3,6,3,6
031300110705,19,2408,96319999.99999997,6,6,0,6.0,0.0,14448.0,1,6,6,6
031300110804,20,3414,136559999.99999994,1,6,5,3.7431165787932046,1.6219887370969543,12779.0,4,3,1,3
031300130504,21,1731,69239999.99999997,1,3,2,1.240323512420566,0.46483842930317715,2147.0,3,1,3,1
031101020902,22,3820,152799999.99999994,1,3,2,2.999476439790576,0.03235500430465698,11458.0,2,3,1,3
