HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area,bounds
031101010504,Barnett Creek-Black Point Swamp Frontal,Suwannee,Aucilla-Waccasassa,Waccasassa,89241.97308297631,369090417.23046875,"-83.145,29.050,-82.964,29.323"
031101010503,Wilder Creek-King Creek Frontal,Suwannee,Aucilla-Waccasassa,Waccasassa,86433.47755203463,218292771.4296875,"-83.033,29.113,-82.887,29.369"
031102050804,Sand Fly Creek,Suwannee,Suwannee,Lower Suwannee,64277.5297996212,93162445.33203125,"-83.081,29.312,-82.855,29.414"
031102050805,Suwannee River,Suwannee,Suwannee,Lower Suwannee,85663.4497705893,177661426.28515625,"-83.227,29.235,-83.012,29.463"
031101020903,Johnson Creek-Bumblebee Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,83914.01824281168,197387135.296875,"-83.260,29.309,-83.029,29.517"
031102050803,Cedar Branch,Suwannee,Suwannee,Lower Suwannee,70040.8189550232,116571284.6328125,"-83.058,29.373,-82.894,29.539"
031102050802,Long Pond,Suwannee,Suwannee,Lower Suwannee,84983.3487043448,119059252.10546875,"-82.985,29.393,-82.729,29.525"
031102050704,Manatee Springs,Suwannee,Suwannee,Lower Suwannee,70507.7934146739,135234791.91015625,"-83.030,29.459,-82.798,29.562"
031101020906,Butler Creek-Shired Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,70058.28351516234,191931355.14453125,"-83.280,29.382,-83.160,29.613"
031300110704,Depot Creek,Apalachicola,Apalachicola,Apalachicola,106854.49670052434,514457000.078125,"-85.456,29.584,-85.131,29.839"
031101020905,Sink Creek-Whackup Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,98279.98304708095,373880498.59765625,"-83.462,29.382,-83.219,29.631"
031102050703,Wacasassa Slough,Suwannee,Suwannee,Lower Suwannee,62983.46167313506,64982745.05859375,"-82.968,29.511,-82.737,29.581"
031300110706,Saul Creek,Apalachicola,Apalachicola,Apalachicola,89271.0556368967,257200871.74414062,"-85.151,29.542,-85.033,29.862"
031101020904,Howard Creek-Rocky Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,76779.0164119928,109449365.05078125,"-83.469,29.585,-83.165,29.677"
031102050702,Fanning Springs Slough,Suwannee,Suwannee,Lower Suwannee,48895.784591730146,78351642.94140625,"-82.908,29.560,-82.771,29.643"
031101020804,Sand Hill Creek,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,40345.269965886866,49624822.015625,"-83.364,29.638,-83.221,29.709"
031101010201,Sawgrass Springs,Suwannee,Aucilla-Waccasassa,Waccasassa,81125.44073337468,154569742.9765625,"-82.788,29.477,-82.647,29.652"
031300110703,Searcy Creek,Apalachicola,Apalachicola,Apalachicola,69380.13650926176,85066765.0703125,"-85.356,29.786,-85.165,29.927"
031300110705,Lake Wimico,Apalachicola,Apalachicola,Apalachicola,88118.81326780865,115816544.375,"-85.223,29.684,-85.059,29.921"
031300110804,East River-Apalachicola River Frontal,Apalachicola,Apalachicola,Apalachicola,123293.49412679668,485263733.765625,"-85.055,29.542,-84.856,29.913"
031300130504,Blounts Bay Frontal,Apalachicola,Apalachicola,New,84513.37107057878,160832069.65625,"-84.978,29.618,-84.830,29.907"
031101020902,California Creek,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,78782.57719120692,163060187.91015625,"-83.151,29.455,-83.028,29.708"
031102050701,Bell Springs,Suwannee,Suwannee,Lower Suwannee,82572.32315644993,173283511.79296875,"-83.090,29.543,-82.880,29.710"
