ALAND,AWATER,BASIN,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FID_inland,FID_tl_2015_us_county,FUNCSTAT,GEOID,HUC12,HU_12_NAME,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,SUBBASIN,SUBREGION,Shape_Area,Shape_Length
2896185793.0,762933268.0,Aucilla-Waccasassa, ,H1,075,00295724, ,1,1877,A,12075,031101010504,Barnett Creek-Black Point Swamp Frontal,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Waccasassa,Suwannee,369090417.23,89241.973083
2896185793.0,762933268.0,Aucilla-Waccasassa, ,H1,075,00295724, ,2,1877,A,12075,031101010503,Wilder Creek-King Creek Frontal,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Waccasassa,Suwannee,218292771.43,86433.477552
2896185793.0,762933268.0,Suwannee, ,H1,075,00295724, ,3,1877,A,12075,031102050804,Sand Fly Creek,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Lower Suwannee,Suwannee,93162445.332,64277.5297996
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,4,1277,A,12029,031102050805,Suwannee River,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,93237838.1564,79174.835168
2896185793.0,762933268.0,Suwannee, ,H1,075,00295724, ,4,1877,A,12075,031102050805,Suwannee River,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Lower Suwannee,Suwannee,84423588.1279,66744.6317126
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,5,1277,A,12029,031101020903,Johnson Creek-Bumblebee Creek Frontal,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,197387135.297,83914.0182428
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,6,1277,A,12029,031102050803,Cedar Branch,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,49106076.0587,44368.3751624
2896185793.0,762933268.0,Suwannee, ,H1,075,00295724, ,6,1877,A,12075,031102050803,Cedar Branch,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Lower Suwannee,Suwannee,67465208.575,50593.933689
2896185793.0,762933268.0,Suwannee, ,H1,075,00295724, ,7,1877,A,12075,031102050802,Long Pond,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Lower Suwannee,Suwannee,119059252.105,84983.3487043
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,8,1277,A,12029,031102050704,Manatee Springs,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,23474488.4004,31310.3913653
2896185793.0,762933268.0,Suwannee, ,H1,075,00295724, ,8,1877,A,12075,031102050704,Manatee Springs,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Lower Suwannee,Suwannee,111760303.512,58890.8460819
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,9,1277,A,12029,031101020906,Butler Creek-Shired Creek Frontal,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,191931355.145,70058.2835152
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,10,999,A,12037,031300110704,Depot Creek,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Apalachicola,Apalachicola,94778164.1294,44101.6194816
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,10,3099,A,12045,031300110704,Depot Creek,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Apalachicola,Apalachicola,419678835.968,90958.1207645
