ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS
131173369432,4593984687,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL
1477946338495,245391672906,9,A,02,+63.3461909,-152.8370690,00,G4000,Alaska,4,02,01785533,AK
294204474990,1027559124,8,A,04,+34.2039355,-111.6063565,00,G4000,Arizona,4,04,01779777,AZ
134769279101,2962525273,7,A,05,+34.8955256,-092.4446262,00,G4000,Arkansas,3,05,00068085,AR
403488955894,20477992907,9,A,06,+37.1551773,-119.5434183,00,G4000,California,4,06,01779778,CA
268428431772,1175462574,8,A,08,+38.9938673,-105.5083188,00,G4000,Colorado,4,08,01779779,CO
12542452026,1814924099,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT
5047105127,1398742998,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE
158364990,18633403,5,A,11,+38.9041031,-077.0172290,00,G4000,District of Columbia,3,11,01702382,DC
138904831800,31406193924,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL
149169759045,4740824950,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA
16634133472,11777724416,9,A,15,+19.8281713,-155.4950401,00,G4000,Hawaii,4,15,01779782,HI
214042831252,2397619893,8,A,16,+44.3484222,-114.5588538,00,G4000,Idaho,4,16,01779783,ID
143794894211,6200606440,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL
92790537698,1535887357,3,A,18,+39.9030256,-086.2839503,00,G4000,Indiana,2,18,00448508,IN
144667481633,1077969087,4,A,19,+42.0700243,-093.4933473,00,G4000,Iowa,2,19,01779785,IA
211752682810,1346896791,4,A,20,+38.4985464,-098.3834298,00,G4000,Kansas,2,20,00481813,KS
102266253024,2389483091,6,A,21,+37.5336844,-085.2929801,00,G4000,Kentucky,3,21,01779786,KY
111903220951,23747902252,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA
79885774936,11748561064,1,A,23,+45.4092789,-068.6665979,00,G4000,Maine,1,23,01779787,ME
25147417568,6983598596,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD
20205425910,7130316321,1,A,25,+42.1565196,-071.4895915,00,G4000,Massachusetts,1,25,00606926,MA
146455475554,104031185771,3,A,26,+44.8441757,-085.6604930,00,G4000,Michigan,2,26,01779789,MI
206236191895,18924724649,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN
121531969224,3928386321,6,A,28,+32.6864714,-089.6561377,00,G4000,Mississippi,3,28,01779790,MS
178052626882,2487589369,4,A,29,+38.3507500,-092.4567826,00,G4000,Missouri,2,29,01779791,MO
376964776680,3868193267,8,A,30,+47.0511771,-109.6348174,00,G4000,Montana,4,30,00767982,MT
198972429772,1356294775,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE
284332114099,2047841189,8,A,32,+39.3310928,-116.6151469,00,G4000,Nevada,4,32,01779793,NV
23188026108,1026190438,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH
19048075783,3543447118,2,A,34,+40.1072744,-074.6652012,00,G4000,New Jersey,1,34,01779795,NJ
314161426332,755674004,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM
122054140553,19242497698,2,A,36,+42.9133974,-075.5962723,00,G4000,New York,1,36,01779796,NY
125918092834,13472548815,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC
178711991307,4398999691,4,A,38,+47.4421698,-100.4608163,00,G4000,North Dakota,2,38,01779797,ND
105831379985,10266305761,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH
177663043025,3374050771,7,A,40,+35.5900512,-097.4868149,00,G4000,Oklahoma,3,40,01102857,OK
248608778890,6190771822,9,A,41,+43.9717125,-120.6229578,00,G4000,Oregon,4,41,01155107,OR
115883499352,3396643587,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA
2677759613,1323474145,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI
77858297564,5074366056,5,A,45,+33.8741769,-080.8542699,00,G4000,South Carolina,3,45,01779799,SC
